阿布石,a'bu'shi
同心褶皱,tong'xin'zhe'zhou
同心状的,tong'xin'zhuang'de
同形孢子,tong'xing'bao'zi
同形代替,tong'xing'dai'ti
同型的,tong'xing'de
同形的,tong'xing'de
铜盐,tong'yan
铜银铅铋矿,tong'yin'qian'bi'kuang
铜铀云母,tong'you'yun'mu
同源,tong'yuan
同源包体,tong'yuan'bao'ti
同源的,tong'yuan'de
同源花岗岩,tong'yuan'hua'gang'yan
同源喷出物,tong'yuan'pen'chu'wu
同源岩,tong'yuan'yan
同源岩浆的,tong'yuan'yan'jiang'de
同源岩浆区,tong'yuan'yan'jiang'qu
同造山期变质酌,tong'zao'shan'qi'bian'zhi'zhuo
同造山期的岩浆酌,tong'zao'shan'qi'de'yan'jiang'zhuo
同造山期花岗岩,tong'zao'shan'qi'hua'gang'yan
同造山运动的岩浆酌,tong'zao'shan'yun'dong'de'yan'jiang'zhuo
同质多形,tong'zhi'duo'xing
同质二晶,tong'zhi'er'jing
同质蜕变,tong'zhi'tui'bian
同质异晶,tong'zhi'yi'jing
同质异晶体,tong'zhi'yi'jing'ti
同质异象,tong'zhi'yi'xiang
同质异形的,tong'zhi'yi'xing'de
同轴电容器,tong'zhou'dian'rong'qi
头鞍,tou'an
透长凝灰岩,tou'chang'ning'hui'yan
透长石,tou'chang'shi
透长伟晶岩,tou'chang'wei'jing'yan
透长岩,tou'chang'yan
透度计,tou'du'ji
头盖,tou'gai
透橄无球粒陨石,tou'gan'wu'qiu'li'yun'shi
透橄岩,tou'gan'yan
透光层,tou'guang'ceng
透过系数,tou'guo'xi'shu
透辉石,tou'hui'shi
透辉石岩,tou'hui'shi'yan
透镜状矿体,tou'jing'zhuang'kuang'ti
透锂长石,tou'li'chang'shi
透萌,tou'meng
透气性,tou'qi'xing
透入性构造,tou'ru'xing'gou'zao
透闪石,tou'shan'shi
投射,tou'she
透射比,tou'she'bi
透射波,tou'she'bo
透射电子显微镜法,tou'she'dian'zi'xian'wei'jing'fa
头绳运输,tou'sheng'yun'shu
透石膏,tou'shi'gao
透石膏岩,tou'shi'gao'yan
透视画法,tou'shi'hua'fa
透视石,tou'shi'shi
透视投影,tou'shi'tou'ying
透水的,tou'shui'de
透铁橄榄石,tou'tie'gan'lan'shi
透析,tou'xi
透斜长石,tou'xie'chang'shi
投影仪,tou'ying'yi
头足类,tou'zu'lei
土崩,tu'beng
突变体,tu'bian'ti
图表,tu'biao
土层,tu'ceng
土动陷盆地,tu'dong'xian'pen'di
土尔内昔阶,tu'er'nei'xi'jie
土硅铜矿,tu'gui'tong'kuang
图解,tu'jie
钍晶质铀矿,tu'jing'zhi'you'kuang
钍矿,tu'kuang
土类,tu'lei
图例,tu'li
土粒,tu'li
土力学,tu'li'xue
土磷铁矿,tu'lin'tie'kuang
土磷锌铝石,tu'lin'xin'lv'shi
土硫铀矿,tu'liu'you'kuang
土仑阶,tu'lun'jie
土绿磷铝石,tu'lv'lin'lv'shi
土木工程,tu'mu'gong'cheng
凸起的,tu'qi'de
土丘,tu'qiu
土圈,tu'quan
土壤被复,tu'rang'bei'fu
土壤表层,tu'rang'biao'ceng
土壤层序,tu'rang'ceng'xu
土壤成分,tu'rang'cheng'fen
土壤地理学,tu'rang'di'li'xue
土壤地球化学,tu'rang'di'qiu'hua'xue
土壤甸,tu'rang'dian
土壤覆盖层,tu'rang'fu'gai'ceng
土壤结冰,tu'rang'jie'bing
土壤结构,tu'rang'jie'gou
土壤紧实度,tu'rang'jin'shi'du
土壤矿物,tu'rang'kuang'wu
土壤毛细含水量,tu'rang'mao'xi'han'shui'liang
土壤膨胀,tu'rang'peng'zhang
土壤蠕动,tu'rang'ru'dong
土壤水,tu'rang'shui
土壤水带,tu'rang'shui'dai
土壤塑性,tu'rang'su'xing
土壤微生物,tu'rang'wei'sheng'wu
土壤微生物学,tu'rang'wei'sheng'wu'xue
土壤温度表,tu'rang'wen'du'biao
土壤学,tu'rang'xue
土壤学家,tu'rang'xue'jia
土壤粘化,tu'rang'zhan'hua
土色,tu'se
土砷铁矾,tu'shen'tie'fan
钍石,tu'shi
钍钛铌钙铯矿,tu'tai'ni'gai'se'kuang
钍钛铀矿,tu'tai'you'kuang
钍钨矿,tu'wu'kuang
图像频率,tu'xiang'pin'lv
图像再生,tu'xiang'zai'sheng
凸形斜坡,tu'xing'xie'po
土压力,tu'ya'li
图纸编号,tu'zhi'bian'hao
图纸目录,tu'zhi'mu'lu
钍脂铅铀矿,tu'zhi'qian'you'kuang
土柱,tu'zhu
土状硅铁矿,tu'zhuang'gui'tie'kuang
土状沥青褐煤,tu'zhuang'li'qing'he'mei
土状萤石,tu'zhuang'ying'shi
土钻,tu'zuan
团积火山砾,tuan'ji'huo'shan'li
团聚体,tuan'ju'ti
团块状的,tuan'kuai'zhuang'de
团矿,tuan'kuang
团粒结构,tuan'li'jie'gou
湍俩散,tuan'lia'san
湍流紊流,tuan'liu'wen'liu
蜕变系,tui'bian'xi
推测井,tui'ce'jing
推车机,tui'che'ji
推迟电势,tui'chi'dian'shi
退复,tui'fu
推复体,tui'fu'ti
退化,tui'hua
退化变质,tui'hua'bian'zhi
退化变质酌,tui'hua'bian'zhi'zhuo
退化瀑,tui'hua'pu
退火重结晶酌,tui'huo'chong'jie'jing'zhuo
推进,tui'jin
退水,tui'shui
推算储量,tui'suan'chu'liang
推移质,tui'yi'zhi
脱白云酌,tuo'bai'yun'zhuo
脱玻安山岩,tuo'bo'an'shan'yan
脱玻玄武岩,tuo'bo'xuan'wu'yan
脱氮酌,tuo'dan'zhuo
脱顶断层,tuo'ding'duan'ceng
脱顶构造,tuo'ding'gou'zao
脱顶推复体,tuo'ding'tui'fu'ti
托尔顿阶,tuo'er'dun'jie
托尔阶,tuo'er'jie
脱钙,tuo'gai
脱硅酌,tuo'gui'zhuo
脱碱土,tuo'jian'tu
脱碱酌,tuo'jian'zhuo
脱胶结,tuo'jiao'jie
脱节,tuo'jie
脱落,tuo'luo
陀螺测斜仪,tuo'luo'ce'xie'yi
陀螺频率,tuo'luo'pin'lv
椭球粒,tuo'qiu'li
椭球粒状的,tuo'qiu'li'zhuang'de
椭球体,tuo'qiu'ti
椭球形构造,tuo'qiu'xing'gou'zao
脱色,tuo'se
脱水,tuo'shui
脱水器,tuo'shui'qi
脱水水,tuo'shui'shui
脱碳酸盐化,tuo'tan'suan'yan'hua
脱瓦斯,tuo'wa'si
脱盐,tuo'yan
脱盐酌,tuo'yan'zhuo
脱氧,tuo'yang
托叶,tuo'ye
托叶鞘,tuo'ye'qiao
拖曳褶皱,tuo'ye'zhe'zhou
椭圆率,tuo'yuan'lv
椭圆体,tuo'yuan'ti
椭圆形的,tuo'yuan'xing'de
洼处泉,wa'chu'quan
洼地,wa'di
洼地储水,wa'di'chu'shui
洼地泉,wa'di'quan
挖沟勘探法,wa'gou'kan'tan'fa
挖井,wa'jing
挖掘,wa'jue
挖泥,wa'ni
瓦斯,wa'si
瓦斯爆炸,wa'si'bao'zha
瓦斯垫层,wa'si'dian'ceng
瓦斯含量,wa'si'han'liang
瓦斯煤层,wa'si'mei'ceng
挖土,wa'tu
外壁,wai'bi
外变质酌,wai'bian'zhi'zhuo
外滨,wai'bin
外部磁场,wai'bu'ci'chang
外部的,wai'bu'de
外部火山酌,wai'bu'huo'shan'zhuo
外部营力,wai'bu'ying'li
歪长粗面岩,wai'chang'cu'mian'yan
歪长闪正长岩,wai'chang'shan'zheng'chang'yan
歪长石,wai'chang'shi
歪长正长斑岩,wai'chang'zheng'zhang'ban'yan
歪长棕闪正长岩,wai'chang'zong'shan'zheng'chang'yan
外成混合岩化,wai'cheng'hun'he'yan'hua
外成喷出物,wai'cheng'pen'chu'wu
外成夕卡岩,wai'cheng'xi'ka'yan
外唇,wai'chun
外电子,wai'dian'zi
外电子层,wai'dian'zi'ceng
外分泌的,wai'fen'mi'de
外分泌腺,wai'fen'mi'xian
外观上的,wai'guan'shang'de
外核,wai'he
外回转,wai'hui'zhuan
外加负载,wai'jia'fu'zai
歪碱正长岩,wai'jian'zheng'chang'yan
外角皮,wai'jiao'pi
外界的,wai'jie'de
外径,wai'jing
外壳,wai'ke
外空地质学,wai'kong'di'zhi'xue
外来包体,wai'lai'bao'ti
外来的,wai'lai'de
外来植物,wai'lai'zhi'wu
外力碎屑砾岩,wai'li'sui'xie'li'yan
外窿,wai'long
外轮山,wai'lun'shan
外貌,wai'mao
外膜,wai'mo
外胚层,wai'pei'ceng
外皮,wai'pi
外鳃,wai'sai
外生的,wai'sheng'de
外生岩,wai'sheng'yan
外套眼,wai'tao'yan
外推法,wai'tui'fa
歪霞正长岩,wai'xia'zheng'chang'yan
歪斜褶皱,wai'xie'zhe'zhou
歪斜钻孔,wai'xie'zuan'kong
外心投影,wai'xin'tou'ying
外岩浆的,wai'yan'jiang'de
外岩浆矿床,wai'yan'jiang'kuang'chuang
外叶,wai'ye
外逸层,wai'yi'ceng
外因节理,wai'yin'jie'li
外源包体,wai'yuan'bao'ti
外缘沟,wai'yuan'gou
外展肌,wai'zhan'ji
歪正细晶岩,wai'zheng'xi'jing'yan
外肢,wai'zhi
外质,wai'zhi
外枝准地槽,wai'zhi'zhun'di'cao
万测仪,wan'ce'yi
湾沉积物,wan'chen'ji'wu
豌豆状结构,wan'dou'zhuang'jie'gou
顽火辉石,wan'huo'hui'shi
顽火辉石无球粒陨石,wan'huo'hui'shi'wu'qiu'li'yun'shi
顽火榴辉石,wan'huo'liu'hui'shi
弯矩,wan'ju
万年雪,wan'nian'xue
弯曲,wan'qu
弯曲结晶单色仪,wan'qu'jie'jing'dan'se'yi
弯曲悬崖,wan'qu'xuan'ya
弯曲褶皱,wan'qu'zhe'zhou
完全褶皱,wan'quan'zhe'zhou
弯入,wan'ru
顽无球陨石,wan'wu'qiu'yun'shi
万向吊环,wan'xiang'diao'huan
湾形海岸,wan'xing'hai'an
万有引力,wan'you'yin'li
万有引力常数,wan'you'yin'li'chang'shu
弯月面,wan'yue'mian
完整式地槽,wan'zheng'shi'di'cao
往复泵,wang'fu'beng
网硅酸盐,wang'gui'suan'yan
网结,wang'jie
网金红石,wang'jin'hong'shi
网目尺寸,wang'mu'chi'cun
王水,wang'shui
网状,wang'zhuang
网状斑点,wang'zhuang'ban'dian
网状构造,wang'zhuang'gou'zao
网状混合岩,wang'zhuang'hun'he'yan
网状结构,wang'zhuang'jie'gou
网状脉,wang'zhuang'mai
网状脉矿床,wang'zhuang'mai'kuang'chuang
网状细胞,wang'zhuang'xi'bao
微斑安山岩,wei'ban'an'shan'yan
微板块,wei'ban'kuai
伟斑岩,wei'ban'yan
微斑杂状的,wei'ban'za'zhuang'de
微斑状,wei'ban'zhuang
韦伯,wei'bo
微波遥感,wei'bo'yao'gan
微侧向测井,wei'ce'xiang'ce'jing
韦代交纹象,wei'dai'jiao'wen'xiang
微地貌,wei'di'mao
微地震,wei'di'zhen
微电极测井,wei'dian'ji'ce'jing
伪顶,wei'ding
微动物群,wei'dong'wu'qun
纬度,wei'du
纬度改正,wei'du'gai'zheng
微多孔状的,wei'duo'kong'zhuang'de
微霏细岩,wei'fei'xi'yan
微霏细岩状,wei'fei'xi'yan'zhuang
未分异岩,wei'fen'yi'yan
未分异岩脉,wei'fen'yi'yan'mai
围肛部,wei'gang'bu
未共电子对,wei'gong'dian'zi'dui
尾骨,wei'gu
微古生物学,wei'gu'sheng'wu'xue
微观地层学,wei'guan'di'ceng'xue
微观地质学,wei'guan'di'zhi'xue
维管束,wei'guan'shu
维管植物,wei'guan'zhi'wu
微光高岭土,wei'guang'gao'ling'tu
微光泽,wei'guang'ze
微花岗岩,wei'hua'gang'yan
微花岗状的,wei'hua'gang'zhuang'de
微化石,wei'hua'shi
微徨缘状的,wei'huang'yuan'zhuang'de
微辉绿岩状的,wei'hui'lv'yan'zhuang'de
维吉氏焙烧炉,wei'ji'shi'bei'shao'lu
未加工水,wei'jia'gong'shui
微焦点射线管,wei'jiao'dian'she'xian'guan
微结构,wei'jie'gou
微进化,wei'jin'hua
微晶,wei'jing
伟晶腊石,wei'jing'la'shi
伟晶蜡石,wei'jing'la'shi
微晶粒状,wei'jing'li'zhuang
微晶磷铝石,wei'jing'lin'lv'shi
微镜煤,wei'jing'mei
微晶砷铜矿,wei'jing'shen'tong'kuang
微晶石,wei'jing'shi
伟晶岩,wei'jing'yan
伟晶岩的,wei'jing'yan'de
伟晶岩矿床,wei'jing'yan'kuang'chuang
伟晶岩矿物,wei'jing'yan'kuang'wu
伟晶岩期,wei'jing'yan'qi
伟晶岩相,wei'jing'yan'xiang
微晶质的,wei'jing'zhi'de
微孔,wei'kong
微孔滤网,wei'kong'lv'wang
围口部,wei'kou'bu
尾矿,wei'kuang
尾矿品位,wei'kuang'pin'wei
微粒显像,wei'li'xian'xiang
微链结构,wei'lian'jie'gou
微亮暗煤,wei'liang'an'mei
微量滴定,wei'liang'di'ding
微量分析,wei'liang'fen'xi
微量化学分析,wei'liang'hua'xue'fen'xi
微量天平,wei'liang'tian'ping
微量元素,wei'liang'yuan'su
尾料分析,wei'liao'fen'xi
微裂缝,wei'lie'feng
微鳞变晶的,wei'lin'bian'jing'de
未满晶格结点,wei'man'jing'ge'jie'dian
尾碛,wei'qi
微嵌晶状的,wei'qian'jing'zhuang'de
胃腔,wei'qiang
微球粒状的,wei'qiu'li'zhuang'de
围鳃腔,wei'sai'qiang
微闪长岩,wei'shan'chang'yan
微射线自动照相,wei'she'xian'zi'dong'zhao'xiang
微生物,wei'sheng'wu
微生物勘探,wei'sheng'wu'kan'tan
微生物理论,wei'sheng'wu'li'lun
微生物学,wei'sheng'wu'xue
微生物氧化,wei'sheng'wu'yang'hua
胃石,wei'shi
韦氏硼镁石,wei'shi'peng'mei'shi
位势水头,wei'shi'shui'tou
维斯法阶,wei'si'fa'jie
萎为点,wei'wei'dian
微纹长石,wei'wen'chang'shi
微纹象的,wei'wen'xiang'de
微文象结构,wei'wen'xiang'jie'gou
微纹象岩,wei'wen'xiang'yan
微文象状的,wei'wen'xiang'zhuang'de
未污染带,wei'wu'ran'dai
韦先阶,wei'xian'jie
微显晶质的,wei'xian'jing'zhi'de
危险区,wei'xian'qu
微咸水,wei'xian'shui
微咸水沉积,wei'xian'shui'chen'ji
微显像密度计,wei'xian'xiang'mi'du'ji
纬向环流,wei'xiang'huan'liu
纬向指数,wei'xiang'zhi'shu
微斜长石,wei'xie'chang'shi
微斜长石化,wei'xie'chang'shi'hua
围斜构造常钠长石,wei'xie'gou'zao'chang'na'chang'shi
微斜辉绿岩,wei'xie'hui'lv'yan
卫星斑点,wei'xing'ban'dian
卫星大地测量学,wei'xing'da'di'ce'liang'xue
卫星遥感,wei'xing'yao'gan
未选的矿石,wei'xuan'de'kuang'shi
围岩,wei'yan
围岩蚀变,wei'yan'shi'bian
微异地生成煤,wei'yi'di'sheng'cheng'mei
微隐晶质的,wei'yin'jing'zhi'de
伪圆柱投影,wei'yuan'zhu'tou'ying
伪圆锥投影,wei'yuan'zhui'tou'ying
微陨石,wei'yun'shi
尾渣,wei'zha
微震,wei'zhen
微震区,wei'zhen'qu
微正长岩,wei'zheng'chang'yan
微植物群,wei'zhi'wu'qun
纹长二长岩,wen'chang'er'chang'yan
纹长石,wen'chang'shi
温带,wen'dai
温带湖,wen'dai'hu
温带气候,wen'dai'qi'hou
稳定层结,wen'ding'ceng'jie
稳定地块,wen'ding'di'kuai
稳定腐植质,wen'ding'fu'zhi'zhi
稳定粒状结构,wen'ding'li'zhuang'jie'gou
稳定流,wen'ding'liu
稳定同位素,wen'ding'tong'wei'su
稳定硬度,wen'ding'ying'du
稳定元素,wen'ding'yuan'su
温度,wen'du
温度测量,wen'du'ce'liang
温度垂直梯度,wen'du'chui'zhi'ti'du
温度带,wen'du'dai
温度第,wen'du'di
温度订正,wen'du'ding'zheng
温度分布,wen'du'fen'bu
温度分层,wen'du'fen'ceng
温度分散散射,wen'du'fen'san'san'she
温度效率,wen'du'xiao'lv
温度因子,wen'du'yin'zi
温度阈值,wen'du'yu'zhi
稳固岩石,wen'gu'yan'shi
文洛克阶,wen'luo'ke'jie
温洛克组,wen'luo'ke'zu
纹绿泥石,wen'lv'ni'shi
纹泥,wen'ni
温泉,wen'quan
文石,wen'shi
纹饰,wen'shi
文象斑状构造,wen'xiang'ban'zhuang'gou'zao
文象构造,wen'xiang'gou'zao
文象花岗岩,wen'xiang'hua'gang'yan
文象结构,wen'xiang'jie'gou
温跃层,wen'yue'ceng
涡虫类,wo'chong'lei
涡动,wo'dong
涡动扩散,wo'dong'kuo'san
涡动摩擦,wo'dong'mo'ca
涡轮泵,wo'lun'beng
涡轮钻进,wo'lun'zuan'jin
涡轮钻具,wo'lun'zuan'ju
涡旋,wo'xuan
无斑隐晶质的,wu'ban'yin'jing'zhi'de
无孢生殖,wu'bao'sheng'zhi
无孢子的,wu'bao'zi'de
无泵钻进,wu'beng'zuan'jin
钨铋矿,wu'bi'kuang
无变态,wu'bian'tai
无变形面,wu'bian'xing'mian
无边缘的,wu'bian'yuan'de
无柄叶,wu'bing'ye
误差,wu'cha
无定向磁力仪,wu'ding'xiang'ci'li'yi
无定向的,wu'ding'xiang'de
无定向化,wu'ding'xiang'hua
无定向性,wu'ding'xiang'xing
无定形硅氧,wu'ding'xing'gui'yang
无定型石墨,wu'ding'xing'shi'mo
乌尔堪型火山喷发,wu'er'kan'xing'huo'shan'pen'fa
无缝管,wu'feng'guan
无橄件武岩,wu'gan'jian'wu'yan
无根喷气孔,wu'gen'pen'qi'kong
无光带,wu'guang'dai
无颌类,wu'he'lei
钨华,wu'hua
无花被的,wu'hua'bei'de
无花萼的,wu'hua'e'de
无灰分的,wu'hui'fen'de
无极化合物,wu'ji'hua'he'wu
无机环境,wu'ji'huan'jing
无极键,wu'ji'jian
无机盐,wu'ji'yan
无脊椎动物,wu'ji'zhui'dong'wu
五角三八面体晶族,wu'jiao'san'ba'mian'ti'jing'zu
五角十二面体,wu'jiao'shi'er'mian'ti
五角十二面体类,wu'jiao'shi'er'mian'ti'lei
巫阶,wu'jie
无结构腐殖体,wu'jie'gou'fu'zhi'ti
无结构土壤,wu'jie'gou'tu'rang
无结节的,wu'jie'jie'de
无茎的,wu'jing'de
无矿岩,wu'kuang'yan
乌拉尔阶,wu'la'er'jie
勿里洞玻陨石,wu'li'dong'bo'yun'shi
物理分析,wu'li'fen'xi
物理风化,wu'li'feng'hua
无粒古橄陨石,wu'li'gu'gan'yun'shi
物理海洋学,wu'li'hai'yang'xue
误里阶,wu'li'jie
物理性质,wu'li'xing'zhi
物理原子量标度,wu'li'yuan'zi'liang'biao'du
钨锰矿,wu'meng'kuang
钨钼酸铅矿,wu'mu'suan'qian'kuang
无扭面,wu'niu'mian
无配子生殖,wu'pei'zi'sheng'zhi
钨铅矿,wu'qian'kuang
无球粒陨石,wu'qiu'li'yun'shi
污染,wu'ran
污染水,wu'ran'shui
污染物质,wu'ran'wu'zhi
无色电气石,wu'se'dian'qi'shi
无色榴石,wu'se'liu'shi
无色绿泥石,wu'se'lv'ni'shi
无生代,wu'sheng'dai
无衰耗波,wu'shuai'hao'bo
无衰减振荡,wu'shuai'jian'zhen'dang
污水处理,wu'shui'chu'li
无水矾石,wu'shui'fan'shi
无水硅酸,wu'shui'gui'suan
无水钾镁矾,wu'shui'jia'mei'fan
无水碱芒硝,wu'shui'jian'mang'xiao
无水芒硝,wu'shui'mang'xiao
无水物,wu'shui'wu
五水泻盐,wu'shui'xie'yan
无水亚粘土草原,wu'shui'ya'nian'tu'cao'yuan
雾淞,wu'song
钨铁矿,wu'tie'kuang
无头的,wu'tou'de
无头幼虫,wu'tou'you'chong
无线电波法,wu'xian'dian'bo'fa
无线电测风仪,wu'xian'dian'ce'feng'yi
无线电测角器,wu'xian'dian'ce'jiao'qi
无线电收发机,wu'xian'dian'shou'fa'ji
无线电探空,wu'xian'dian'tan'kong
无向构造,wu'xiang'gou'zao
无效电流,wu'xiao'dian'liu
无效水分,wu'xiao'shui'fen
钨锌矿,wu'xin'kuang
无性生殖,wu'xing'sheng'zhi
无性世代,wu'xing'shi'dai
无形状的,wu'xing'zhuang'de
无序,wu'xu
无序格子,wu'xu'ge'zi
无旋流,wu'xuan'liu
无烟煤,wu'yan'mei
钨硬锰矿,wu'ying'meng'kuang
无油砂层,wu'you'sha'ceng
无震的,wu'zhen'de
无子叶的,wu'zi'ye'de
无子叶植物,wu'zi'ye'zhi'wu
无钻杆钻进,wu'zuan'gan'zuan'jin
锡钯矿,xi'ba'kuang
硒钯矿,xi'ba'kuang
细胞电池,xi'bao'dian'chi
细胞分裂,xi'bao'fen'lie
细胞状白云岩,xi'bao'zhuang'bai'yun'yan
细胞状的,xi'bao'zhuang'de
细胞组织,xi'bao'zu'zhi
硒铋矿,xi'bi'kuang
细碧岩,xi'bi'yan
洗槽,xi'cao
吸持电路,xi'chi'dian'lu
稀度,xi'du
袭夺河,xi'duo'he
细粉煤,xi'fen'mei
吸附,xi'fu
吸附剂,xi'fu'ji
吸附能,xi'fu'neng
吸附能力,xi'fu'neng'li
吸附水,xi'fu'shui
细腐殖,xi'fu'zhi
吸附指示剂,xi'fu'zhi'shi'ji
喜钙植物,xi'gai'zhi'wu
硒汞矿,xi'gong'kuang
细沟,xi'gou
细沟侵蚀,xi'gou'qin'shi
硒钴矿,xi'gu'kuang
喜旱的,xi'han'de
熄火山,xi'huo'shan
吸积理论,xi'ji'li'lun
细碱辉正长岩,xi'jian'hui'zheng'chang'yan
喜硷植被,xi'jian'zhi'bei
喜硷植物,xi'jian'zhi'wu
细晶磷灰石,xi'jing'lin'hui'shi
细晶岩,xi'jing'yan
细晶岩构造,xi'jing'yan'gou'zao
细晶岩相,xi'jing'yan'xiang
细晶状的,xi'jing'zhuang'de
细菌,xi'jun
细菌分析,xi'jun'fen'xi
细菌化石,xi'jun'hua'shi
夕卡岩,xi'ka'yan
夕卡岩矿物,xi'ka'yan'kuang'wu
细孔质的,xi'kong'zhi'de
锡矿,xi'kuang
细矿,xi'kuang
细砾,xi'li
细粒结构,xi'li'jie'gou
细粒砂,xi'li'sha
细粒闪长岩,xi'li'shan'chang'yan
细粒土壤,xi'li'tu'rang
吸量管法,xi'liang'guan'fa
硒磷灰石,xi'lin'hui'shi
吸滤器,xi'lv'qi
细脉,xi'mai
细密结构,xi'mi'jie'gou
矽缪尔阶,xi'miu'er'jie
吸盘,xi'pan
洗瓶,xi'ping
硒铅矿,xi'qian'kuang
吸热,xi're
吸热反应,xi're'fan'ying
吸热化合物,xi're'hua'he'wu
稀溶液,xi'rong'ye
吸入泵,xi'ru'beng
吸入管线,xi'ru'guan'xian
吸入限度,xi'ru'xian'du
细砂,xi'sha
锡砷硫钒铜矿,xi'shen'liu'fan'tong'kuang
吸升力,xi'sheng'li
锡石,xi'shi
稀噬草原,xi'shi'cao'yuan
吸湿核,xi'shi'he
吸湿性,xi'shi'xing
吸收,xi'shou
吸收端,xi'shou'duan
吸收光谱,xi'shou'guang'pu
吸收剂,xi'shou'ji
吸收率,xi'shou'lv
吸收器,xi'shou'qi
吸收曲线,xi'shou'qu'xian
吸收性,xi'shou'xing
吸收轴,xi'shou'zhou
系数,xi'shu
稀疏酌,xi'shu'zhuo
吸水,xi'shui
洗水,xi'shui
吸水井,xi'shui'jing
吸水能力,xi'shui'neng'li
吸水头,xi'shui'tou
硒铊银铜矿,xi'ta'yin'tong'kuang
硒铁矿,xi'tie'kuang
系统分类,xi'tong'fen'lei
硒铜矿,xi'tong'kuang
硒铜铅矿,xi'tong'qian'kuang
硒铜铅镍矿,xi'tong'qian'nie'kuang
系统树,xi'tong'shu
系统树系谱树,xi'tong'shu'xi'pu'shu
系统学,xi'tong'xue
硒铜银矿,xi'tong'yin'kuang
细土,xi'tu
稀土锆石,xi'tu'gao'shi
稀土元素,xi'tu'yuan'su
细屑岩,xi'xie'yan
蜥形类,xi'xing'lei
喜盐性,xi'yan'xing
吸移管,xi'yi'guan
硒银矿,xi'yin'kuang
稀有金属,xi'you'jin'shu
稀有气体,xi'you'qi'ti
稀有元素,xi'you'yuan'su
吸着,xi'zhe
吸着水,xi'zhe'shui
细褶皱,xi'zhe'zhou
细柱氯铅矿,xi'zhu'lv'qian'kuang
膝状的,xi'zhuang'de
席状矿床,xi'zhuang'kuang'chuang
膝状双晶,xi'zhuang'shuang'jing
希兹硫镍矿,xi'zi'liu'nie'kuang
下部地层,xia'bu'di'ceng
下部结构,xia'bu'jie'gou
下层,xia'ceng
下层构造,xia'ceng'gou'zao
下沉,xia'chen
下沉滨线,xia'chen'bin'xian
下沉海岸,xia'chen'hai'an
下沉逆温,xia'chen'ni'wen
下沉速度,xia'chen'su'du
下唇,xia'chun
下伏层,xia'fu'ceng
峡谷,xia'gu
峡谷间隙海谷,xia'gu'jian'xi'hai'gu
下颌,xia'he
下颌骨,xia'he'gu
霞辉二长斑岩,xia'hui'er'zhang'ban'yan
霞辉岩,xia'hui'yan
霞碱正长岩,xia'jian'zheng'chang'yan
下降板块,xia'jiang'ban'kuai
下降风,xia'jiang'feng
下降泉,xia'jiang'quan
下降水矿床,xia'jiang'shui'kuang'chuang
霞榴正长岩,xia'liu'zheng'chang'yan
下落断层,xia'luo'duan'ceng
霞霓钠辉岩,xia'ni'na'hui'yan
下盘,xia'pan
下碛,xia'qi
霞闪粗安岩,xia'shan'cu'an'yan
霞闪云钛辉岩,xia'shan'yun'tai'hui'yan
霞石,xia'shi
霞石斑岩,xia'shi'ban'yan
霞石化,xia'shi'hua
霞石玄武岩,xia'shi'xuan'wu'yan
霞石岩,xia'shi'yan
霞石正长岩,xia'shi'zheng'chang'yan
狭缩,xia'suo
下套管钢丝绳,xia'tao'guan'gang'si'sheng
下瓦,xia'wa
峡湾,xia'wan
夏威夷式盾形火山,xia'wei'yi'shi'dun'xing'huo'shan
夏威夷型火山喷发,xia'wei'yi'xing'huo'shan'pen'fa
下向分层采矿法,xia'xiang'fen'ceng'cai'kuang'fa
下向梯段回采,xia'xiang'ti'duan'hui'cai
霞斜岩,xia'xie'yan
狭叶的,xia'ye'de
下游,xia'you
下游水,xia'you'shui
显斑晶,xian'ban'jing
线斑状的,xian'ban'zhuang'de
线飑,xian'biao
线玻正斑岩,xian'bo'zheng'ban'yan
氙测年法,xian'ce'nian'fa
现场地球化学分析,xian'chang'di'qiu'hua'xue'fen'xi
先成谷,xian'cheng'gu
先成河,xian'cheng'he
现代地壳垂直运动,xian'dai'di'qiao'chui'zhi'yun'dong
现代地壳水平运动,xian'dai'di'qiao'shui'ping'yun'dong
现代地质时期,xian'dai'di'zhi'shi'qi
现代外生运动,xian'dai'wai'sheng'yun'dong
贤的山,xian'de'shan
显地形,xian'di'xing
掀动,xian'dong
纤钒钙石,xian'fan'gai'shi
纤沸石,xian'fei'shi
先锋植物,xian'feng'zhi'wu
纤硅碱钙石,xian'gui'jian'gai'shi
纤硅铜矿,xian'gui'tong'kuang
显衡隐晶质的,xian'heng'yin'jing'zhi'de
纤滑石,xian'hua'shi
显花植物,xian'hua'zhi'wu
显迹原子,xian'ji'yuan'zi
纤钾茂,xian'jia'mao
线焦点,xian'jiao'dian
衔接,xian'jie
显晶玻质的,xian'jing'bo'zhi'de
显晶岩,xian'jing'yan
显晶质的,xian'jing'zhi'de
藓类,xian'lei
藓类泥炭,xian'lei'ni'tan
藓类沼泽,xian'lei'zhao'ze
线理,xian'li
纤磷钙铝石,xian'lin'gai'lv'shi
纤磷铝石,xian'lin'lv'shi
纤磷铜矿,xian'lin'tong'kuang
陷落火山,xian'luo'huo'shan
陷落角,xian'luo'jiao
陷落巨火口,xian'luo'ju'huo'kou
纤毛虫类,xian'mao'chong'lei
纤毛的,xian'mao'de
纤毛幼虫,xian'mao'you'chong
