阿拉伯婆婆纳,a'la'bo'po'po'na
厚叶木犀,hou'ye'mu'xi
厚叶石斑木,hou'ye'shi'ban'mu
厚叶双花耳草,hou'ye'shuang'hua'er'cao
厚叶中华石楠,hou'ye'zhong'hua'shi'nan
篌竹,hou'zhu
湖北大戟,hu'bei'da'ji
湖北鹅耳枥,hu'bei'e'er'li
湖北海棠,hu'bei'hai'tang
湖北黄精,hu'bei'huang'jing
湖北三毛草,hu'bei'san'mao'cao
湖北山楂,hu'bei'shan'zha
湖北算盘子,hu'bei'suan'pan'zi
湖北苔草,hu'bei'tai'cao
虎刺,hu'ci
虎刺属,hu'ci'shu
虎刺属分种检索表,hu'ci'shu'fen'zhong'jian'suo'biao
蝴蝶草属,hu'die'cao'shu
蝴蝶草属分种检索表,hu'die'cao'shu'fen'zhong'jian'suo'biao
蝴蝶花,hu'die'hua
蝴蝶花豆,hu'die'hua'dou
蝴蝶花豆属,hu'die'hua'dou'shu
虎耳草,hu'er'cao
虎耳草科,hu'er'cao'ke
虎耳草属,hu'er'cao'shu
瓠瓜,hu'gua
湖瓜草,hu'gua'cao
湖瓜草属,hu'gua'cao'shu
壶花荚蒾,hu'hua'jia'mi
槲寄生,hu'ji'sheng
槲寄生属,hu'ji'sheng'shu
胡椒科,hu'jiao'ke
胡椒属,hu'jiao'shu
槲栎,hu'li
葫芦,hu'lu
葫芦科,hu'lu'ke
葫芦科分属检索表,hu'lu'ke'fen'shu'jian'suo'biao
葫芦属,hu'lu'shu
胡萝卜,hu'luo'bo
胡萝卜属,hu'luo'bo'shu
胡麻,hu'ma
胡麻草,hu'ma'cao
胡麻草属,hu'ma'cao'shu
胡麻科,hu'ma'ke
胡麻科分属检索表,hu'ma'ke'fen'shu'jian'suo'biao
胡麻属,hu'ma'shu
湖南山核桃,hu'nan'shan'he'tao
湖南悬钩子,hu'nan'xuan'gou'zi
虎皮楠,hu'pi'nan
虎皮楠科,hu'pi'nan'ke
虎皮楠属,hu'pi'nan'shu
虎舌红,hu'she'hong
槲树,hu'shu
胡桃科,hu'tao'ke
胡颓子,hu'tui'zi
胡颓子科,hu'tui'zi'ke
胡颓子属,hu'tui'zi'shu
狐尾藻属,hu'wei'zao'shu
虎杖,hu'zhang
胡枝子,hu'zhi'zi
胡枝子属,hu'zhi'zi'shu
瓠子,hu'zi
华北绣线菊,hua'bei'xiu'xian'ju
花哺鸡竹,hua'bu'ji'zhu
华茶藨,hua'cha'biao
花菖蒲,hua'chang'pu
华重楼,hua'chong'lou
华刺子莞,hua'ci'zi'guan
花点草,hua'dian'cao
花点草属,hua'dian'cao'shu
华东菝葜,hua'dong'ba'qia
华东藨草,hua'dong'biao'cao
华东椴,hua'dong'duan
华东蓝刺头,hua'dong'lan'ci'tou
华东魔芋,hua'dong'mo'yu
华东木蓝,hua'dong'mu'lan
华东木犀,hua'dong'mu'xi
华东葡萄,hua'dong'pu'tao
华东山柳,hua'dong'shan'liu
华东水竹,hua'dong'shui'zhu
华东松寄生,hua'dong'song'ji'sheng
华东唐松草,hua'dong'tang'song'cao
华东杏叶沙参,hua'dong'xing'ye'sha'shen
华东野核桃,hua'dong'ye'he'tao
华东油柿,hua'dong'you'shi
华东早熟禾,hua'dong'zao'shu'he
华凤仙,hua'feng'xian
花红,hua'hong
花椒,hua'jiao
花椒簕,hua'jiao'le
花椒属,hua'jiao'shu
华克拉莎,hua'ke'la'sha
花葵属,hua'kui'shu
花菱草,hua'ling'cao
花菱草属,hua'ling'cao'shu
花榈木,hua'lv'mu
华麻花头,hua'ma'hua'tou
画眉草,hua'mei'cao
画眉草属,hua'mei'cao'shu
花眉竹,hua'mei'zhu
桦木科,hua'mu'ke
桦木属,hua'mu'shu
华南龙胆,hua'nan'long'dan
华南蒲桃,hua'nan'pu'tao
花南星,hua'nan'xing
华南樟,hua'nan'zhang
华女贞,hua'nv'zhen
花皮胶藤属,hua'pi'jiao'teng'shu
花楸属,hua'qiu'shu
花荵科,hua'ren'ke
华箬竹,hua'ruo'zhu
华桑,hua'sang
华山矾,hua'shan'fan
华鼠尾草,hua'shu'wei'cao
华双蝴蝶,hua'shuang'hu'die
华丝竹,hua'si'zhu
华素馨,hua'su'xin
花葶苔草,hua'ting'tai'cao
华西枫杨,hua'xi'feng'yang
化香属,hua'xiang'shu
化香树,hua'xiang'shu
花孝顺竹,hua'xiao'shun'zhu
花烟草,hua'yan'cao
华野百合,hua'ye'bai'he
花椰菜,hua'ye'cai
花叶开唇兰,hua'ye'kai'chun'lan
花叶芦竹,hua'ye'lu'zhu
花叶青木,hua'ye'qing'mu
花叶虉草,hua'ye'yi'cao
华泽兰,hua'ze'lan
华中山楂,hua'zhong'shan'zha
华中碎米荠,hua'zhong'sui'mi'ji
华中铁线莲,hua'zhong'tie'xian'lian
华中五味子,hua'zhong'wu'wei'zi
华中樱,hua'zhong'ying
花竹,hua'zhu
花朱顶红,hua'zhu'ding'hong
华紫珠,hua'zi'zhu
槐属,huai'shu
槐树,huai'shu
槐叶决明,huai'ye'jue'ming
换锦花,huan'jin'hua
黄鹌菜,huang'an'cai
黄鹌菜属,huang'an'cai'shu
黄背草,huang'bei'cao
黄背越桔,huang'bei'yue'ju
黄檗属,huang'bo'shu
黄槽斑竹,huang'cao'ban'zhu
黄槽毛竹,huang'cao'mao'zhu
黄槽竹,huang'cao'zhu
黄菖蒲,huang'chang'pu
黄丹木姜子,huang'dan'mu'jiang'zi
黄独,huang'du
黄秆乌哺鸡竹,huang'gan'wu'bu'ji'zhu
黄姑竹,huang'gu'zhu
黄瓜,huang'gua
黄瓜属,huang'gua'shu
黄海棠,huang'hai'tang
黄花菜,huang'hua'cai
黄花蒿,huang'hua'hao
黄花狸藻,huang'hua'li'zao
黄花稔属,huang'hua'ren'shu
黄花水龙,huang'hua'shui'long
黄花小二仙草,huang'hua'xiao'er'xian'cao
黄花远志,huang'hua'yuan'zhi
黄槐,huang'huai
黄堇,huang'jin
黄金树,huang'jin'shu
黄精,huang'jing
黄荆,huang'jing
黄精属,huang'jing'shu
黄壳竹,huang'ke'zhu
黄兰,huang'lan
黄连,huang'lian
黄连花,huang'lian'hua
黄连木,huang'lian'mu
黄连木属,huang'lian'mu'shu
黄连属,huang'lian'shu
黄龙尾,huang'long'wei
黄栌属,huang'lu'shu
黄麻,huang'ma
黄麻属,huang'ma'shu
黄茅,huang'mao
黄茅属,huang'mao'shu
黄木香花,huang'mu'xiang'hua
黄牛奶树,huang'niu'nai'shu
黄泡,huang'pao
黄皮,huang'pi
黄皮刚竹,huang'pi'gang'zhu
黄皮花毛竹,huang'pi'hua'mao'zhu
黄皮京竹,huang'pi'jing'zhu
黄皮绿筋竹,huang'pi'lv'jin'zhu
黄皮毛竹,huang'pi'mao'zhu
黄皮属,huang'pi'shu
黄杞属,huang'qi'shu
黄芪属,huang'qi'shu
黄芩属,huang'qin'shu
黄秋英,huang'qiu'ying
黄绒润楠,huang'rong'run'nan
黄瑞木,huang'rui'mu
黄瑞木属,huang'rui'mu'shu
幌伞枫属,huang'san'feng'shu
黄山风毛菊,huang'shan'feng'mao'ju
黄山花楸,huang'shan'hua'qiu
黄山栎,huang'shan'li
黄山龙胆,huang'shan'long'dan
黄山梅,huang'shan'mei
黄山梅属,huang'shan'mei'shu
黄山木兰,huang'shan'mu'lan
黄山溲疏,huang'shan'sou'shu
黄山乌头,huang'shan'wu'tou
黄山蟹甲草,huang'shan'xie'jia'cao
黄鳝竹,huang'shan'zhu
黄山紫荆,huang'shan'zi'jing
黄石榴,huang'shi'liu
黄蜀葵,huang'shu'kui
黄水仙,huang'shui'xian
黄水枝,huang'shui'zhi
黄水枝属,huang'shui'zhi'shu
黄穗苔草,huang'sui'tai'cao
黄檀,huang'tan
黄檀属,huang'tan'shu
黄甜竹,huang'tian'zhu
黄条石绿竹,huang'tiao'shi'lv'zhu
黄条早竹,huang'tiao'zao'zhu
黄筒花,huang'tong'hua
黄筒花属,huang'tong'hua'shu
黄薇,huang'wei
黄薇属,huang'wei'shu
黄细心状假耳草,huang'xi'xin'zhuang'jia'er'cao
黄杨,huang'yang
黄杨科,huang'yang'ke
黄杨属,huang'yang'shu
黄醉蝶花,huang'zui'die'hua
灰白蜡瓣花,hui'bai'la'ban'hua
喙果黑面神,hui'guo'hei'mian'shen
喙果绞股蓝,hui'guo'jiao'gu'lan
灰化苔草,hui'hua'tai'cao
回回苏,hui'hui'su
茴茴蒜,hui'hui'suan
蕙兰,hui'lan
灰绿龙胆,hui'lv'long'dan
灰绿苔草,hui'lv'tai'cao
灰毛大青,hui'mao'da'qing
灰毛泡,hui'mao'pao
灰帽苔草,hui'mao'tai'cao
茴芹属,hui'qin'shu
灰水竹,hui'shui'zhu
茴香,hui'xiang
茴香属,hui'xiang'shu
灰叶安息香,hui'ye'an'xi'xiang
灰叶稠李,hui'ye'chou'li
灰毡毛忍冬,hui'zhan'mao'ren'dong
秴草,huo'cao
秴草属,huo'cao'shu
火灰树,huo'hui'shu
火棘,huo'ji
火棘属,huo'ji'shu
火炬花,huo'ju'hua
火绒草属,huo'rong'cao'shu
火烧兰属,huo'shao'lan'shu
火炭母草,huo'tan'mu'cao
藿香,huo'xiang
藿香草,huo'xiang'cao
藿香蓟,huo'xiang'ji
藿香蓟属,huo'xiang'ji'shu
藿香属,huo'xiang'shu
活血丹,huo'xue'dan
活血丹属,huo'xue'dan'shu
火焰草,huo'yan'cao
蕺菜,ji'cai
蕺菜属,ji'cai'shu
鸡冠花,ji'guan'hua
及己,ji'ji
芨芨草属,ji'ji'cao'shu
麂角杜鹃,ji'jiao'du'juan
蒺藜,ji'li
蒺藜科,ji'li'ke
蒺藜属,ji'li'shu
鸡麻,ji'ma
鸡麻属,ji'ma'shu
姬苗属,ji'miao'shu
继木,ji'mu
继木属,ji'mu'shu
荠苨,ji'ni
鸡桑,ji'sang
鸡屎藤,ji'shi'teng
鸡屎藤属,ji'shi'teng'shu
稷属,ji'shu
荠属,ji'shu
蓟属,ji'shu
蓟属分种检索表,ji'shu'fen'zhong'jian'suo'biao
吉祥草,ji'xiang'cao
吉祥草属,ji'xiang'cao'shu
积雪草,ji'xue'cao
积雪草属,ji'xue'cao'shu
鸡眼草,ji'yan'cao
鸡眼草属,ji'yan'cao'shu
戟叶箭蓼,ji'ye'jian'liao
戟叶堇菜,ji'ye'jin'cai
戟叶蓼,ji'ye'liao
蓟罂粟,ji'ying'su
蓟罂粟属,ji'ying'su'shu
鸡仔木,ji'zai'mu
鸡仔木属,ji'zai'mu'shu
鸡爪槭,ji'zhua'qi
虮子草,ji'zi'cao
假苞囊瓣芹,jia'bao'nang'ban'qin
假糙苏属,jia'cao'su'shu
假稻,jia'dao
假稻属,jia'dao'shu
假地豆,jia'di'dou
假地枫皮,jia'di'feng'pi
假地蓝,jia'di'lan
假耳草,jia'er'cao
假耳草属,jia'er'cao'shu
假耳草属分种检索表,jia'er'cao'shu'fen'zhong'jian'suo'biao
假福王草,jia'fu'wang'cao
假福王草属,jia'fu'wang'cao'shu
假福王草属分种检索表,jia'fu'wang'cao'shu'fen'zhong'jian'suo'biao
假盖果草属,jia'gai'guo'cao'shu
假还阳参,jia'huan'yang'can
假还阳参属,jia'huan'yang'can'shu
假活血丹,jia'huo'xue'dan
假俭草,jia'jian'cao
假俭草属,jia'jian'cao'shu
假毛竹,jia'mao'zhu
荚蒾,jia'mi
荚蒾属,jia'mi'shu
荚蒾属分种检索表,jia'mi'shu'fen'zhong'jian'suo'biao
加拿大一枝黄花,jia'na'da'yi'zhi'huang'hua
假牛鞭草,jia'niu'bian'cao
假牛鞭草属,jia'niu'bian'cao'shu
假牛繁缕科,jia'niu'fan'lv'ke
假牛繁缕属,jia'niu'fan'lv'shu
假婆婆纳,jia'po'po'na
假婆婆纳属,jia'po'po'na'shu
假升麻,jia'sheng'ma
假升麻属,jia'sheng'ma'shu
假石生繁缕,jia'shi'sheng'fan'lv
假鼠妇草,jia'shu'fu'cao
假水晶兰,jia'shui'jing'lan
假水晶兰属,jia'shui'jing'lan'shu
假弯曲碎米荠,jia'wan'qu'sui'mi'ji
假卫矛属,jia'wei'mao'shu
假缬草,jia'xie'cao
加杨,jia'yang
甲竹,jia'zhu
夹竹桃,jia'zhu'tao
夹竹桃科,jia'zhu'tao'ke
夹竹桃属,jia'zhu'tao'shu
剑苞鹅耳枥,jian'bao'e'er'li
涧边草,jian'bian'cao
涧边草属,jian'bian'cao'shu
尖齿臭茉莉,jian'chi'chou'mo'li
剪刀股,jian'dao'gu
建德荠苧,jian'de'ji'zhu
尖萼毛柃,jian'e'mao'ling
尖萼紫茎,jian'e'zi'jing
剪股颖,jian'gu'ying
剪股颖属,jian'gu'ying'shu
渐尖穗荸荠,jian'jian'sui'bi'qi
渐尖叶鹿藿,jian'jian'ye'lu'huo
建兰,jian'lan
尖连蕊茶,jian'lian'rui'cha
建楠,jian'nan
建宁金腰,jian'ning'jin'yao
碱蓬,jian'peng
碱蓬属,jian'peng'shu
剪秋罗,jian'qiu'luo
剪秋罗属,jian'qiu'luo'shu
建始槭,jian'shi'qi
菅属,jian'shu
尖头青竹,jian'tou'qing'zhu
尖头唐竹,jian'tou'tang'zhu
尖头叶藜,jian'tou'ye'li
尖箨茶秆竹,jian'tuo'cha'gan'zhu
碱菀,jian'wan
碱菀属,jian'wan'shu
尖尾芋,jian'wei'yu
剪夏罗,jian'xia'luo
间型沿阶草,jian'xing'yan'jie'cao
见血清,jian'xue'qing
尖叶菝葜,jian'ye'ba'qia
尖叶白蜡树,jian'ye'bai'la'shu
尖叶半枫荷,jian'ye'ban'feng'he
剑叶耳草,jian'ye'er'cao
尖叶黄杨,jian'ye'huang'yang
尖叶火烧兰,jian'ye'huo'shao'lan
剑叶金鸡菊,jian'ye'jin'ji'ju
尖叶栎,jian'ye'li
箭叶蓼,jian'ye'liao
尖叶清风藤,jian'ye'qing'feng'teng
尖叶山蚂蟥,jian'ye'shan'ma'huang
尖叶薯蓣,jian'ye'shu'yu
尖叶算盘子,jian'ye'suan'pan'zi
尖叶唐松草,jian'ye'tang'song'cao
尖叶眼子菜,jian'ye'yan'zi'cai
箭叶淫羊藿,jian'ye'yin'yang'huo
箭子竹,jian'zi'zhu
豇豆,jiang'dou
豇豆属,jiang'dou'shu
浆果椴,jiang'guo'duan
浆果苔草,jiang'guo'tai'cao
姜花,jiang'hua
姜花属,jiang'hua'shu
姜黄属,jiang'huang'shu
姜科,jiang'ke
江南荸荠,jiang'nan'bi'qi
江南灯心草,jiang'nan'deng'xin'cao
江南谷精草,jiang'nan'gu'jing'cao
江南花楸,jiang'nan'hua'qiu
江南马先篙,jiang'nan'ma'xian'gao
江南牡丹草,jiang'nan'mu'dan'cao
江南桤木,jiang'nan'qi'mu
江南散血丹,jiang'nan'san'xue'dan
江南山梗菜,jiang'nan'shan'geng'cai
江南山柳,jiang'nan'shan'liu
江南越桔,jiang'nan'yue'ju
江山矮竹,jiang'shan'ai'zhu
姜属,jiang'shu
江苏石蒜,jiang'su'shi'suan
江苏苔草,jiang'su'tai'cao
江西大青,jiang'xi'da'qing
江西杜鹃,jiang'xi'du'juan
江西马先蒿,jiang'xi'ma'xian'hao
江西崖豆藤,jiang'xi'ya'dou'teng
降香,jiang'xiang
江浙钓樟,jiang'zhe'diao'zhang
江浙獐牙菜,jiang'zhe'zhang'ya'cai
胶东卫矛,jiao'dong'wei'mao
轿杠竹,jiao'gang'zhu
绞股蓝,jiao'gu'lan
绞股蓝属,jiao'gu'lan'shu
角果藻,jiao'guo'zao
角果藻属,jiao'guo'zao'shu
胶南竹,jiao'nan'zhu
角盘兰属,jiao'pan'lan'shu
交让木,jiao'rang'mu
蕉芋,jiao'yu
角竹,jiao'zhu
芥菜,jie'cai
桔梗,jie'geng
桔梗科,jie'geng'ke
桔梗科分属检索表,jie'geng'ke'fen'shu'jian'suo'biao
桔梗属,jie'geng'shu
接骨草,jie'gu'cao
接骨木,jie'gu'mu
接骨木属,jie'gu'mu'shu
接骨木属分种检索表,jie'gu'mu'shu'fen'zhong'jian'suo'biao
节节菜,jie'jie'cai
节节菜属,jie'jie'cai'shu
截鳞苔草,jie'lin'tai'cao
结缕草,jie'lv'cao
结缕草属,jie'lv'cao'shu
睫毛萼凤仙花,jie'mao'e'feng'xian'hua
睫毛牛膝菊,jie'mao'niu'xi'ju
结香,jie'xiang
结香属,jie'xiang'shu
截叶山黑豆,jie'ye'shan'hei'dou
截叶铁扫帚,jie'ye'tie'sao'zhou
结壮飘拂草,jie'zhuang'piao'fu'cao
金边龙舌兰,jin'bian'long'she'lan
金不换,jin'bu'huan
堇菜,jin'cai
堇菜科,jin'cai'ke
堇菜属,jin'cai'shu
荩草,jin'cao
荩草属,jin'cao'shu
金疮小草,jin'chuang'xiao'cao
锦带花属,jin'dai'hua'shu
锦带花属分种检索表,jin'dai'hua'shu'fen'zhong'jian'suo'biao
金弹,jin'dan
金灯藤,jin'deng'teng
金豆,jin'dou
金发草属,jin'fa'cao'shu
金刚大,jin'gang'da
金刚大属,jin'gang'da'shu
筋骨草属,jin'gu'cao'shu
金光菊,jin'guang'ju
金光菊属,jin'guang'ju'shu
金桂,jin'gui
金合欢属,jin'he'huan'shu
锦鸡儿,jin'ji'er
锦鸡儿属,jin'ji'er'shu
金鸡菊属,jin'ji'ju'shu
金鸡菊属分种检索表,jin'ji'ju'shu'fen'zhong'jian'suo'biao
金锦香,jin'jin'xiang
金锦香属,jin'jin'xiang'shu
金桔属,jin'ju'shu
锦葵,jin'kui
锦葵科,jin'kui'ke
锦葵属,jin'kui'shu
金兰,jin'lan
金莲花,jin'lian'hua
金莲花科,jin'lian'hua'ke
金莲花属,jin'lian'hua'shu
金铃花,jin'ling'hua
金缕梅,jin'lv'mei
金缕梅科,jin'lv'mei'ke
金缕梅属,jin'lv'mei'shu
金茅,jin'mao
金毛耳草,jin'mao'er'cao
金茅属,jin'mao'shu
金钮扣,jin'niu'kou
金钮扣属,jin'niu'kou'shu
金钱豹,jin'qian'bao
金钱豹属,jin'qian'bao'shu
金钱蒲,jin'qian'pu
金色狗尾草,jin'se'gou'wei'cao
金色飘拂草,jin'se'piao'fu'cao
金丝草,jin'si'cao
金丝慈竹,jin'si'ci'zhu
金丝毛竹,jin'si'mao'zhu
金丝梅,jin'si'mei
金丝桃,jin'si'tao
金丝桃属,jin'si'tao'shu
金粟兰,jin'su'lan
金粟兰科,jin'su'lan'ke
金粟兰属,jin'su'lan'shu
金穗苔草,jin'sui'tai'cao
金挖耳,jin'wa'er
金线草,jin'xian'cao
金线草属,jin'xian'cao'shu
金线吊乌龟,jin'xian'diao'wu'gui
金腺荚蒾,jin'xian'jia'mi
锦香草属,jin'xiang'cao'shu
金镶玉竹,jin'xiang'yu'zhu
锦绣苋,jin'xiu'xian
金腰属,jin'yao'shu
堇叶报春,jin'ye'bao'chun
金叶微毛柃,jin'ye'wei'mao'ling
堇叶紫金牛,jin'ye'zi'jin'niu
金银莲花,jin'yin'lian'hua
金银忍冬,jin'yin'ren'dong
金缨绒花,jin'ying'rong'hua
金樱子,jin'ying'zi
金鱼草,jin'yu'cao
金鱼草属,jin'yu'cao'shu
金鱼藻,jin'yu'zao
金鱼藻科,jin'yu'zao'ke
金鱼藻属,jin'yu'zao'shu
金寨山葡萄,jin'zhai'shan'pu'tao
金盏菊,jin'zhan'ju
金盏菊属,jin'zhan'ju'shu
金盏银盘,jin'zhan'yin'pan
金钟花,jin'zhong'hua
金竹,jin'zhu
金爪儿,jin'zhua'er
井冈寒竹属,jing'gang'han'zhu'shu
箐姑草,jing'gu'cao
京黄芩,jing'huang'qin
旌节花科,jing'jie'hua'ke
旌节花属,jing'jie'hua'shu
荆芥属,jing'jie'shu
京梨猕猴桃,jing'li'mi'hou'tao
京芒草,jing'mang'cao
荆三棱,jing'san'leng
景天科,jing'tian'ke
景天属,jing'tian'shu
京竹,jing'zhu
镜子苔草,jing'zi'tai'cao
韭白竹,jiu'bai'zhu
九华山母草,jiu'hua'shan'mu'cao
九节,jiu'jie
九节龙,jiu'jie'long
九节属,jiu'jie'shu
九里香,jiu'li'xiang
九里香属,jiu'li'xiang'shu
韭莲,jiu'lian
九龙盘,jiu'long'pan
九龙山景天,jiu'long'shan'jing'tian
九头狮子草,jiu'tou'shi'zi'cao
具柄冬青,ju'bing'dong'qing
橘草,ju'cao
聚合草,ju'he'cao
聚合草属,ju'he'cao'shu
菊花,ju'hua
聚花草,ju'hua'cao
聚花草属,ju'hua'cao'shu
聚花过路黄,ju'hua'guo'lu'huang
菊科,ju'ke
菊科分属检索表,ju'ke'fen'shu'jian'suo'biao
具芒碎米莎草,ju'mang'sui'mi'suo'cao
具毛常绿荚蒾,ju'mao'chang'lv'jia'mi
榉树,ju'shu
菊属,ju'shu
菊属分种检索表菊,ju'shu'fen'zhong'jian'suo'biao'ju
榉树属,ju'shu'shu
矩形叶鼠刺,ju'xing'ye'shu'ci
巨序剪股颖,ju'xu'jian'gu'ying
矩叶勾儿茶,ju'ye'gou'er'cha
菊叶三七,ju'ye'san'qi
菊叶天竺葵,ju'ye'tian'zhu'kui
矩叶卫矛,ju'ye'wei'mao
菊芋,ju'yu
巨紫荆,ju'zi'jing
卷丹,juan'dan
卷耳属,juan'er'shu
卷毛长柄槭,juan'mao'chang'bing'qi
绢毛稠李,juan'mao'chou'li
绢毛马铃苣苔,juan'mao'ma'ling'ju'tai
绢毛飘拂草,juan'mao'piao'fu'cao
绢毛匍匐委陵菜,juan'mao'pu'fu'wei'ling'cai
绢毛山梅花,juan'mao'shan'mei'hua
爵床,jue'chuang
爵床科,jue'chuang'ke
爵床科分属检索表,jue'chuang'ke'fen'shu'jian'suo'biao
爵床属,jue'chuang'shu
决明,jue'ming
决明属,jue'ming'shu
蕨叶人字果,jue'ye'ren'zi'guo
蕨状苔草,jue'zhuang'tai'cao
君迁子,jun'qian'zi
筠竹,jun'zhu
君子兰,jun'zi'lan
君子兰属,jun'zi'lan'shu
开唇兰属,kai'chun'lan'shu
开口箭,kai'kou'jian
开口箭属,kai'kou'jian'shu
看麦娘,kan'mai'niang
看麦娘属,kan'mai'niang'shu
糠稷,kang'ji
康岭红竹,kang'ling'hong'zhu
栲属,kao'shu
栲树,kao'shu
克拉莎属,ke'la'sha'shu
珂楠树,ke'nan'shu
刻叶紫堇,ke'ye'zi'jin
孔雀草,kong'que'cao
空心苦,kong'xin'ku
空心泡,kong'xin'pao
孔颖草属,kong'ying'cao'shu
苦草,ku'cao
苦草属,ku'cao'shu
苦茶槭,ku'cha'qi
苦瓜,ku'gua
苦瓜属,ku'gua'shu
苦苣菜,ku'ju'cai
苦苣菜属,ku'ju'cai'shu
苦苣菜属分种检索表,ku'ju'cai'shu'fen'zhong'jian'suo'biao
苦苣苔,ku'ju'tai
苦苣苔科,ku'ju'tai'ke
苦苣苔科分属检索表,ku'ju'tai'ke'fen'shu'jian'suo'biao
苦苣苔属,ku'ju'tai'shu
苦槛蓝,ku'kan'lan
苦槛蓝科,ku'kan'lan'ke
苦槛蓝属,ku'kan'lan'shu
苦郎树,ku'lang'shu
苦枥木,ku'li'mu
苦绿竹,ku'lv'zhu
苦荬菜,ku'mai'cai
苦荬菜属,ku'mai'cai'shu
苦荬菜属分种检索表,ku'mai'cai'shu'fen'zhong'jian'suo'biao
苦木,ku'mu
苦木科,ku'mu'ke
苦木属,ku'mu'shu
苦皮藤,ku'pi'teng
苦参,ku'shen
苦绳,ku'sheng
苦糖果,ku'tang'guo
苦蘵,ku'zhi
苦槠,ku'zhu
苦竹,ku'zhu
苦竹属,ku'zhu'shu
苦梓,ku'zi
宽瓣绣球绣线菊,kuan'ban'xiu'qiu'xiu'xian'ju
款冬,kuan'dong
款冬属,kuan'dong'shu
宽萼白叶莓,kuan'e'bai'ye'mei
宽萼粗筒苣苔,kuan'e'cu'tong'ju'tai
宽距兰,kuan'ju'lan
宽距兰属,kuan'ju'lan'shu
宽裂缬草,kuan'lie'xie'cao
宽卵叶山蚂蟥,kuan'luan'ye'shan'ma'huang
宽叶吊兰,kuan'ye'diao'lan
宽叶鹅耳枥,kuan'ye'e'er'li
宽叶金粟兰,kuan'ye'jin'su'lan
宽叶景天,kuan'ye'jing'tian
宽叶老鸦瓣,kuan'ye'lao'ya'ban
宽叶母草,kuan'ye'mu'cao
宽叶山蒿,kuan'ye'shan'hao
宽叶鼠麹草,kuan'ye'shu'qu'cao
宽叶苔草,kuan'ye'tai'cao
宽叶下田菊,kuan'ye'xia'tian'ju
宽叶隐子草,kuan'ye'yin'zi'cao
魁蒿,kui'hao
葵叶茑萝,kui'ye'niao'luo
昆明山海棠,kun'ming'shan'hai'tang
阔蕊兰,kuo'rui'lan
阔蕊兰属,kuo'rui'lan'shu
阔叶旌节花,kuo'ye'jing'jie'hua
阔叶猕猴桃,kuo'ye'mi'hou'tao
阔叶槭,kuo'ye'qi
阔叶箬竹,kuo'ye'ruo'zhu
阔叶山麦冬,kuo'ye'shan'mai'dong
阔叶十大功劳,kuo'ye'shi'da'gong'lao
阔叶四叶葎,kuo'ye'si'ye'lv
阔叶沼兰,kuo'ye'zhao'lan
蜡瓣花,la'ban'hua
蜡瓣花属,la'ban'hua'shu
辣根,la'gen
辣根属,la'gen'shu
辣椒,la'jiao
辣椒属,la'jiao'shu
蜡菊,la'ju
蜡菊属,la'ju'shu
拉拉藤属,la'la'teng'shu
拉拉藤属分种检索表,la'la'teng'shu'fen'zhong'jian'suo'biao
腊莲绣球,la'lian'xiu'qiu
拉毛果,la'mao'guo
蜡子树,la'zi'shu
梾木,lai'mu
梾木属,lai'mu'shu
蓝刺头属,lan'ci'tou'shu
蓝耳草属,lan'er'cao'shu
蓝果树,lan'guo'shu
蓝果树科,lan'guo'shu'ke
蓝果树属,lan'guo'shu'shu
兰花参,lan'hua'can
兰花参属,lan'hua'can'shu
蓝花子,lan'hua'zi
兰考泡桐,lan'kao'pao'tong
兰科,lan'ke
榄科,lan'ke
榄绿粗叶木,lan'lv'cu'ye'mu
蓝盆花属,lan'pen'hua'shu
兰属,lan'shu
兰香草,lan'xiang'cao
蓝雪花,lan'xue'hua
蓝雪科,lan'xue'ke
蓝雪属,lan'xue'shu
蓝猪耳,lan'zhu'er
狼把草,lang'ba'cao
狼尾草,lang'wei'cao
狼尾草属,lang'wei'cao'shu
狼尾花,lang'wei'hua
琅玡榆,lang'ya'yu
榔榆,lang'yu
老鹳草,lao'guan'cao
老鹳草属,lao'guan'cao'shu
老虎刺,lao'hu'ci
老虎刺属,lao'hu'ci'shu
老鼠矢,lao'shu'shi
老鸦瓣,lao'ya'ban
老鸦糊,lao'ya'hu
老鸦柿,lao'ya'shi
乐东拟单性木兰,le'dong'ni'dan'xing'mu'lan
乐东藤,le'dong'teng
乐东藤属,le'dong'teng'shu
蕾芬,lei'fen
蕾芬属,lei'fen'shu
雷公鹅耳枥,lei'gong'e'er'li
雷公藤,lei'gong'teng
雷公藤属,lei'gong'teng'shu
类芦,lei'lu
类芦属,lei'lu'shu
藟头,lei'tou
类头状花序藨草,lei'tou'zhuang'hua'xu'biao'cao
雷竹,lei'zhu
棱角山矾,leng'jiao'shan'fan
棱角丝瓜,leng'jiao'si'gua
冷水花,leng'shui'hua
冷水花属,leng'shui'hua'shu
棱枝槲寄生,leng'zhi'hu'ji'sheng
鳢肠,li'chang
鳢肠属,li'chang'shu
栗褐苔草,li'he'tai'cao
栗寄生,li'ji'sheng
栗寄生属,li'ji'sheng'shu
藜科,li'ke
藜芦属,li'lu'shu
黎檬,li'meng
李属,li'shu
栎属,li'shu
栗属,li'shu
梨属,li'shu
藜属,li'shu
丽水苦竹,li'shui'ku'zhu
犁头尖,li'tou'jian
犁头尖属,li'tou'jian'shu
狸尾豆属,li'wei'dou'shu
