阿爷无大儿,a'ye'wu'da'er
子墨子见王,zi'mo'zi'jian'wang
子墨子解带为城,zi'mo'zi'jie'dai'wei'cheng
子墨子九距之,zi'mo'zi'jiu'ju'zhi
子墨子起,zi'mo'zi'qi
子墨子闻之,zi'mo'zi'wen'zhi
子墨子亦曰,zi'mo'zi'yi'yue
子墨子曰,zi'mo'zi'yue
子墨子曰北方有侮臣者,zi'mo'zi'yue'bei'fang'you'wu'chen'zhe
子墨子曰请献十金,zi'mo'zi'yue'qing'xian'shi'jin
子墨子之守圉有余,zi'mo'zi'zhi'shou'yu'you'yu
自三峡七百里中,zi'san'xia'qi'bai'li'zhong
字涉,zi'she
自是指物作诗立就,zi'shi'zhi'wu'zuo'shi'li'jiu
字叔,zi'shu
子夏曰,zi'xia'yue
自以为不如,zi'yi'wei'bu'ru
自以为大有所益,zi'yi'wei'da'you'suo'yi
子又有孙,zi'you'you'sun
自缘身在最高层,zi'yuan'shen'zai'zui'gao'ceng
子曰,zi'yue
自云先世避秦时乱,zi'yun'xian'shi'bi'qin'shi'luan
子在川上曰,zi'zai'chuan'shang'yue
子张,zi'zhang
子之不知鱼之乐全矣,zi'zhi'bu'zhi'yu'zhi'le'quan'yi
资治通鉴,zi'zhi'tong'jian
子知之乎,zi'zhi'zhi'hu
子子孙孙,zi'zi'sun'sun
总揽英雄,zong'lan'ying'xiong
邹忌讽齐王纳谏,zou'ji'feng'qi'wang'na'jian
邹忌修八尺有余,zou'ji'xiu'ba'chi'you'yu
走马川行,zou'ma'chuan'xing
走送之,zou'song'zhi
足肤皲裂而不知,zu'fu'jun'lie'er'bu'zhi
卒获有所闻,zu'huo'you'suo'wen
卒皆夜惊恐,zu'jie'ye'jing'kong
卒买鱼烹食,zu'mai'yu'peng'shi
卒数万人,zu'shu'wan'ren
足蒸暑土气,zu'zheng'shu'tu'qi
卒之为众人,zu'zhi'wei'zhong'ren
最爱湖东行不足,zui'ai'hu'dong'xing'bu'zu
醉后各分散,zui'hou'ge'fen'san
醉花阴,zui'hua'yin
醉里挑灯看剑,zui'li'tiao'deng'kan'jian
醉能同其乐,zui'neng'tong'qi'le
最是一年春好处,zui'shi'yi'nian'chun'hao'chu
醉翁亭记,zui'weng'ting'ji
醉翁亭也,zui'weng'ting'ye
醉翁之意不在酒,zui'weng'zhi'yi'bu'zai'jiu
尊君在不,zun'jun'zai'bu
左臂挂念珠倚之,zuo'bi'gua'nian'zhu'yi'zhi
左臂悬敝筐,zuo'bi'xuan'bi'kuang
坐断东南战未休,zuo'duan'dong'nan'zhan'wei'xiu
坐观垂钓者,zuo'guan'chui'diao'zhe
左将军王凝之妻也,zuo'jiang'jun'wang'ning'zhi'qi'ye
坐看云起时,zuo'kan'yun'qi'shi
左刻,zuo'ke
左佩刀,zuo'pei'dao
左牵黄,zuo'qian'huang
左迁至蓝关示侄孙湘,zuo'qian'zhi'lan'guan'shi'zhi'sun'xiang
昨日之日不可留,zuo'ri'zhi'ri'bu'ke'liu
左手抚炉,zuo'shou'fu'lu
左手抚鲁直背,zuo'shou'fu'lu'zhi'bei
左手倚一衡木,zuo'shou'yi'yi'heng'mu
坐潭上,zuo'tan'shang
作亭者谁,zuo'ting'zhe'shui
坐我西阁床,zuo'wo'xi'ge'chuang
昨夜见军帖,zuo'ye'jian'jun'tie
左右采之,zuo'you'cai'zhi
左右各四,zuo'you'ge'si
左右流之,zuo'you'liu'zhi
左右芼之,zuo'you'mao'zhi
作则飞沙走砾,zuo'ze'fei'sha'zou'li
左传,zuo'zhuan
