阿坝师范高等专科学校,a'ba'shi'fan'gao'deng'zhuan'ke'xue'xiao
山东电子职业技术学院,shan'dong'dian'zi'zhi'ye'ji'shu'xue'yuan
山东纺织职业学院,shan'dong'fang'zhi'zhi'ye'xue'yuan
山东服装职业学院,shan'dong'fu'zhuang'zhi'ye'xue'yuan
山东工贸职业学院,shan'dong'gong'mao'zhi'ye'xue'yuan
山东工商学院,shan'dong'gong'shang'xue'yuan
山东工业职业学院,shan'dong'gong'ye'zhi'ye'xue'yuan
山东工艺美术学院,shan'dong'gong'yi'mei'shu'xue'yuan
山东化工职业学院,shan'dong'hua'gong'zhi'ye'xue'yuan
山东华宇职业技术学院,shan'dong'hua'yu'zhi'ye'ji'shu'xue'yuan
山东建筑大学,shan'dong'jian'zhu'da'xue
山东建筑工程学院,shan'dong'jian'zhu'gong'cheng'xue'yuan
山东交通学院,shan'dong'jiao'tong'xue'yuan
山东交通职业学院,shan'dong'jiao'tong'zhi'ye'xue'yuan
山东教育学院,shan'dong'jiao'yu'xue'yuan
山东警察学院,shan'dong'jing'cha'xue'yuan
山东经济学院,shan'dong'jing'ji'xue'yuan
山东经济学院燕山学院,shan'dong'jing'ji'xue'yuan'yan'shan'xue'yuan
山东经贸职业学院,shan'dong'jing'mao'zhi'ye'xue'yuan
山东军星职业技术学院,shan'dong'jun'xing'zhi'ye'ji'shu'xue'yuan
山东凯文科技职业学院,shan'dong'kai'wen'ke'ji'zhi'ye'xue'yuan
山东科技大学,shan'dong'ke'ji'da'xue
山东科技大学泰山科技学院,shan'dong'ke'ji'da'xue'tai'shan'ke'ji'xue'yuan
山东科技职业学院,shan'dong'ke'ji'zhi'ye'xue'yuan
山东矿业职业技术学院,shan'dong'kuang'ye'zhi'ye'ji'shu'xue'yuan
山东劳动职业技术学院,shan'dong'lao'dong'zhi'ye'ji'shu'xue'yuan
山东理工大学,shan'dong'li'gong'da'xue
山东力明科技职业学院,shan'dong'li'ming'ke'ji'zhi'ye'xue'yuan
山东铝业职业学院,shan'dong'lv'ye'zhi'ye'xue'yuan
山东旅游职业学院,shan'dong'lv'you'zhi'ye'xue'yuan
山东农业大学,shan'dong'nong'ye'da'xue
山东轻工业学院,shan'dong'qing'gong'ye'xue'yuan
山东商业职业技术学院,shan'dong'shang'ye'zhi'ye'ji'shu'xue'yuan
山东省工会管理干部学院,shan'dong'sheng'gong'hui'guan'li'gan'bu'xue'yuan
山东圣翰财贸职业学院,shan'dong'sheng'han'cai'mao'zhi'ye'xue'yuan
山东省经济管理干部学院,shan'dong'sheng'jing'ji'guan'li'gan'bu'xue'yuan
山东胜利职业学院,shan'dong'sheng'li'zhi'ye'xue'yuan
山东省贸易职工大学,shan'dong'sheng'mao'yi'zhi'gong'da'xue
山东省农业管理干部学院,shan'dong'sheng'nong'ye'guan'li'gan'bu'xue'yuan
山东省青年管理干部学院,shan'dong'sheng'qing'nian'guan'li'gan'bu'xue'yuan
山东省水利职工大学,shan'dong'sheng'shui'li'zhi'gong'da'xue
山东省政法管理干部学院,shan'dong'sheng'zheng'fa'guan'li'gan'bu'xue'yuan
山东师范大学,shan'dong'shi'fan'da'xue
山东师范大学历山学院,shan'dong'shi'fan'da'xue'li'shan'xue'yuan
山东水利职业学院,shan'dong'shui'li'zhi'ye'xue'yuan
山东水利专科学校,shan'dong'shui'li'zhuan'ke'xue'xiao
山东体育学院,shan'dong'ti'yu'xue'yuan
山东外国语职业学院,shan'dong'wai'guo'yu'zhi'ye'xue'yuan
山东外贸职业学院,shan'dong'wai'mao'zhi'ye'xue'yuan
山东外事翻译职业学院,shan'dong'wai'shi'fan'yi'zhi'ye'xue'yuan
山东万杰医学高等专科学校,shan'dong'wan'jie'yi'xue'gao'deng'zhuan'ke'xue'xiao
山东现代职业学院,shan'dong'xian'dai'zhi'ye'xue'yuan
山东协和职业技术学院,shan'dong'xie'he'zhi'ye'ji'shu'xue'yuan
山东信息职业技术学院,shan'dong'xin'xi'zhi'ye'ji'shu'xue'yuan
山东杏林科技职业学院,shan'dong'xing'lin'ke'ji'zhi'ye'xue'yuan
山东行政学院,shan'dong'xing'zheng'xue'yuan
山东畜牧兽医职业学院,shan'dong'xu'mu'shou'yi'zhi'ye'xue'yuan
山东药品食品职业学院,shan'dong'yao'pin'shi'pin'zhi'ye'xue'yuan
山东艺术学院,shan'dong'yi'shu'xue'yuan
山东医学高等专科学校,shan'dong'yi'xue'gao'deng'zhuan'ke'xue'xiao
山东英才职业技术学院,shan'dong'ying'cai'zhi'ye'ji'shu'xue'yuan
山东政法学院,shan'dong'zheng'fa'xue'yuan
山东中医药大学,shan'dong'zhong'yi'yao'da'xue
山东中医药高等专科学校,shan'dong'zhong'yi'yao'gao'deng'zhuan'ke'xue'xiao
山海关区,shan'hai'guan'qu
汕头职业技术学院,shan'tou'zhi'ye'ji'shu'xue'yuan
汕尾职业技术学院,shan'wei'zhi'ye'ji'shu'xue'yuan
陕西兵器工业职工大学,shan'xi'bing'qi'gong'ye'zhi'gong'da'xue
山西兵器工业职工大学,shan'xi'bing'qi'gong'ye'zhi'gong'da'xue
山西财经大学,shan'xi'cai'jing'da'xue
山西财经大学华商学院,shan'xi'cai'jing'da'xue'hua'shang'xue'yuan
陕西财经职业技术学院,shan'xi'cai'jing'zhi'ye'ji'shu'xue'yuan
山西财贸职业技术学院,shan'xi'cai'mao'zhi'ye'ji'shu'xue'yuan
山西财政税务专科学校,shan'xi'cai'zheng'shui'wu'zhuan'ke'xue'xiao
山西大同大学,shan'xi'da'tong'da'xue
山西大学,shan'xi'da'xue
山西大学工程学院,shan'xi'da'xue'gong'cheng'xue'yuan
山西大学商务学院,shan'xi'da'xue'shang'wu'xue'yuan
山西电力职业技术学院,shan'xi'dian'li'zhi'ye'ji'shu'xue'yuan
陕西电子工业职工大学,shan'xi'dian'zi'gong'ye'zhi'gong'da'xue
陕西电子科技职业学院,shan'xi'dian'zi'ke'ji'zhi'ye'xue'yuan
陕西电子信息职业技术学院,shan'xi'dian'zi'xin'xi'zhi'ye'ji'shu'xue'yuan
陕西纺织服装职业技术学院,shan'xi'fang'zhi'fu'zhuang'zhi'ye'ji'shu'xue'yuan
陕西服装艺术职业学院,shan'xi'fu'zhuang'yi'shu'zhi'ye'xue'yuan
山西工程职业技术学院,shan'xi'gong'cheng'zhi'ye'ji'shu'xue'yuan
山西工商职业学院,shan'xi'gong'shang'zhi'ye'xue'yuan
陕西工业职业技术学院,shan'xi'gong'ye'zhi'ye'ji'shu'xue'yuan
陕西工运学院,shan'xi'gong'yun'xue'yuan
山西管理职业学院,shan'xi'guan'li'zhi'ye'xue'yuan
陕西国防工业职业技术学院,shan'xi'guo'fang'gong'ye'zhi'ye'ji'shu'xue'yuan
陕西国际商贸职业学院,shan'xi'guo'ji'shang'mao'zhi'ye'xue'yuan
山西国际商务职业学院,shan'xi'guo'ji'shang'wu'zhi'ye'xue'yuan
陕西航空职业技术学院,shan'xi'hang'kong'zhi'ye'ji'shu'xue'yuan
陕西航天职工大学,shan'xi'hang'tian'zhi'gong'da'xue
山西华澳商贸职业学院,shan'xi'hua'ao'shang'mao'zhi'ye'xue'yuan
山西机电职业技术学院,shan'xi'ji'dian'zhi'ye'ji'shu'xue'yuan
山西建筑职业技术学院,shan'xi'jian'zhu'zhi'ye'ji'shu'xue'yuan
陕西交通职业技术学院,shan'xi'jiao'tong'zhi'ye'ji'shu'xue'yuan
山西交通职业技术学院,shan'xi'jiao'tong'zhi'ye'ji'shu'xue'yuan
陕西教育学院,shan'xi'jiao'yu'xue'yuan
山西金融职业技术学院,shan'xi'jin'rong'zhi'ye'ji'shu'xue'yuan
山西警官高等专科学校,shan'xi'jing'guan'gao'deng'zhuan'ke'xue'xiao
陕西警官职业学院,shan'xi'jing'guan'zhi'ye'xue'yuan
山西警官职业学院,shan'xi'jing'guan'zhi'ye'xue'yuan
山西经济管理干部学院,shan'xi'jing'ji'guan'li'gan'bu'xue'yuan
陕西经济管理职业技术学院,shan'xi'jing'ji'guan'li'zhi'ye'ji'shu'xue'yuan
陕西科技大学,shan'xi'ke'ji'da'xue
陕西科技大学镐京学院,shan'xi'ke'ji'da'xue'hao'jing'xue'yuan
陕西理工学院,shan'xi'li'gong'xue'yuan
山西林业职业技术学院,shan'xi'lin'ye'zhi'ye'ji'shu'xue'yuan
陕西旅游烹饪职业学院,shan'xi'lv'you'peng'ren'zhi'ye'xue'yuan
山西旅游职业学院,shan'xi'lv'you'zhi'ye'xue'yuan
山西煤炭管理干部学院,shan'xi'mei'tan'guan'li'gan'bu'xue'yuan
山西煤炭职业技术学院,shan'xi'mei'tan'zhi'ye'ji'shu'xue'yuan
陕西能源职业技术学院,shan'xi'neng'yuan'zhi'ye'ji'shu'xue'yuan
山西农业大学,shan'xi'nong'ye'da'xue
山西农业大学信息学院,shan'xi'nong'ye'da'xue'xin'xi'xue'yuan
陕西青年管理干部学院,shan'xi'qing'nian'guan'li'gan'bu'xue'yuan
山西青年管理干部学院,shan'xi'qing'nian'guan'li'gan'bu'xue'yuan
陕西青年职业学院,shan'xi'qing'nian'zhi'ye'xue'yuan
陕西省建筑工程总公司职工大学,shan'xi'sheng'jian'zhu'gong'cheng'zong'gong'si'zhi'gong'da'xue
山西生物应用职业技术学院,shan'xi'sheng'wu'ying'yong'zhi'ye'ji'shu'xue'yuan
陕西师范大学,shan'xi'shi'fan'da'xue
山西师范大学,shan'xi'shi'fan'da'xue
山西师范大学现代文理学院,shan'xi'shi'fan'da'xue'xian'dai'wen'li'xue'yuan
山西水利职业技术学院,shan'xi'shui'li'zhi'ye'ji'shu'xue'yuan
山西体育职业学院,shan'xi'ti'yu'zhi'ye'xue'yuan
陕西铁路工程职业技术学院,shan'xi'tie'lu'gong'cheng'zhi'ye'ji'shu'xue'yuan
山西同文外语职业学院,shan'xi'tong'wen'wai'yu'zhi'ye'xue'yuan
山西戏剧职业学院,shan'xi'xi'ju'zhi'ye'xue'yuan
山西信息职业技术学院,shan'xi'xin'xi'zhi'ye'ji'shu'xue'yuan
山西兴华职业学院,shan'xi'xing'hua'zhi'ye'xue'yuan
山西医科大学,shan'xi'yi'ke'da'xue
山西医科大学晋祠学院,shan'xi'yi'ke'da'xue'jin'ci'xue'yuan
山西艺术职业学院,shan'xi'yi'shu'zhi'ye'xue'yuan
陕西邮电职业技术学院,shan'xi'you'dian'zhi'ye'ji'shu'xue'yuan
山西运城农业职业技术学院,shan'xi'yun'cheng'nong'ye'zhi'ye'ji'shu'xue'yuan
山西政法管理干部学院,shan'xi'zheng'fa'guan'li'gan'bu'xue'yuan
山西职工医学院,shan'xi'zhi'gong'yi'xue'yuan
陕西职业技术学院,shan'xi'zhi'ye'ji'shu'xue'yuan
陕西中医学院,shan'xi'zhong'yi'xue'yuan
山西中医学院,shan'xi'zhong'yi'xue'yuan
山西综合职业技术学院,shan'xi'zong'he'zhi'ye'ji'shu'xue'yuan
上甘岭区,shang'gan'ling'qu
上海邦德职业技术学院,shang'hai'bang'de'zhi'ye'ji'shu'xue'yuan
上海财经大学,shang'hai'cai'jing'da'xue
上海城市管理职业技术学院,shang'hai'cheng'shi'guan'li'zhi'ye'ji'shu'xue'yuan
上海出版印刷高等专科学校,shang'hai'chu'ban'yin'shua'gao'deng'zhuan'ke'xue'xiao
上海大学,shang'hai'da'xue
上海第二工业大学,shang'hai'di'er'gong'ye'da'xue
上海第二医科大学,shang'hai'di'er'yi'ke'da'xue
上海电机学院,shang'hai'dian'ji'xue'yuan
上海电力学院,shang'hai'dian'li'xue'yuan
上海电影艺术职业学院,shang'hai'dian'ying'yi'shu'zhi'ye'xue'yuan
上海电子信息职业技术学院,shang'hai'dian'zi'xin'xi'zhi'ye'ji'shu'xue'yuan
上海东海职业技术学院,shang'hai'dong'hai'zhi'ye'ji'shu'xue'yuan
上海对外贸易学院,shang'hai'dui'wai'mao'yi'xue'yuan
上海纺织工业职工大学,shang'hai'fang'zhi'gong'ye'zhi'gong'da'xue
上海公安高等专科学校,shang'hai'gong'an'gao'deng'zhuan'ke'xue'xiao
上海工程技术大学,shang'hai'gong'cheng'ji'shu'da'xue
上海工会管理职业学院,shang'hai'gong'hui'guan'li'zhi'ye'xue'yuan
上海工商外国语职业学院,shang'hai'gong'shang'wai'guo'yu'zhi'ye'xue'yuan
上海工商学院,shang'hai'gong'shang'xue'yuan
上海工艺美术职业学院,shang'hai'gong'yi'mei'shu'zhi'ye'xue'yuan
上海海关高等专科学校,shang'hai'hai'guan'gao'deng'zhuan'ke'xue'xiao
上海海关学院,shang'hai'hai'guan'xue'yuan
上海海事大学,shang'hai'hai'shi'da'xue
上海海事职业技术学院,shang'hai'hai'shi'zhi'ye'ji'shu'xue'yuan
上海海洋大学,shang'hai'hai'yang'da'xue
上海济光职业技术学院,shang'hai'ji'guang'zhi'ye'ji'shu'xue'yuan
上海建峰职业技术学院,shang'hai'jian'feng'zhi'ye'ji'shu'xue'yuan
上海建桥职业技术学院,shang'hai'jian'qiao'zhi'ye'ji'shu'xue'yuan
上海交通大学,shang'hai'jiao'tong'da'xue
上海交通职业技术学院,shang'hai'jiao'tong'zhi'ye'ji'shu'xue'yuan
上海金融学院,shang'hai'jin'rong'xue'yuan
上海科技管理干部学院,shang'hai'ke'ji'guan'li'gan'bu'xue'yuan
上海科学技术职业学院,shang'hai'ke'xue'ji'shu'zhi'ye'xue'yuan
上海立达职业技术学院,shang'hai'li'da'zhi'ye'ji'shu'xue'yuan
上海理工大学,shang'hai'li'gong'da'xue
上海立信会计学院,shang'hai'li'xin'kuai'ji'xue'yuan
上海旅游高等专科学校,shang'hai'lv'you'gao'deng'zhuan'ke'xue'xiao
上海民远职业技术学院,shang'hai'min'yuan'zhi'ye'ji'shu'xue'yuan
上海农林职业技术学院,shang'hai'nong'lin'zhi'ye'ji'shu'xue'yuan
上海欧华职业技术学院,shang'hai'ou'hua'zhi'ye'ji'shu'xue'yuan
上海青年管理干部学院,shang'hai'qing'nian'guan'li'gan'bu'xue'yuan
上海杉达学院,shang'hai'shan'da'xue'yuan
上海商学院,shang'hai'shang'xue'yuan
上海师范大学,shang'hai'shi'fan'da'xue
上海师范大学天华学院,shang'hai'shi'fan'da'xue'tian'hua'xue'yuan
上海市工会管理干部学院,shang'hai'shi'gong'hui'guan'li'gan'bu'xue'yuan
上海市经济管理干部学院,shang'hai'shi'jing'ji'guan'li'gan'bu'xue'yuan
上海水产大学,shang'hai'shui'chan'da'xue
上海思博职业技术学院,shang'hai'si'bo'zhi'ye'ji'shu'xue'yuan
上海体育学院,shang'hai'ti'yu'xue'yuan
上海托普信息技术职业学院,shang'hai'tuo'pu'xin'xi'ji'shu'zhi'ye'xue'yuan
上海外国语大学,shang'hai'wai'guo'yu'da'xue
上海外国语大学贤达经济,shang'hai'wai'guo'yu'da'xue'xian'da'jing'ji
上海戏剧学院,shang'hai'xi'ju'xue'yuan
上海新侨职业技术学院,shang'hai'xin'qiao'zhi'ye'ji'shu'xue'yuan
上海行健职业学院,shang'hai'xing'jian'zhi'ye'xue'yuan
上海医疗器械高等专科学校,shang'hai'yi'liao'qi'xie'gao'deng'zhuan'ke'xue'xiao
上海医药职工大学,shang'hai'yi'yao'zhi'gong'da'xue
上海音乐学院,shang'hai'yin'yue'xue'yuan
上海应用技术学院,shang'hai'ying'yong'ji'shu'xue'yuan
上海震旦职业学院,shang'hai'zhen'dan'zhi'ye'xue'yuan
上海政法学院,shang'hai'zheng'fa'xue'yuan
上海职工医学院,shang'hai'zhi'gong'yi'xue'yuan
上海中华职业技术学院,shang'hai'zhong'hua'zhi'ye'ji'shu'xue'yuan
上海中侨职业技术学院,shang'hai'zhong'qiao'zhi'ye'ji'shu'xue'yuan
上海中医药大学,shang'hai'zhong'yi'yao'da'xue
商洛学院,shang'luo'xue'yuan
商洛职业技术学院,shang'luo'zhi'ye'ji'shu'xue'yuan
商丘科技职业学院,shang'qiu'ke'ji'zhi'ye'xue'yuan
商丘师范学院,shang'qiu'shi'fan'xue'yuan
商丘医学高等专科学校,shang'qiu'yi'xue'gao'deng'zhuan'ke'xue'xiao
商丘职业技术学院,shang'qiu'zhi'ye'ji'shu'xue'yuan
上饶师范学院,shang'rao'shi'fan'xue'yuan
上饶职业技术学院,shang'rao'zhi'ye'ji'shu'xue'yuan
韶关学院,shao'guan'xue'yuan
绍兴托普信息职业技术学院,shao'xing'tuo'pu'xin'xi'zhi'ye'ji'shu'xue'yuan
绍兴文理学院,shao'xing'wen'li'xue'yuan
绍兴文理学院元培学院,shao'xing'wen'li'xue'yuan'yuan'pei'xue'yuan
绍兴越秀外国语职业学院,shao'xing'yue'xiu'wai'guo'yu'zhi'ye'xue'yuan
邵阳学院,shao'yang'xue'yuan
邵阳医学高等专科学校,shao'yang'yi'xue'gao'deng'zhuan'ke'xue'xiao
邵阳职业技术学院,shao'yang'zhi'ye'ji'shu'xue'yuan
沈阳大学,shen'yang'da'xue
沈阳大学科技工程学院,shen'yang'da'xue'ke'ji'gong'cheng'xue'yuan
沈阳工程学院,shen'yang'gong'cheng'xue'yuan
沈阳工业大学,shen'yang'gong'ye'da'xue
沈阳工业大学工程学院,shen'yang'gong'ye'da'xue'gong'cheng'xue'yuan
沈阳航空工业学院,shen'yang'hang'kong'gong'ye'xue'yuan
沈阳航空工业学院北方科技学院,shen'yang'hang'kong'gong'ye'xue'yuan'bei'fang'ke'ji'xue'yuan
沈阳航空职业技术学院,shen'yang'hang'kong'zhi'ye'ji'shu'xue'yuan
沈阳化工学院,shen'yang'hua'gong'xue'yuan
沈阳化工学院科亚学院,shen'yang'hua'gong'xue'yuan'ke'ya'xue'yuan
沈阳建筑大学,shen'yang'jian'zhu'da'xue
沈阳建筑大学城市建设学院,shen'yang'jian'zhu'da'xue'cheng'shi'jian'she'xue'yuan
沈阳理工大学,shen'yang'li'gong'da'xue
沈阳理工大学应用技术学院,shen'yang'li'gong'da'xue'ying'yong'ji'shu'xue'yuan
沈阳农业大学,shen'yang'nong'ye'da'xue
沈阳农业大学科学技术学院,shen'yang'nong'ye'da'xue'ke'xue'ji'shu'xue'yuan
沈阳炮兵学院,shen'yang'pao'bing'xue'yuan
沈阳师范大学,shen'yang'shi'fan'da'xue
沈阳师范大学渤海学院,shen'yang'shi'fan'da'xue'bo'hai'xue'yuan
沈阳体育学院,shen'yang'ti'yu'xue'yuan
沈阳药科大学,shen'yang'yao'ke'da'xue
沈阳医学院,shen'yang'yi'xue'yuan
沈阳医学院何氏视觉科学学院,shen'yang'yi'xue'yuan'he'shi'shi'jue'ke'xue'xue'yuan
沈阳音乐学院,shen'yang'yin'yue'xue'yuan
沈阳职业技术学院,shen'yang'zhi'ye'ji'shu'xue'yuan
深圳大学,shen'zhen'da'xue
深圳信息职业技术学院,shen'zhen'xin'xi'zhi'ye'ji'shu'xue'yuan
深圳职业技术学院,shen'zhen'zhi'ye'ji'shu'xue'yuan
圣保罗大学,sheng'bao'luo'da'xue
石河子大学,shi'he'zi'da'xue
石河子大学科技学院,shi'he'zi'da'xue'ke'ji'xue'yuan
石家庄东方美术职业学院,shi'jia'zhuang'dong'fang'mei'shu'zhi'ye'xue'yuan
石家庄法商职业学院,shi'jia'zhuang'fa'shang'zhi'ye'xue'yuan
石家庄工商职业学院,shi'jia'zhuang'gong'shang'zhi'ye'xue'yuan
石家庄计算机职业学院,shi'jia'zhuang'ji'suan'ji'zhi'ye'xue'yuan
石家庄经济学院,shi'jia'zhuang'jing'ji'xue'yuan
石家庄经济学院华信学院,shi'jia'zhuang'jing'ji'xue'yuan'hua'xin'xue'yuan
石家庄科技信息职业学院,shi'jia'zhuang'ke'ji'xin'xi'zhi'ye'xue'yuan
石家庄联合技术职业学院,shi'jia'zhuang'lian'he'ji'shu'zhi'ye'xue'yuan
石家庄陆军学院,shi'jia'zhuang'lu'jun'xue'yuan
石家庄铁道学院,shi'jia'zhuang'tie'dao'xue'yuan
石家庄铁道学院四方学院,shi'jia'zhuang'tie'dao'xue'yuan'si'fang'xue'yuan
石家庄铁路职业技术学院,shi'jia'zhuang'tie'lu'zhi'ye'ji'shu'xue'yuan
石家庄外经贸职业学院,shi'jia'zhuang'wai'jing'mao'zhi'ye'xue'yuan
石家庄外语翻译职业学院,shi'jia'zhuang'wai'yu'fan'yi'zhi'ye'xue'yuan
石家庄信息工程职业学院,shi'jia'zhuang'xin'xi'gong'cheng'zhi'ye'xue'yuan
石家庄学院,shi'jia'zhuang'xue'yuan
石家庄影视艺术职业学院,shi'jia'zhuang'ying'shi'yi'shu'zhi'ye'xue'yuan
石家庄邮电职业技术学院,shi'jia'zhuang'you'dian'zhi'ye'ji'shu'xue'yuan
石家庄职工大学,shi'jia'zhuang'zhi'gong'da'xue
石家庄职业技术学院,shi'jia'zhuang'zhi'ye'ji'shu'xue'yuan
十堰教育学院,shi'yan'jiao'yu'xue'yuan
十堰职业技术学院,shi'yan'zhi'ye'ji'shu'xue'yuan
首都经济贸易大学,shou'du'jing'ji'mao'yi'da'xue
首都师范大学,shou'du'shi'fan'da'xue
首都师范大学科德学院,shou'du'shi'fan'da'xue'ke'de'xue'yuan
首都体育学院,shou'du'ti'yu'xue'yuan
首都医科大学,shou'du'yi'ke'da'xue
首钢工学院,shou'gang'gong'xue'yuan
双台子区,shuang'tai'zi'qu
顺德职业技术学院,shun'de'zhi'ye'ji'shu'xue'yuan
四川大学,si'chuan'da'xue
四川大学锦城学院,si'chuan'da'xue'jin'cheng'xue'yuan
四川大学锦江学院,si'chuan'da'xue'jin'jiang'xue'yuan
四川电力职业技术学院,si'chuan'dian'li'zhi'ye'ji'shu'xue'yuan
四川工程职业技术学院,si'chuan'gong'cheng'zhi'ye'ji'shu'xue'yuan
四川工商职业技术学院,si'chuan'gong'shang'zhi'ye'ji'shu'xue'yuan
四川管理职业学院,si'chuan'guan'li'zhi'ye'xue'yuan
四川国际标榜职业学院,si'chuan'guo'ji'biao'bang'zhi'ye'xue'yuan
四川航天职业技术学院,si'chuan'hang'tian'zhi'ye'ji'shu'xue'yuan
四川化工职业技术学院,si'chuan'hua'gong'zhi'ye'ji'shu'xue'yuan
四川华新现代职业学院,si'chuan'hua'xin'xian'dai'zhi'ye'xue'yuan
四川机电职业技术学院,si'chuan'ji'dian'zhi'ye'ji'shu'xue'yuan
四川建筑职业技术学院,si'chuan'jian'zhu'zhi'ye'ji'shu'xue'yuan
四川交通职业技术学院,si'chuan'jiao'tong'zhi'ye'ji'shu'xue'yuan
四川教育学院,si'chuan'jiao'yu'xue'yuan
四川警安职业学院,si'chuan'jing'an'zhi'ye'xue'yuan
四川警察学院,si'chuan'jing'cha'xue'yuan
四川经济管理干部学院,si'chuan'jing'ji'guan'li'gan'bu'xue'yuan
四川理工学院,si'chuan'li'gong'xue'yuan
四川美术学院,si'chuan'mei'shu'xue'yuan
四川农业大学,si'chuan'nong'ye'da'xue
四川烹饪高等专科学校,si'chuan'peng'ren'gao'deng'zhuan'ke'xue'xiao
四川商务职业学院,si'chuan'shang'wu'zhi'ye'xue'yuan
四川省计划生育管理干部学院,si'chuan'sheng'ji'hua'sheng'yu'guan'li'gan'bu'xue'yuan
四川省科学城,si'chuan'sheng'ke'xue'cheng
四川师范大学,si'chuan'shi'fan'da'xue
四川师范大学成都学院,si'chuan'shi'fan'da'xue'cheng'du'xue'yuan
四川师范大学文理学院,si'chuan'shi'fan'da'xue'wen'li'xue'yuan
四川水利职业技术学院,si'chuan'shui'li'zhi'ye'ji'shu'xue'yuan
四川司法警官职业学院,si'chuan'si'fa'jing'guan'zhi'ye'xue'yuan
四川托普信息技术职业学院,si'chuan'tuo'pu'xin'xi'ji'shu'zhi'ye'xue'yuan
四川外语学院,si'chuan'wai'yu'xue'yuan
四川外语学院成都学院,si'chuan'wai'yu'xue'yuan'cheng'du'xue'yuan
四川外语学院重庆南方翻译学院,si'chuan'wai'yu'xue'yuan'chong'qing'nan'fang'fan'yi'xue'yuan
四川文化传媒职业学院,si'chuan'wen'hua'chuan'mei'zhi'ye'xue'yuan
四川文理学院,si'chuan'wen'li'xue'yuan
四川信息职业技术学院,si'chuan'xin'xi'zhi'ye'ji'shu'xue'yuan
四川音乐学院,si'chuan'yin'yue'xue'yuan
四川音乐学院绵阳艺术学院,si'chuan'yin'yue'xue'yuan'mian'yang'yi'shu'xue'yuan
四川邮电职业技术学院,si'chuan'you'dian'zhi'ye'ji'shu'xue'yuan
四川职业技术学院,si'chuan'zhi'ye'ji'shu'xue'yuan
四川中医药高等专科学校,si'chuan'zhong'yi'yao'gao'deng'zhuan'ke'xue'xiao
斯德哥尔摩大学,si'de'ge'er'mo'da'xue
四方台区,si'fang'tai'qu
私立华联学院,si'li'hua'lian'xue'yuan
思茅师范高等专科学校,si'mao'shi'fan'gao'deng'zhuan'ke'xue'xiao
四平职业大学,si'ping'zhi'ye'da'xue
斯坦福大学,si'tan'fu'da'xue
嵩山少林武术职业学院,song'shan'shao'lin'wu'shu'zhi'ye'xue'yuan
松原职业技术学院,song'yuan'zhi'ye'ji'shu'xue'yuan
苏州大学,su'zhou'da'xue
苏州大学文正学院,su'zhou'da'xue'wen'zheng'xue'yuan
苏州大学应用技术学院,su'zhou'da'xue'ying'yong'ji'shu'xue'yuan
苏州港大思培科技职业学院,su'zhou'gang'da'si'pei'ke'ji'zhi'ye'xue'yuan
苏州工业园区职业技术学院,su'zhou'gong'ye'yuan'qu'zhi'ye'ji'shu'xue'yuan
苏州工业职业技术学院,su'zhou'gong'ye'zhi'ye'ji'shu'xue'yuan
苏州工艺美术职业技术学院,su'zhou'gong'yi'mei'shu'zhi'ye'ji'shu'xue'yuan
宿州教育学院,su'zhou'jiao'yu'xue'yuan
苏州经贸职业技术学院,su'zhou'jing'mao'zhi'ye'ji'shu'xue'yuan
苏州科技学院,su'zhou'ke'ji'xue'yuan
苏州科技学院天平学院,su'zhou'ke'ji'xue'yuan'tian'ping'xue'yuan
苏州农业职业技术学院,su'zhou'nong'ye'zhi'ye'ji'shu'xue'yuan
苏州托普信息职业技术学院,su'zhou'tuo'pu'xin'xi'zhi'ye'ji'shu'xue'yuan
宿州学院,su'zhou'xue'yuan
苏州职业大学,su'zhou'zhi'ye'da'xue
宿州职业技术学院,su'zhou'zhi'ye'ji'shu'xue'yuan
绥化学院,sui'hua'xue'yuan
随州职业技术学院,sui'zhou'zhi'ye'ji'shu'xue'yuan
塔里木大学,ta'li'mu'da'xue
泰山学院,tai'shan'xue'yuan
泰山医学院,tai'shan'yi'xue'yuan
泰山职业技术学院,tai'shan'zhi'ye'ji'shu'xue'yuan
太原城市职业技术学院,tai'yuan'cheng'shi'zhi'ye'ji'shu'xue'yuan
太原大学,tai'yuan'da'xue
太原电力高等专科学校,tai'yuan'dian'li'gao'deng'zhuan'ke'xue'xiao
太原科技大学,tai'yuan'ke'ji'da'xue
太原科技大学华科学院,tai'yuan'ke'ji'da'xue'hua'ke'xue'yuan
太原理工大学,tai'yuan'li'gong'da'xue
太原理工大学现代科技学院,tai'yuan'li'gong'da'xue'xian'dai'ke'ji'xue'yuan
太原旅游职业学院,tai'yuan'lv'you'zhi'ye'xue'yuan
太原师范学院,tai'yuan'shi'fan'xue'yuan
泰州师范高等专科学校,tai'zhou'shi'fan'gao'deng'zhuan'ke'xue'xiao
台州学院,tai'zhou'xue'yuan
台州职业技术学院,tai'zhou'zhi'ye'ji'shu'xue'yuan
泰州职业技术学院,tai'zhou'zhi'ye'ji'shu'xue'yuan
太子河区,tai'zi'he'qu
唐山工业职业技术学院,tang'shan'gong'ye'zhi'ye'ji'shu'xue'yuan
唐山科技职业技术学院,tang'shan'ke'ji'zhi'ye'ji'shu'xue'yuan
唐山师范学院,tang'shan'shi'fan'xue'yuan
唐山学院,tang'shan'xue'yuan
