阿党相为,a'dang'xiang'wei
烟波浩渺,yan'bo'hao'miao
沿波讨源,yan'bo'tao'yuan
烟不出火不进,yan'bu'chu'huo'bu'jin
言不及义,yan'bu'ji'yi
眼不见为净,yan'bu'jian'wei'jing
眼不见心不烦,yan'bu'jian'xin'bu'fan
言不尽意,yan'bu'jin'yi
言不由衷,yan'bu'you'zhong
眼馋肚饱,yan'chan'du'bao
燕巢幕上,yan'chao'mu'shang
燕巢危幕,yan'chao'wei'mu
严惩不贷,yan'cheng'bu'dai
言重九鼎,yan'chong'jiu'ding
言出法随,yan'chu'fa'sui
言传身教,yan'chuan'shen'jiao
言多必失,yan'duo'bi'shi
掩耳盗铃,yan'er'dao'ling
言而无信,yan'er'wu'xin
宴尔新婚,yan'er'xin'hun
燕尔新婚,yan'er'xin'hun
言而有信,yan'er'you'xin
眼高手低,yan'gao'shou'di
言寡尤行寡悔,yan'gua'you'xing'gua'hui
眼观四路耳听八方,yan'guan'si'lu'er'ting'ba'fang
言归于好,yan'gui'yu'hao
言归正传,yan'gui'zheng'chuan
雁过拔毛,yan'guo'ba'mao
雁过留声,yan'guo'liu'sheng
言过其实,yan'guo'qi'shi
燕颔虎颈,yan'han'hu'jing
眼花缭乱,yan'hua'liao'luan
言简意赅,yan'jian'yi'gai
颜筋柳骨,yan'jin'liu'gu
言近旨远,yan'jin'zhi'yuan
延颈鹤望,yan'jing'he'wang
延颈举踵,yan'jing'ju'zhong
研精覃思,yan'jing'qin'si
眼空四海,yan'kong'si'hai
掩口葫芦,yan'kou'hu'lu
燕侣莺俦,yan'lv'ying'chou
湮没无闻,yan'mei'wu'wen
沿门托钵,yan'men'tuo'bo
颜面扫地,yan'mian'sao'di
眼明手快,yan'ming'shou'kuai
眼明心亮,yan'ming'xin'liang
雁默先烹,yan'mo'xian'peng
掩目捕雀,yan'mu'bu'que
厌难折冲,yan'nan'zhe'chong
眼内无珠,yan'nei'wu'zhu
延年益寿,yan'nian'yi'shou
掩其无备,yan'qi'wu'bei
偃旗息鼓,yan'qi'xi'gu
严气正性,yan'qi'zheng'xing
燕雀安知鸿鹄之志,yan'que'an'zhi'hong'gu'zhi'zhi
燕雀处堂,yan'que'chu'tang
燕雀相贺,yan'que'xiang'he
嫣然一笑,yan'ran'yi'xiao
掩人耳目,yan'ren'er'mu
言人人殊,yan'ren'ren'shu
艳如桃李冷若冰霜,yan'ru'tao'li'leng'ruo'bing'shuang
言三语四,yan'san'yu'si
研桑心计,yan'sang'xin'ji
烟视媚行,yan'shi'mei'xing
燕瘦环肥,yan'shou'huan'fei
偃鼠饮河,yan'shu'yin'he
严丝合缝,yan'si'he'feng
雁塔题名,yan'ta'ti'ming
言谈林薮,yan'tan'lin'sou
言听计从,yan'ting'ji'cong
言外之意,yan'wai'zhi'yi
言为心声,yan'wei'xin'sheng
言无二价,yan'wu'er'jia
偃武修文,yan'wu'xiu'wen
烟霞痼疾,yan'xia'gu'ji
烟消火灭,yan'xiao'huo'mie
烟消云散,yan'xiao'yun'san
言行不一,yan'xing'bu'yi
严刑峻法,yan'xing'jun'fa
言行相诡,yan'xing'xiang'gui
言行一致,yan'xing'yi'zhi
燕雁代飞,yan'yan'dai'fei
奄奄一息,yan'yan'yi'xi
言扬行举,yan'yang'xing'ju
雁杳鱼沉,yan'yao'yu'chen
严以律己宽以待人,yan'yi'lv'ji'kuan'yi'dai'ren
燕翼贻谋,yan'yi'yi'mou
雁影分飞,yan'ying'fen'fei
言犹在耳,yan'you'zai'er
言语道断,yan'yu'dao'duan
言语妙天下,yan'yu'miao'tian'xia
燕语莺声,yan'yu'ying'sheng
燕语莺啼,yan'yu'ying'ti
烟云过眼,yan'yun'guo'yan
言者无罪闻者足戒,yan'zhe'wu'zui'wen'zhe'zu'jie
言者谆谆听者藐藐,yan'zhe'zhun'zhun'ting'zhe'miao'miao
严阵以待,yan'zhen'yi'dai
言之成理,yan'zhi'cheng'li
言之无文行而不远,yan'zhi'wu'wen'xing'er'bu'yuan
言之无物,yan'zhi'wu'wu
言之有理,yan'zhi'you'li
言之有物,yan'zhi'you'wu
言之凿凿,yan'zhi'zao'zao
言之谆谆听之藐藐,yan'zhi'zhun'zhun'ting'zhi'miao'miao
眼中钉,yan'zhong'ding
眼中有铁,yan'zhong'you'tie
妍姿艳质,yan'zi'yan'zhi
养兵千日用兵一时,yang'bing'qian'ri'yong'bing'yi'shi
仰不愧天,yang'bu'kui'tian
扬长避短,yang'chang'bi'duan
扬长而去,yang'chang'er'qu
羊肠鸟道,yang'chang'niao'dao
羊肠小道,yang'chang'xiao'dao
阳春白雪,yang'chun'bai'xue
阳春有脚,yang'chun'you'jiao
扬幡招魂,yang'fan'zhao'hun
阳奉阴违,yang'feng'yin'wei
阳关大道,yang'guan'da'dao
仰观俯察,yang'guan'fu'cha
阳关三迭,yang'guan'san'die
羊狠狼贪,yang'hen'lang'tan
养虎遗患,yang'hu'yi'huan
养虺成蛇,yang'hui'cheng'she
殃及池鱼,yang'ji'chi'yu
养家活口,yang'jia'huo'kou
养精畜锐,yang'jing'chu'rui
养军千日用在一时,yang'jun'qian'ri'yong'zai'yi'shi
扬铃打鼓,yang'ling'da'gu
羊毛出在羊身上,yang'mao'chu'zai'yang'shen'shang
扬眉吐气,yang'mei'tu'qi
仰面唾天,yang'mian'tuo'tian
扬葩振藻,yang'pa'zhen'zao
扬清激浊,yang'qing'ji'zhuo
仰取俯拾,yang'qu'fu'shi
仰人鼻息,yang'ren'bi'xi
仰人眉睫,yang'ren'mei'jie
羊入虎群,yang'ru'hu'qun
养生送死,yang'sheng'song'si
仰事俯畜,yang'shi'fu'chu
仰首伸眉,yang'shou'shen'mei
扬汤止沸,yang'tang'zhi'fei
洋为中用,yang'wei'zhong'yong
仰屋窃叹,yang'wu'qie'tan
仰屋著书,yang'wu'zhu'shu
阳煦山立,yang'xu'shan'li
怏怏不乐,yang'yang'bu'le
泱泱大风,yang'yang'da'feng
洋洋大观,yang'yang'da'guan
扬扬得意,yang'yang'de'yi
洋洋得意,yang'yang'de'yi
洋洋洒洒,yang'yang'sa'sa
养痈成患,yang'yong'cheng'huan
养痈遗患,yang'yong'yi'huan
羊质虎皮,yang'zhi'hu'pi
仰之弥高,yang'zhi'mi'gao
养尊处优,yang'zun'chu'you
摇笔即来,yao'bi'ji'lai
妖不胜德,yao'bu'sheng'de
腰缠万贯,yao'chan'wan'guan
摇唇鼓舌,yao'chun'gu'she
咬得菜根,yao'de'cai'gen
药店飞龙,yao'dian'fei'long
咬钉嚼铁,yao'ding'jiao'tie
要而言之,yao'er'yan'zhi
腰鼓兄弟,yao'gu'xiong'di
瑶环瑜珥,yao'huan'yu'er
姚黄魏紫,yao'huang'wei'zi
要价还价,yao'jia'hai'jia
腰金衣紫,yao'jin'yi'zi
瑶林琼树,yao'lin'qiong'shu
药笼中物,yao'long'zhong'wu
妖魔鬼怪,yao'mo'gui'guai
幺麽小丑,yao'mo'xiao'chou
尧年舜日,yao'nian'shun'ri
摇旗呐喊,yao'qi'ne'han
杳如黄鹤,yao'ru'huang'he
摇身一变,yao'shen'yi'bian
药石之言,yao'shi'zhi'yan
摇手触禁,yao'shou'chu'jin
夭桃秾李,yao'tao'nong'li
摇头摆尾,yao'tou'bai'wei
摇头晃脑,yao'tou'huang'nao
摇尾乞怜,yao'wei'qi'lian
摇尾求食,yao'wei'qiu'shi
咬文嚼字,yao'wen'jiao'zi
耀武扬威,yao'wu'yang'wei
杳无音信,yao'wu'yin'xin
遥相呼应,yao'xiang'hu'ying
咬牙切齿,yao'ya'qie'chi
要言不烦,yao'yan'bu'fan
妖言惑众,yao'yan'huo'zhong
要言妙道,yao'yan'miao'dao
遥遥领先,yao'yao'ling'xian
遥遥无期,yao'yao'wu'qi
遥遥相对,yao'yao'xiang'dui
峣峣易缺,yao'yao'yi'que
摇摇欲坠,yao'yao'yu'zhui
妖由人兴,yao'you'ren'xing
夜不闭户,ye'bu'bi'hu
野草闲花,ye'cao'xian'hua
夜长梦多,ye'chang'meng'duo
野调无腔,ye'diao'wu'qiang
叶公好龙,ye'gong'hao'long
野鹤闲云,ye'he'xian'yun
夜静更阑,ye'jing'geng'lan
夜静更深,ye'jing'geng'shen
业精于勤,ye'jing'yu'qin
曳裾王门,ye'ju'wang'men
夜阑人静,ye'lan'ren'jing
夜郎自大,ye'lang'zi'da
叶落归根,ye'luo'gui'gen
叶落知秋,ye'luo'zhi'qiu
野马无缰,ye'ma'wu'jiang
野人献曝,ye'ren'xian'bao
野人献芹,ye'ren'xian'qin
冶容诲淫,ye'rong'hui'yin
夜深人静,ye'shen'ren'jing
野蔌山肴,ye'su'shan'yao
曳尾涂中,ye'wei'tu'zhong
野无遗贤,ye'wu'yi'xian
野心勃勃,ye'xin'bo'bo
冶叶倡条,ye'ye'chang'tiao
夜以继日,ye'yi'ji'ri
夜以继昼,ye'yi'ji'zhou
夜雨对床,ye'yu'dui'chuang
一把死拿,yi'ba'si'na
一败如水,yi'bai'ru'shui
一败涂地,yi'bai'tu'di
一般见识,yi'ban'jian'shi
一斑窥豹,yi'ban'kui'bao
一板三眼,yi'ban'san'yan
一瓣心香,yi'ban'xin'xiang
一板一眼,yi'ban'yi'yan
一棒一条痕,yi'bang'yi'tiao'hen
一曝十寒,yi'bao'shi'han
以暴易暴,yi'bao'yi'bao
衣被群生,yi'bei'qun'sheng
一本万利,yi'ben'wan'li
一本正经,yi'ben'zheng'jing
一笔勾销,yi'bi'gou'xiao
一鼻孔出气,yi'bi'kong'chu'qi
一笔抹煞,yi'bi'mo'sha
一臂之力,yi'bi'zhi'li
挹彼注兹,yi'bi'zhu'ci
一表非凡,yi'biao'fei'fan
一表人才,yi'biao'ren'cai
一病不起,yi'bing'bu'qi
一秉至公,yi'bing'zhi'gong
以冰致蝇,yi'bing'zhi'ying
一波三折,yi'bo'san'zhe
一波未平一波又起,yi'bo'wei'ping'yi'bo'you'qi
衣钵相传,yi'bo'xiang'chuan
义薄云天,yi'bo'yun'tian
衣不蔽体,yi'bu'bi'ti
一步登天,yi'bu'deng'tian
衣不解带,yi'bu'jie'dai
一不扭众,yi'bu'niu'zhong
义不容辞,yi'bu'rong'ci
衣不完采,yi'bu'wan'cai
艺不压身,yi'bu'ya'shen
一不压众百不随一,yi'bu'ya'zhong'bai'bu'sui'yi
一步一个脚印,yi'bu'yi'ge'jiao'yin
一步一鬼,yi'bu'yi'gui
亦步亦趋,yi'bu'yi'qu
一不做二不休,yi'bu'zuo'er'bu'xiu
倚财仗势,yi'cai'zhang'shi
依草附木,yi'cao'fu'mu
一草一木,yi'cao'yi'mu
一差二错,yi'cha'er'cuo
一倡百和,yi'chang'bai'he
一场春梦,yi'chang'chun'meng
一长两短,yi'chang'liang'duan
一唱三叹,yi'chang'san'tan
一长一短,yi'chang'yi'duan
一唱一和,yi'chang'yi'he
一朝权在手便把令来行,yi'chao'quan'zai'shou'bian'ba'ling'lai'xing
一朝天子一朝臣,yi'chao'tian'zi'yi'chao'chen
一朝一夕,yi'chao'yi'xi
一朝之忿,yi'chao'zhi'fen
一尘不染,yi'chen'bu'ran
一成不变,yi'cheng'bu'bian
一成一旅,yi'cheng'yi'lv
一尺水十丈波,yi'chi'shui'shi'zhang'bo
一筹莫展,yi'chou'mo'zhan
遗臭万年,yi'chou'wan'nian
一触即发,yi'chu'ji'fa
一触即溃,yi'chu'ji'kui
移船就岸,yi'chuan'jiu'an
一串骊珠,yi'chuan'li'zhu
一传十十传百,yi'chuan'shi'shi'chuan'bai
一床锦被遮盖,yi'chuang'jin'bei'zhe'gai
一床两好,yi'chuang'liang'hao
一锤定音,yi'chui'ding'yin
一锤子买卖,yi'chui'zi'mai'mai
以辞害意,yi'ci'hai'yi
一辞莫赞,yi'ci'mo'zan
一蹴而就,yi'cu'er'jiu
一寸丹心,yi'cun'dan'xin
一寸光阴一寸金,yi'cun'guang'yin'yi'cun'jin
一搭两用,yi'da'liang'yong
遗大投艰,yi'da'tou'jian
一代风流,yi'dai'feng'liu
一代楷模,yi'dai'kai'mo
一代谈宗,yi'dai'tan'zong
衣单食薄,yi'dan'shi'bo
一箪一瓢,yi'dan'yi'piao
一弹指顷,yi'dan'zhi'qing
一刀两断,yi'dao'liang'duan
一刀切,yi'dao'qie
以德报德,yi'de'bao'de
以德报怨,yi'de'bao'yuan
一德一心,yi'de'yi'xin
一得之功,yi'de'zhi'gong
一得之见,yi'de'zhi'jian
一得之愚,yi'de'zhi'yu
易地而处,yi'di'er'chu
异地相逢,yi'di'xiang'feng
一丁不识,yi'ding'bu'shi
一定不易,yi'ding'bu'yi
一定之规,yi'ding'zhi'gui
一动不如一静,yi'dong'bu'ru'yi'jing
移东补西,yi'dong'bu'xi
移东就西,yi'dong'jiu'xi
以毒攻毒,yi'du'gong'du
以碫投卵,yi'duan'tou'luan
异端邪说,yi'duan'xie'shuo
以讹传讹,yi'e'chuan'e
以耳代目,yi'er'dai'mu
一而再再而三,yi'er'zai'zai'er'san
一发破的,yi'fa'po'de
一发千钧,yi'fa'qian'jun
一反常态,yi'fan'chang'tai
一帆风顺,yi'fan'feng'shun
一饭千金,yi'fan'qian'jin
一方之任,yi'fang'zhi'ren
一飞冲天,yi'fei'chong'tian
义愤填膺,yi'fen'tian'ying
一分为二,yi'fen'wei'er
一风吹,yi'feng'chui
蚁封穴雨,yi'feng'xue'yu
移风易俗,yi'feng'yi'su
一佛出世二佛涅槃,yi'fo'chu'shi'er'fo'nie'pan
一夫当关万夫莫开,yi'fu'dang'guan'wan'fu'mo'kai
亦复如是,yi'fu'ru'shi
一傅众咻,yi'fu'zhong'xiu
一概而论,yi'gai'er'lun
一改故辙,yi'gai'gu'zhe
一干二净,yi'gan'er'jing
一干人犯,yi'gan'ren'fan
一个巴掌拍不响,yi'ge'ba'zhang'pai'bu'xiang
一个萝卜一个坑,yi'ge'luo'bu'yi'ge'keng
移宫换羽,yi'gong'huan'yu
以攻为守,yi'gong'wei'shou
以古非今,yi'gu'fei'jin
一股脑儿,yi'gu'nao'er
一鼓作气,yi'gu'zuo'qi
一官半职,yi'guan'ban'zhi
以冠补履,yi'guan'bu'lv
衣冠楚楚,yi'guan'chu'chu
以观后效,yi'guan'hou'xiao
以管窥天,yi'guan'kui'tian
衣冠禽兽,yi'guan'qin'shou
衣冠枭獍,yi'guan'xiao'jing
倚官仗势,yi'guan'zhang'shi
一轨同风,yi'gui'tong'feng
以规为瑱,yi'gui'wei'zhen
一棍子打死,yi'gun'zi'da'si
一国三公,yi'guo'san'gong
贻害无穷,yi'hai'wu'qiong
遗害无穷,yi'hai'wu'qiong
一寒如此,yi'han'ru'ci
一哄而散,yi'hong'er'san
一呼百诺,yi'hu'bai'nuo
一呼百应,yi'hu'bai'ying
一壶千金,yi'hu'qian'jin
异乎寻常,yi'hu'xun'chang
一狐之腋,yi'hu'zhi'ye
移花接木,yi'hua'jie'mu
一簧两舌,yi'huang'liang'she
一麾出守,yi'hui'chu'shou
一挥而成,yi'hui'er'cheng
一挥而就,yi'hui'er'jiu
以火救火,yi'huo'jiu'huo
以己度人,yi'ji'du'ren
驿寄梅花,yi'ji'mei'hua
一技之长,yi'ji'zhi'chang
一己之私,yi'ji'zhi'si
衣架饭囊,yi'jia'fan'nang
一家眷属,yi'jia'juan'shu
宜家宜室,yi'jia'yi'shi
一家之计,yi'jia'zhi'ji
一家之言,yi'jia'zhi'yan
一见倾心,yi'jian'qing'xin
一见如故,yi'jian'ru'gu
一见如旧,yi'jian'ru'jiu
一箭上垛,yi'jian'shang'duo
一箭双雕,yi'jian'shuang'diao
以简驭繁,yi'jian'yu'fan
一箭之地,yi'jian'zhi'di
一箭之遥,yi'jian'zhi'yao
一见钟情,yi'jian'zhong'qing
一浆十饼,yi'jiang'shi'bing
倚姣作媚,yi'jiao'zuo'mei
一介不取,yi'jie'bu'qu
一介书生,yi'jie'shu'sheng
衣锦还乡,yi'jin'hai'xiang
衣锦荣归,yi'jin'rong'gui
衣锦夜行,yi'jin'ye'xing
仪静体闲,yi'jing'ti'xian
以儆效尤,yi'jing'xiao'you
以酒解酲,yi'jiu'jie'cheng
一举成名,yi'ju'cheng'ming
一举两得,yi'ju'liang'de
一举千里,yi'ju'qian'li
一举手之劳,yi'ju'shou'zhi'lao
一举一动,yi'ju'yi'dong
一蹶不振,yi'jue'bu'zhen
一决雌雄,yi'jue'ci'xiong
贻厥孙谋,yi'jue'sun'mou
异军突起,yi'jun'tu'qi
一客不烦二主,yi'ke'bu'fan'er'zhu
一刻千金,yi'ke'qian'jin
一孔之见,yi'kong'zhi'jian
一口两匙,yi'kou'liang'chi
一口三舌,yi'kou'san'she
异口同声,yi'kou'tong'sheng
异口同音,yi'kou'tong'yin
一口吸尽西江水,yi'kou'xi'jin'xi'jiang'shui
一口咬定,yi'kou'yao'ding
一块石头落地,yi'kuai'shi'tou'luo'di
一匡天下,yi'kuang'tian'xia
一馈十起,yi'kui'shi'qi
一夔已足,yi'kui'yi'zu
一来二去,yi'lai'er'qu
衣来伸手饭来张口,yi'lai'shen'shou'fan'lai'zhang'kou
一览无余,yi'lan'wu'yu
倚老卖老,yi'lao'mai'lao
遗老遗少,yi'lao'yi'shao
一劳永逸,yi'lao'yong'yi
一了百当,yi'le'bai'dang
一了百了,yi'le'bai'le
一雷二闪,yi'lei'er'shan
以蠡测海,yi'li'ce'hai
一力承当,yi'li'cheng'dang
以狸饵鼠,yi'li'er'shu
以力服人,yi'li'fu'ren
以理服人,yi'li'fu'ren
以利累形,yi'li'lei'xing
以礼相待,yi'li'xiang'dai
一鳞半甲,yi'lin'ban'jia
一鳞半爪,yi'lin'ban'zhua
以邻为壑,yi'lin'wei'he
一鳞一爪,yi'lin'yi'zhua
依流平进,yi'liu'ping'jin
一溜烟,yi'liu'yan
一龙一蛇,yi'long'yi'she
一龙一猪,yi'long'yi'zhu
一路福星,yi'lu'fu'xing
一路平安,yi'lu'ping'an
一路顺风,yi'lu'shun'feng
以卵击石,yi'luan'ji'shi
以卵投石,yi'luan'tou'shi
一落千丈,yi'luo'qian'zhang
一马当先,yi'ma'dang'xian
倚马可待,yi'ma'ke'dai
一马平川,yi'ma'ping'chuan
倚马七纸,yi'ma'qi'zhi
意马心猿,yi'ma'xin'yuan
一脉相承,yi'mai'xiang'cheng
一脉相传,yi'mai'xiang'chuan
一毛不拔,yi'mao'bu'ba
以貌取人,yi'mao'qu'ren
溢美溢恶,yi'mei'yi'e
倚门傍户,yi'men'bang'hu
倚门卖笑,yi'men'mai'xiao
倚门倚闾,yi'men'yi'lv
一面如旧,yi'mian'ru'jiu
一面之词,yi'mian'zhi'ci
一面之交,yi'mian'zhi'jiao
一瞑不视,yi'ming'bu'shi
一鸣惊人,yi'ming'jing'ren
异名同实,yi'ming'tong'shi
一命呜呼,yi'ming'wu'hu
以沫相濡,yi'mo'xiang'ru
一模一样,yi'mo'yi'yang
一目了然,yi'mu'le'ran
一木难支,yi'mu'nan'zhi
一目十行,yi'mu'shi'xing
一年半载,yi'nian'ban'zai
一年被蛇咬十年怕井绳,yi'nian'bei'she'yao'shi'nian'pa'jing'sheng
一念之差,yi'nian'zhi'cha
一年之计在于春,yi'nian'zhi'ji'zai'yu'chun
一牛九锁,yi'niu'jiu'suo
一诺千金,yi'nuo'qian'jin
一拍即合,yi'pai'ji'he
一盘散沙,yi'pan'san'sha
一喷一醒,yi'pen'yi'xing
一片冰心,yi'pian'bing'xin
一片宫商,yi'pian'gong'shang
一片焦土,yi'pian'jiao'tu
一片汪洋,yi'pian'wang'yang
一贫如洗,yi'pin'ru'xi
一颦一笑,yi'pin'yi'xiao
一抔黄土,yi'pou'huang'tu
意气风发,yi'qi'feng'fa
一气呵成,yi'qi'he'cheng
以其昏昏使人昭昭,yi'qi'hun'hun'shi'ren'zhao'zhao
意气相得,yi'qi'xiang'de
意气相投,yi'qi'xiang'tou
移气养体,yi'qi'yang'ti
意气扬扬,yi'qi'yang'yang
意气用事,yi'qi'yong'shi
一钱不落虚空地,yi'qian'bu'luo'xu'kong'di
一钱不值,yi'qian'bu'zhi
一钱如命,yi'qian'ru'ming
一谦四益,yi'qian'si'yi
抑强扶弱,yi'qiang'fu'ruo
以强凌弱,yi'qiang'ling'ruo
倚强凌弱,yi'qiang'ling'ruo
一窍不通,yi'qiao'bu'tong
谊切苔岑,yi'qie'tai'cen
一切众生,yi'qie'zhong'sheng
一琴一鹤,yi'qin'yi'he
衣轻乘肥,yi'qing'cheng'fei
一清二白,yi'qing'er'bai
一清如水,yi'qing'ru'shui
怡情悦性,yi'qing'yue'xing
一穷二白,yi'qiong'er'bai
以求一逞,yi'qiu'yi'cheng
一丘一壑,yi'qiu'yi'he
一丘之貉,yi'qiu'zhi'he
一去不复返,yi'qu'bu'fu'fan
以屈求伸,yi'qu'qiu'shen
异曲同工,yi'qu'tong'gong
一犬吠形百犬吠声,yi'quan'fei'xing'bai'quan'fei'sheng
依然故我,yi'ran'gu'wo
毅然决然,yi'ran'jue'ran
依然如故,yi'ran'ru'gu
怡然自得,yi'ran'zi'de
一人传虚万人传实,yi'ren'chuan'xu'wan'ren'chuan'shi
一人得道鸡犬升天,yi'ren'de'dao'ji'quan'sheng'tian
弋人何篡,yi'ren'he'cuan
贻人口实,yi'ren'kou'shi
依人篱下,yi'ren'li'xia
一人善射百夫决拾,yi'ren'shan'she'bai'fu'jue'shi
以人为镜,yi'ren'wei'jing
疑人勿用用人勿疑,yi'ren'wu'yong'yong'ren'wu'yi
一人有庆,yi'ren'you'qing
一人之交,yi'ren'zhi'jiao
一人之下万人之上,yi'ren'zhi'xia'wan'ren'zhi'shang
一仍旧贯,yi'reng'jiu'guan
一日不见如隔三秋,yi'ri'bu'jian'ru'ge'san'qiu
一日九迁,yi'ri'jiu'qian
一日千里,yi'ri'qian'li
一日三秋,yi'ri'san'qiu
一日三省,yi'ri'san'sheng
一日万机,yi'ri'wan'ji
一日万里,yi'ri'wan'li
一日之长,yi'ri'zhi'chang
一日之雅,yi'ri'zhi'ya
易如反掌,yi'ru'fan'zhang
一如既往,yi'ru'ji'wang
一扫而空,yi'sao'er'kong
以杀去杀,yi'sha'qu'sha
移山倒海,yi'shan'dao'hai
衣衫蓝缕,yi'shan'lan'lv
一觞一咏,yi'shang'yi'yong
衣裳之会,yi'shang'zhi'hui
羿射九日,yi'she'jiu'ri
一蛇两头,yi'she'liang'tou
一身都是胆,yi'shen'dou'shi'dan
一身而二任,yi'shen'er'er'ren
一身两头,yi'shen'liang'tou
一身两役,yi'shen'liang'yi
一身是胆,yi'shen'shi'dan
以身试法,yi'shen'shi'fa
一身五心,yi'shen'wu'xin
以身许国,yi'shen'xu'guo
以身殉国,yi'shen'xun'guo
以身殉职,yi'shen'xun'zhi
疑神疑鬼,yi'shen'yi'gui
以身作则,yi'shen'zuo'ze
以升量石,yi'sheng'liang'shi
怡声下气,yi'sheng'xia'qi
一生一世,yi'sheng'yi'shi
一时半刻,yi'shi'ban'ke
衣食不周,yi'shi'bu'zhou
遗世独立,yi'shi'du'li
一石二鸟,yi'shi'er'niao
衣食父母,yi'shi'fu'mu
遗世绝俗,yi'shi'jue'su
倚势凌人,yi'shi'ling'ren
一世龙门,yi'shi'long'men
一室生春,yi'shi'sheng'chun
一视同仁,yi'shi'tong'ren
以石投水,yi'shi'tou'shui
一事无成,yi'shi'wu'cheng
疑事无功,yi'shi'wu'gong
宜室宜家,yi'shi'yi'jia
一世之雄,yi'shi'zhi'xiong
衣食住行,yi'shi'zhu'xing
一失足成千古恨,yi'shi'zu'cheng'qian'gu'hen
一手包办,yi'shou'bao'ban
一手独拍虽疾无声,yi'shou'du'pai'sui'ji'wu'sheng
以手加额,yi'shou'jia'e
以售其奸,yi'shou'qi'jian
一手托天,yi'shou'tuo'tian
一手一足,yi'shou'yi'zu
一手遮天,yi'shou'zhe'tian
一树百获,yi'shu'bai'huo
以疏间亲,yi'shu'jian'qin
一双两好,yi'shuang'liang'hao
以水济水,yi'shui'ji'shui
以水救水,yi'shui'jiu'shui
以水投水,yi'shui'tou'shui
一丝半粟,yi'si'ban'su
一丝不苟,yi'si'bu'gou
一丝不挂,yi'si'bu'gua
一丝不紊,yi'si'bu'wen
一丝两气,yi'si'liang'qi
一丝一毫,yi'si'yi'hao
一岁九迁,yi'sui'jiu'qian
一索得男,yi'suo'de'nan
一塌刮子,yi'ta'gua'zi
一榻横陈,yi'ta'heng'chen
一塌糊涂,yi'ta'hu'tu
仪态万方,yi'tai'wan'fang
一潭死水,yi'tan'si'shui
以汤沃雪,yi'tang'wo'xue
以汤止沸,yi'tang'zhi'fei
一体同心,yi'ti'tong'xin
一天星斗,yi'tian'xing'dou
移天易日,yi'tian'yi'ri
以莛叩钟,yi'ting'kou'zhong
一统天下,yi'tong'tian'xia
依头缕当,yi'tou'lv'dang
异途同归,yi'tu'tong'gui
一团和气,yi'tuan'he'qi
疑团满腹,yi'tuan'man'fu
疑团莫释,yi'tuan'mo'shi
一团漆黑,yi'tuan'qi'hei
一推两搡,yi'tui'liang'sang
一退六二五,yi'tui'liu'er'wu
以退为进,yi'tui'wei'jin
一碗水端平,yi'wan'shui'duan'ping
亿万斯年,yi'wan'si'nian
一网打尽,yi'wang'da'jin
以往鉴来,yi'wang'jian'lai
一往情深,yi'wang'qing'shen
一望无际,yi'wang'wu'ji
一往无前,yi'wang'wu'qian
依违两可,yi'wei'liang'ke
意味深长,yi'wei'shen'chang
一文不名,yi'wen'bu'ming
以文会友,yi'wen'hui'you
以文乱法,yi'wen'luan'fa
一问三不知,yi'wen'san'bu'zhi
一窝蜂,yi'wo'feng
一物不知,yi'wu'bu'zhi
一无长物,yi'wu'chang'wu
义无反顾,yi'wu'fan'gu
一物降一物,yi'wu'jiang'yi'wu
一无可取,yi'wu'ke'qu
一无是处,yi'wu'shi'chu
一无所长,yi'wu'suo'chang
一无所得,yi'wu'suo'de
一无所能,yi'wu'suo'neng
一无所取,yi'wu'suo'qu
一无所有,yi'wu'suo'you
一无所知,yi'wu'suo'zhi
一五一十,yi'wu'yi'shi
一误再误,yi'wu'zai'wu
一息尚存,yi'xi'shang'cun
衣香鬓影,yi'xiang'bin'ying
一相情愿,yi'xiang'qing'yuan
异想天开,yi'xiang'tian'kai
贻笑大方,yi'xiao'da'fang
一笑千金,yi'xiao'qian'jin
以小人之心度君子之腹,yi'xiao'ren'zhi'xin'du'jun'zi'zhi'fu
一笑置之,yi'xiao'zhi'zhi
一蟹不如一蟹,yi'xie'bu'ru'yi'xie
一泻千里,yi'xie'qian'li
疑信参半,yi'xin'can'ban
以心传心,yi'xin'chuan'xin
疑心生暗鬼,yi'xin'sheng'an'gui
一心一德,yi'xin'yi'de
一心一计,yi'xin'yi'ji
一心一意,yi'xin'yi'yi
一星半点,yi'xing'ban'dian
疑行无成,yi'xing'wu'cheng
义形于色,yi'xing'yu'se
一行作吏,yi'xing'zuo'li
衣绣昼行,yi'xiu'zhou'xing
蚁穴溃堤,yi'xue'kui'di
以血洗血,yi'xue'xi'xue
一薰一莸,yi'xun'yi'you
一言半语,yi'yan'ban'yu
以眼还眼以牙还牙,yi'yan'hai'yan'yi'ya'hai'ya
一言既出驷马难追,yi'yan'ji'chu'si'ma'nan'zhui
一言九鼎,yi'yan'jiu'ding
一言难尽,yi'yan'nan'jin
一言为定,yi'yan'wei'ding
一言以蔽之,yi'yan'yi'bi'zhi
一言一行,yi'yan'yi'xing
抑扬顿挫,yi'yang'dun'cuo
依样画葫芦,yi'yang'hua'hu'lu
以羊易牛,yi'yang'yi'niu
一叶障目不见泰山,yi'ye'zhang'mu'bu'jian'tai'shan
一叶知秋,yi'ye'zhi'qiu
悒悒不乐,yi'yi'bu'le
依依不舍,yi'yi'bu'she
以一持万,yi'yi'chi'wan
