暧暧城霞旦,ai'ai'cheng'xia'dan
王章笑鲁初,wang'zhang'xiao'lu'chu
望中厌朱绂,wang'zhong'yan'zhu'fu
枉渚暂停舟,wang'zhu'zan'ting'zhou
妄作虚诞,wang'zuo'xu'dan
为报长相忆,wei'bao'chang'xiang'yi
为报故人憔悴尽,wei'bao'gu'ren'qiao'cui'jin
为报壶丘子,wei'bao'hu'qiu'zi
为报空潭橘,wei'bao'kong'tan'ju
为报在刀头,wei'bao'zai'dao'tou
渭北走邯郸,wei'bei'zou'han'dan
未必去经年,wei'bi'qu'jing'nian
为不至劳,wei'bu'zhi'lao
微才幸不忘,wei'cai'xing'bu'wang
未尝肯问天,wei'chang'ken'wen'tian
未尝施鞭箠,wei'chang'shi'bian'chui
微臣此时承宴乐,wei'chen'ci'shi'cheng'yan'le
微臣滥陪赏,wei'chen'lan'pei'shang
微臣亦何幸,wei'chen'yi'he'xing
微臣预在镐,wei'chen'yu'zai'gao
渭城朝雨浥轻尘,wei'cheng'chao'yu'yi'qing'chen
威成剑骑雄,wei'cheng'jian'qi'xiong
微诚将献谋,wei'cheng'jiang'xian'mou
渭城桥头酒新熟,wei'cheng'qiao'tou'jiu'xin'shu
威成天子功,wei'cheng'tian'zi'gong
为乘阳气行时令,wei'cheng'yang'qi'xing'shi'ling
惟愁仙路迷,wei'chou'xian'lu'mi
未出帘栊人已荐,wei'chu'lian'long'ren'yi'jian
为除膻腥欲,wei'chu'shan'xing'yu
为传边塞情,wei'chuan'bian'sai'qing
为此堪攀折,wei'ci'kan'pan'zhe
为此情难尽,wei'ci'qing'nan'jin
为此始思乡,wei'ci'shi'si'xiang
唯当哭塞云,wei'dang'ku'sai'yun
未到草萋萋,wei'dao'cao'qi'qi
为道既贞信,wei'dao'ji'zhen'xin
为道岂庐霍,wei'dao'qi'lu'huo
未道千秋去,wei'dao'qian'qiu'qu
未得报恩不能归,wei'de'bao'en'bu'neng'gui
未得枫林趣,wei'de'feng'lin'qu
未得贵游同秉烛,wei'de'gui'you'tong'bing'zhu
未得两回摘,wei'de'liang'hui'zhai
惟德惟馨,wei'de'wei'xin
未得展怀抱,wei'de'zhan'huai'bao
唯德自成邻,wei'de'zi'cheng'lin
魏帝使人催,wei'di'shi'ren'cui
未睹风流日,wei'du'feng'liu'ri
巍峨宫殿明,wei'e'gong'dian'ming
微风吹兰杜,wei'feng'chui'lan'du
微风吹绿蘋,wei'feng'chui'lv'pin
微风和众草,wei'feng'he'zhong'cao
为奉灵台帛,wei'feng'ling'tai'bo
威凤徒参差,wei'feng'tu'cen'ci
微风绣户间,wei'feng'xiu'hu'jian
为复少室东,wei'fu'shao'shi'dong
未共销丹日,wei'gong'xiao'dan'ri
微官易得罪,wei'guan'yi'de'zui
未果变金骨,wei'guo'bian'jin'gu
魏国山河险,wei'guo'shan'he'xian
魏国文雅遒,wei'guo'wen'ya'qiu
魏国应刘后,wei'guo'ying'liu'hou
渭河秋水流,wei'he'qiu'shui'liu
为欢良易摅,wei'huan'liang'yi'shu
为欢殊未终,wei'huan'shu'wei'zhong
卫霍才堪一骑将,wei'huo'cai'kan'yi'qi'jiang
未获遵平道,wei'huo'zun'ping'dao
为己存实际,wei'ji'cun'shi'ji
未几拂荆扉,wei'ji'fu'jing'fei
未纪后时伤,wei'ji'hou'shi'shang
魏家馀趾存,wei'jia'yu'zhi'cun
惟见两童子,wei'jian'liang'tong'zi
未减灵和殿里时,wei'jian'ling'he'dian'li'shi
维监太仓粟,wei'jian'tai'cang'su
为见行舟试借问,wei'jian'xing'zhou'shi'jie'wen
唯将半影借披书,wei'jiang'ban'ying'jie'pi'shu
维将道可乐,wei'jiang'dao'ke'le
唯将戒定还,wei'jiang'jie'ding'hai
唯将黎子同,wei'jiang'li'zi'tong
危径几万转,wei'jing'ji'wan'zhuan
畏景烁遥途,wei'jing'shuo'yao'tu
微涓效斗升,wei'juan'xiao'dou'sheng
为君当面拂云日,wei'jun'dang'mian'fu'yun'ri
为君啸一曲,wei'jun'xiao'yi'qu
为君颜色高且闲,wei'jun'yan'se'gao'qie'xian
惟君著美名,wei'jun'zhu'mei'ming
为君奏龙吟,wei'jun'zou'long'yin
为看青玉五枝灯,wei'kan'qing'yu'wu'zhi'deng
为看人共水,wei'kan'ren'gong'shui
为客黄金尽,wei'ke'huang'jin'jin
未可即回舟,wei'ke'ji'hui'zhou
为客少田园,wei'ke'shao'tian'yuan
未可逃名利,wei'ke'tao'ming'li
为郎何太迟,wei'lang'he'tai'chi
危浪亦相因,wei'lang'yi'xiang'yin
为郎奏赤墀,wei'lang'zou'chi'chi
位联情易感,wei'lian'qing'yi'gan
为怜乡棹近,wei'lian'xiang'zhao'jin
为霖虽易得,wei'lin'sui'yi'de
唯令白鹤报乡人,wei'ling'bai'he'bao'xiang'ren
为楼望越中,wei'lou'wang'yue'zhong
微路入花源,wei'lu'ru'hua'yuan
微禄心不屑,wei'lu'xin'bu'xie
未免伯牛灾,wei'mian'bo'niu'zai
微冥半空碧,wei'ming'ban'kong'bi
威名摄远方,wei'ming'she'yuan'fang
微明渭川树,wei'ming'wei'chuan'shu
位乃三恪宾,wei'nai'san'ke'bin
未能辨其音,wei'neng'bian'qi'yin
未能齐得丧,wei'neng'qi'de'sang
未能远食玉山禾,wei'neng'yuan'shi'yu'shan'he
委佩云霄里,wei'pei'yun'xiao'li
为期草欲薰,wei'qi'cao'yu'xun
为妾传书斩画师,wei'qie'chuan'shu'zhan'hua'shi
卫青不败由天幸,wei'qing'bu'bai'you'tian'xing
为情贵深远,wei'qing'gui'shen'yuan
维清缉熙,wei'qing'ji'xi
微躯不可答,wei'qu'bu'ke'da
畏人来采杀,wei'ren'lai'cai'sha
为荣近故园,wei'rong'jin'gu'yuan
葳蕤金缕光,wei'rui'jin'lv'guang
葳蕤君不见,wei'rui'jun'bu'jian
未若此巡方,wei'ruo'ci'xun'fang
为善吾无矣,wei'shan'wu'wu'yi
维梢历宋国,wei'shao'li'song'guo
委身以纵横,wei'shen'yi'zong'heng
威声出塞扬,wei'sheng'chu'sai'yang
未胜晏子江南橘,wei'sheng'yan'zi'jiang'nan'ju
未省音容间,wei'sheng'yin'rong'jian
畏湿红莲衣,wei'shi'hong'lian'yi
惟师恢帝则,wei'shi'hui'di'ze
委世随虚舟,wei'shi'sui'xu'zhou
渭水冰下流,wei'shui'bing'xia'liu
渭水明秦甸,wei'shui'ming'qin'dian
渭水收暮雨,wei'shui'shou'mu'yu
渭水天边映,wei'shui'tian'bian'ying
渭水欲连天,wei'shui'yu'lian'tian
渭水自萦秦塞曲,wei'shui'zi'ying'qin'sai'qu
危亭暗松石,wei'ting'an'song'shi
魏王不救平原君,wei'wang'bu'jiu'ping'yuan'jun
魏王绮楼十二重,wei'wang'qi'lou'shi'er'zhong
微微汉祖庙,wei'wei'han'zu'miao
惟闻汉使还,wei'wen'han'shi'hai
为问门前客,wei'wen'men'qian'ke
魏文手巾不足比,wei'wen'shou'jin'bu'zu'bi
唯闻铜雀诗,wei'wen'tong'que'shi
为文已变当时体,wei'wen'yi'bian'dang'shi'ti
惟文之德,wei'wen'zhi'de
慰我别离魂,wei'wo'bie'li'hun
为我达远心,wei'wo'da'yuan'xin
为我时一赋,wei'wo'shi'yi'fu
谓我勿复归,wei'wo'wu'fu'gui
为我殷勤吊魏武,wei'wo'yin'qin'diao'wei'wu
为舞春风多,wei'wu'chun'feng'duo
威武二庭宣,wei'wu'er'ting'xuan
微物敢齐肩,wei'wu'gan'qi'jian
惟武之功,wei'wu'zhi'gong
微物纵可采,wei'wu'zong'ke'cai
为惜淮南子,wei'xi'huai'nan'zi
为惜容华难再持,wei'xi'rong'hua'nan'zai'chi
为惜鸳鸯鸟,wei'xi'yuan'yang'niao
未暇扫云梯,wei'xia'sao'yun'ti
惟贤初薄游,wei'xian'chu'bao'you
惟贤惠重义,wei'xian'hui'zhong'yi
惟贤降宠章,wei'xian'jiang'chong'zhang
惟贤美无度,wei'xian'mei'wu'du
惟贤尚廪禄,wei'xian'shang'lin'lu
畏向阶前生,wei'xiang'jie'qian'sheng
纬萧或卖药,wei'xiao'huo'mai'yao
未晓已成妆,wei'xiao'yi'cheng'zhuang
为学轻先辈,wei'xue'qing'xian'bei
微言安可述,wei'yan'an'ke'shu
微言发新偈,wei'yan'fa'xin'ji
唯言故人远,wei'yan'gu'ren'yuan
谓言可生复可死,wei'yan'ke'sheng'fu'ke'si
谓言青鷇是我儿,wei'yan'qing'kou'shi'wo'er
惟言宇宙清,wei'yan'yu'zhou'qing
未央朝谒正逶迤,wei'yang'chao'ye'zheng'wei'yi
未央宫中花里栖,wei'yang'gong'zhong'hua'li'qi
逶迤城阙重,wei'yi'cheng'que'zhong
位以穿杨得,wei'yi'chuan'yang'de
逶迤歌舞座,wei'yi'ge'wu'zuo
逶迤亘津陌,wei'yi'gen'jin'mo
逶迤霁色绕江山,wei'yi'ji'se'rao'jiang'shan
惟以明发,wei'yi'ming'fa
逶迤南川水,wei'yi'nan'chuan'shui
微吟西日驰,wei'yin'xi'ri'chi
未应悲晚发,wei'ying'bei'wan'fa
唯应见白云,wei'ying'jian'bai'yun
惟应赏心客,wei'ying'shang'xin'ke
唯有白云当露冕,wei'you'bai'yun'dang'lu'mian
唯有白云外,wei'you'bai'yun'wai
唯有长竿妙入神,wei'you'chang'gan'miao'ru'shen
未有菰蒲生,wei'you'gu'pu'sheng
唯有空城多白云,wei'you'kong'cheng'duo'bai'yun
惟有老相随,wei'you'lao'xiang'sui
唯有门前镜湖水,wei'you'men'qian'jing'hu'shui
畏有山僧来,wei'you'shan'seng'lai
唯有相思似春色,wei'you'xiang'si'si'chun'se
唯有学无生,wei'you'xue'wu'sheng
唯有仗忠信,wei'you'zhang'zhong'xin
为余更作三五势,wei'yu'geng'zuo'san'wu'shi
惟馀汉臣史,wei'yu'han'chen'shi
唯馀旌旆影,wei'yu'jing'pei'ying
唯馀落日光,wei'yu'luo'ri'guang
为余骑马习家池,wei'yu'qi'ma'xi'jia'chi
唯馀事君节,wei'yu'shi'jun'jie
为与天光近,wei'yu'tian'guang'jin
为语西河使,wei'yu'xi'he'shi
惟馀玄度得相寻,wei'yu'xuan'du'de'xiang'xun
维岳降二臣,wei'yue'jiang'er'chen
微月起秋阴,wei'yue'qi'qiu'yin
微月有佳期,wei'yue'you'jia'qi
位在百僚先,wei'zai'bai'liao'xian
伟哉谢安石,wei'zai'xie'an'shi
为政本农桑,wei'zheng'ben'nong'sang
为政日清净,wei'zheng'ri'qing'jing
为政心闲物自闲,wei'zheng'xin'xian'wu'zi'xian
惟知曝背乐残年,wei'zhi'bao'bei'le'can'nian
委质任平视,wei'zhi'ren'ping'shi
未知疏与亲,wei'zhi'shu'yu'qin
位重恩宁滥,wei'zhong'en'ning'lan
为重凌霜节,wei'zhong'ling'shuang'jie
维舟绿杨岸,wei'zhou'lv'yang'an
维舟未能发,wei'zhou'wei'neng'fa
未逐凤凰去,wei'zhu'feng'huang'qu
魏主园林漳水滨,wei'zhu'yuan'lin'zhang'shui'bin
未追赤松子,wei'zhui'chi'song'zi
未坐将军树,wei'zuo'jiang'jun'shu
文炳高天曜,wen'bing'gao'tian'yao
文昌宫中赐锦衣,wen'chang'gong'zhong'ci'jin'yi
文昌开将星,wen'chang'kai'jiang'xing
文场刊玉篆,wen'chang'kan'yu'zhuan
闻唱梅花落,wen'chang'mei'hua'luo
文螭从赤豹,wen'chi'cong'chi'bao
闻道百城新佩印,wen'dao'bai'cheng'xin'pei'yin
闻道甘泉能献赋,wen'dao'gan'quan'neng'xian'fu
闻道高阳会,wen'dao'gao'yang'hui
闻道故林相识多,wen'dao'gu'lin'xiang'shi'duo
闻道淮阳守,wen'dao'huai'yang'shou
闻道皇华使,wen'dao'huang'hua'shi
闻道黄金地,wen'dao'huang'jin'di
闻道君家在孟津,wen'dao'jun'jia'zai'meng'jin
闻道君家住孟津,wen'dao'jun'jia'zhu'meng'jin
闻道郎官问生事,wen'dao'lang'guan'wen'sheng'shi
闻道辽西无斗战,wen'dao'liao'xi'wu'dou'zhan
闻道令人好颜色,wen'dao'ling'ren'hao'yan'se
闻道清明近,wen'dao'qing'ming'jin
闻道山阴会,wen'dao'shan'yin'hui
问道侍轩臣,wen'dao'shi'xuan'chen
闻道桐乡有遗老,wen'dao'tong'xiang'you'yi'lao
问道图书盛,wen'dao'tu'shu'sheng
闻道谢安掩口笑,wen'dao'xie'an'yan'kou'xiao
闻道邀同舍,wen'dao'yao'tong'she
闻道玉门犹被遮,wen'dao'yu'men'you'bei'zhe
闻道羽书急,wen'dao'yu'shu'ji
文德在唐风,wen'de'zai'tang'feng
文殿述皇明,wen'dian'shu'huang'ming
问尔何功德,wen'er'he'gong'de
闻夫至诚必感兮祈此巅,wen'fu'zhi'cheng'bi'gan'xi'qi'ci'dian
文共晓星连,wen'gong'xiao'xing'lian
温谷幔城中,wen'gu'man'cheng'zhong
文寡和兮思深,wen'gua'he'xi'si'shen
文皇谪才子,wen'huang'zhe'cai'zi
问家何所有,wen'jia'he'suo'you
文酒可相求,wen'jiu'ke'xiang'qiu
文酒娱游盛,wen'jiu'yu'you'sheng
问君从宦所,wen'jun'cong'huan'suo
闻君饵丹砂,wen'jun'er'dan'sha
问君何所之,wen'jun'he'suo'zhi
问君何以然,wen'jun'he'yi'ran
闻君为汉将,wen'jun'wei'han'jiang
问礼侍彤襜,wen'li'shi'tong'chan
文明叶邦选,wen'ming'ye'bang'xuan
文墨将何求,wen'mo'jiang'he'qiu
文墨相填委,wen'mo'xiang'tian'wei
问年松树老,wen'nian'song'shu'lao
文浅怯投珠,wen'qian'qie'tou'zhu
文强阅赐书,wen'qiang'yue'ci'shu
闻磬水声中,wen'qing'shui'sheng'zhong
温泉作天邑,wen'quan'zuo'tian'yi
文儒托后乘,wen'ru'tuo'hou'cheng
温室欢初就,wen'shi'huan'chu'jiu
问诗礼兮已矣,wen'shi'li'xi'yi'yi
闻诗鸾渚客,wen'shi'luan'zhu'ke
温树落馀花,wen'shu'luo'yu'hua
闻说桃源好迷客,wen'shuo'tao'yuan'hao'mi'ke
闻说郑卿贤,wen'shuo'zheng'qing'xian
文思光万宇,wen'si'guang'wan'yu
文随绮幕开,wen'sui'qi'mu'kai
文翁翻教授,wen'weng'fan'jiao'shou
问我学无生,wen'wo'xue'wu'sheng
文武承邦式,wen'wu'cheng'bang'shi
文物照光辉,wen'wu'zhao'guang'hui
文杏裁为梁,wen'xing'cai'wei'liang
问性矜勤劳,wen'xing'jin'qin'lao
文雅更骧首,wen'ya'geng'xiang'shou
汶阳归客泪沾巾,wen'yang'gui'ke'lei'zhan'jin
问易穷否泰,wen'yi'qiong'pi'tai
问义天人接,wen'yi'tian'ren'jie
闻有河湟客,wen'you'he'huang'ke
闻有题新翰,wen'you'ti'xin'han
文章参末议,wen'zhang'can'mo'yi
文章贾谊才,wen'zhang'gu'yi'cai
文章礼一变,wen'zhang'li'yi'bian
文章南渡越,wen'zhang'nan'du'yue
文章遥颂美,wen'zhang'yao'song'mei
文章作代英,wen'zhang'zuo'dai'ying
闻之将泫然,wen'zhi'jiang'xuan'ran
问罪阴山下,wen'zui'yin'shan'xia
嵡嵸殊未已,weng'zong'shu'wei'yi
我悲减思兮少时,wo'bei'jian'si'xi'shao'shi
我本家颍北,wo'ben'jia'ying'bei
我地少安住,wo'di'shao'an'zhu
我独好卑室,wo'du'hao'bei'shi
我法本无著,wo'fa'ben'wu'zhu
卧风霄兮坐霞旦,wo'feng'xiao'xi'zuo'xia'dan
卧鼓候风凉,wo'gu'hou'feng'liang
我行苦炎月,wo'hang'ku'yan'yue
我家南山下,wo'jia'nan'shan'xia
我家青楼临道傍,wo'jia'qing'lou'lin'dao'bang
我将游灵池,wo'jiang'you'ling'chi
握镜惭先照,wo'jing'can'xian'zhao
我来入遗庙,wo'lai'ru'yi'miao
我来折此狱,wo'lai'zhe'ci'yu
卧览床头书,wo'lan'chuang'tou'shu
我念天时好,wo'nian'tian'shi'hao
我年一何长,wo'nian'yi'he'chang
我其夙夜,wo'qi'su'ye
我情既浩荡,wo'qing'ji'hao'dang
偓佺空中游,wo'quan'kong'zhong'you
卧视飞鸟没,wo'shi'fei'niao'mei
卧视清秋月,wo'shi'qing'qiu'yue
我师闻之玄圃游,wo'shi'wen'zhi'xuan'pu'you
握手别征驾,wo'shou'bie'zheng'jia
握手嗟异同,wo'shou'jie'yi'tong
握手相看共黯然,wo'shou'xiang'kan'gong'an'ran
握手言未毕,wo'shou'yan'wei'bi
握手一相送,wo'shou'yi'xiang'song
我闻有客,wo'wen'you'ke
我昔初在昭阳时,wo'xi'chu'zai'zhao'yang'shi
我昔少年君不睹,wo'xi'shao'nian'jun'bu'du
我心爱流水,wo'xin'ai'liu'shui
我心不说君应知,wo'xin'bu'shuo'jun'ying'zhi
我心独爱伊川水,wo'xin'du'ai'yi'chuan'shui
我心多恻隐,wo'xin'duo'ce'yin
我心方处顺,wo'xin'fang'chu'shun
我心乃萧索,wo'xin'nai'xiao'suo
我心清且微,wo'xin'qing'qie'wei
我心若虚空,wo'xin'ruo'xu'kong
我心素已闲,wo'xin'su'yi'xian
我心终不移,wo'xin'zhong'bu'yi
我有故山期,wo'you'gu'shan'qi
我有轩辕兵,wo'you'xuan'yuan'bing
我有一书札,wo'you'yi'shu'zha
我在河东时,wo'zai'he'dong'shi
握中何为赠,wo'zhong'he'wei'zeng
握中枕宿穹庐室,wo'zhong'zhen'su'qiong'lu'shi
舞爱前谿绿,wu'ai'qian'ji'lv
兀傲迷东西,wu'ao'mi'dong'xi
武弁朝建章,wu'bian'chao'jian'zhang
无才不敢累明时,wu'cai'bu'gan'lei'ming'shi
武昌妖梦果为灾,wu'chang'yao'meng'guo'wei'zai
舞成苍颉字,wu'cheng'cang'xie'zi
无乘及乘者,wu'cheng'ji'cheng'zhe
五城十二楼,wu'cheng'shi'er'lou
舞出御楼中,wu'chu'yu'lou'zhong
无春雁不回,wu'chun'yan'bu'hui
吾从落潮去,wu'cong'luo'chao'qu
吾党二三子,wu'dang'er'san'zi
五道分兵去,wu'dao'fen'bing'qu
悟道正迷津,wu'dao'zheng'mi'jin
无德不亲,wu'de'bu'qin
武德奉文思,wu'de'feng'wen'si
吾等岂不慕,wu'deng'qi'bu'mu
武帝祠前云欲散,wu'di'ci'qian'yun'yu'san
吾弟东山时,wu'di'dong'shan'shi
无地可荫休,wu'di'ke'yin'xiu
五帝与三王,wu'di'yu'san'wang
五丁愁不凿,wu'ding'chou'bu'zao
五饵谋长缨,wu'er'mou'chang'ying
无烦君喻马,wu'fan'jun'yu'ma
无妨骑马归,wu'fang'qi'ma'gui
无风欲偃波,wu'feng'yu'yan'bo
无复从羁绊,wu'fu'cong'ji'ban
屋覆经冬雪,wu'fu'jing'dong'xue
无复新妆艳红粉,wu'fu'xin'zhuang'yan'hong'fen
无个茗糜难御暑,wu'ge'ming'mi'nan'yu'shu
吴歌喧两岸,wu'ge'xuan'liang'an
吴歌夜渐闻,wu'ge'ye'jian'wen
吾固和天倪,wu'gu'he'tian'ni
五谷前熟方可为,wu'gu'qian'shu'fang'ke'wei
吾观主人意,wu'guan'zhu'ren'yi
舞鹤傍池边,wu'he'bang'chi'bian
无何困躬耕,wu'he'kun'gong'geng
五侯门前心不能,wu'hou'men'qian'xin'bu'neng
五侯拥轩盖,wu'hou'yong'xuan'gai
五湖风浪涌,wu'hu'feng'lang'yong
五湖千万里,wu'hu'qian'wan'li
五湖三江愁杀人,wu'hu'san'jiang'chou'sha'ren
五湖三亩宅,wu'hu'san'mu'zhai
武皇恢大略,wu'huang'hui'da'lue
武皇受瑶图,wu'huang'shou'yao'tu
武皇斋戒承华殿,wu'huang'zhai'jie'cheng'hua'dian
物或恶之当害汝,wu'huo'e'zhi'dang'hai'ru
吴姬扫落英,wu'ji'sao'luo'ying
误嫁长安游侠儿,wu'jia'chang'an'you'xia'er
吾家令弟才不羁,wu'jia'ling'di'cai'bu'ji
吾家愚谷里,wu'jia'yu'gu'li
吾贱不及议,wu'jian'bu'ji'yi
乌将八子去,wu'jiang'ba'zi'qu
吾将达此生,wu'jiang'da'ci'sheng
吾将卧南颍,wu'jiang'wo'nan'ying
勿嗟名宦薄,wu'jie'ming'huan'bao
无惊蕙草惜残春,wu'jing'hui'cao'xi'can'chun
吾君灞上游,wu'jun'ba'shang'you
吾君访道时,wu'jun'fang'dao'shi
吾君感至德,wu'jun'gan'zhi'de
无可问鸿濛,wu'ke'wen'hong'meng
无劳秉华烛,wu'lao'bing'hua'zhu
无劳献子虚,wu'lao'xian'zi'xu
武牢有遗堞,wu'lao'you'yi'die
无劳置驿骑,wu'lao'zhi'yi'qi
五里一扬鞭,wu'li'yi'yang'bian
五鬣何人采,wu'lie'he'ren'cai
五陵宾从莫敢视,wu'ling'bin'cong'mo'gan'shi
武陵川径入幽遐,wu'ling'chuan'jing'ru'you'xia
无令芳草阑,wu'ling'fang'cao'lan
五陵贵公子,wu'ling'gui'gong'zi
五陵花柳满秦川,wu'ling'hua'liu'man'qin'chuan
五陵年少不相饶,wu'ling'nian'shao'bu'xiang'rao
巫岭岧峣天际重,wu'ling'tiao'yao'tian'ji'zhong
五陵遥瞳矇,wu'ling'yao'tong'meng
五柳高且疏,wu'liu'gao'qie'shu
五柳先生对门,wu'liu'xian'sheng'dui'men
五龙为我宾,wu'long'wei'wo'bin
武旅趋前旌,wu'lv'qu'qian'jing
五马惊穷巷,wu'ma'jing'qiong'xiang
五马向西椒,wu'ma'xiang'xi'jiao
无媒既不达,wu'mei'ji'bu'da
无媒寄洛桥,wu'mei'ji'luo'qiao
寤寐如日新,wu'mei'ru'ri'xin
无媒魏阙深,wu'mei'wei'que'shen
寤寐增所钦,wu'mei'zeng'suo'qin
吴门绿波里,wu'men'lv'bo'li
吾谋适不用,wu'mou'shi'bu'yong
吾谋适可用,wu'mou'shi'ke'yong
无那白云何,wu'na'bai'yun'he
无乃成秋兴,wu'nai'cheng'qiu'xing
无乃后时人,wu'nai'hou'shi'ren
无乃化黄金,wu'nai'hua'huang'jin
无乃金张孙,wu'nai'jin'zhang'sun
五年变秋露,wu'nian'bian'qiu'lu
五年一巡狩,wu'nian'yi'xun'shou
五辟三征当在兹,wu'pi'san'zheng'dang'zai'zi
乌皮隐几台郎与,wu'pi'yin'ji'tai'lang'yu
五酺终宴集,wu'pu'zhong'yan'ji
物奇春状改,wu'qi'chun'zhuang'gai
五齐既陈,wu'qi'ji'chen
无钱可沽酒,wu'qian'ke'gu'jiu
物情良可见,wu'qing'liang'ke'jian
无情著绮罗,wu'qing'zhu'qi'luo
无穷菊花节,wu'qiong'ju'hua'jie
无然悲不成,wu'ran'bei'bu'cheng
兀然倾一壶,wu'ran'qing'yi'hu
无人当便阙,wu'ren'dang'bian'que
无人见精魄,wu'ren'jian'jing'po
无人荐至尊,wu'ren'jian'zhi'zun
无人荐子云,wu'ren'jian'zi'yun
无人可刈获,wu'ren'ke'yi'huo
无人起就月中看,wu'ren'qi'jiu'yue'zhong'kan
无人暂往来,wu'ren'zan'wang'lai
无日不钓鱼,wu'ri'bu'diao'yu
五日酺才毕,wu'ri'pu'cai'bi
无如此处学长生,wu'ru'ci'chu'xue'zhang'sheng
无如君子前,wu'ru'jun'zi'qian
无如宋主贤,wu'ru'song'zhu'xian
无桑何以衣,wu'sang'he'yi'yi
物色屡芳菲,wu'se'lv'fang'fei
诬善不足悲,wu'shan'bu'zu'bei
吴山迟海月,wu'shan'chi'hai'yue
吴山江上微,wu'shan'jiang'shang'wei
屋上春鸠鸣,wu'shang'chun'jiu'ming
伍生传或谬,wu'sheng'chuan'huo'miu
吾生好清净,wu'sheng'hao'qing'jing
吾生将白首,wu'sheng'jiang'bai'shou
吾生美无度,wu'sheng'mei'wu'du
吾生学养蒙,wu'sheng'xue'yang'meng
吾师不养空,wu'shi'bu'yang'kong
五世叠鼓乘朱轮,wu'shi'die'gu'cheng'zhu'lun
吾识广川翁,wu'shi'guang'chuan'weng
雾湿华清宫,wu'shi'hua'qing'gong
吾师久禅寂,wu'shi'jiu'chan'ji
吾师居一床,wu'shi'ju'yi'chuang
五十无产业,wu'shi'wu'chan'ye
吾师一念深,wu'shi'yi'nian'shen
武事掌金铙,wu'shi'zhang'jin'nao
吾属交欢此何夕,wu'shu'jiao'huan'ci'he'xi
无数容华空自知,wu'shu'rong'hua'kong'zi'zhi
无数紫鸳鸯,wu'shu'zi'yuan'yang
五岁过人智,wu'sui'guo'ren'zhi
五岁名为阿娇女,wu'sui'ming'wei'a'jiao'nv
乌孙部落家乡远,wu'sun'bu'luo'jia'xiang'yuan
乌孙腰间佩两刀,wu'sun'yao'jian'pei'liang'dao
吴台访阙文,wu'tai'fang'que'wen
五桃新作花,wu'tao'xin'zuo'hua
勿听白头吟,wu'ting'bai'tou'yin
五听辨疑似,wu'ting'bian'yi'si
梧桐返照寒,wu'tong'fan'zhao'han
梧桐渐覆井,wu'tong'jian'fu'jing
梧桐开一路,wu'tong'kai'yi'lu
梧桐生朝阳,wu'tong'sheng'chao'yang
梧桐荫我门,wu'tong'yin'wo'men
吴王承国宠,wu'wang'cheng'guo'chong
吴王初鼎峙,wu'wang'chu'ding'zhi
无忘君子恩,wu'wang'jun'zi'en
吴王昔丧元,wu'wang'xi'sang'yuan
无为费中国,wu'wei'fei'zhong'guo
无为物自成,wu'wei'wu'zi'cheng
勿谓知音稀,wu'wei'zhi'yin'xi
吾闻仙地多后身,wu'wen'xian'di'duo'hou'shen
无限前朝事,wu'xian'qian'chao'shi
无嫌手板迎,wu'xian'shou'ban'ying
五校连旗色,wu'xiao'lian'qi'se
无心伴行雨,wu'xin'ban'xing'yu
无心变杨柳,wu'xin'bian'yang'liu
无心世界闲,wu'xin'shi'jie'xian
吾心知道尊,wu'xin'zhi'dao'zun
无心自贞直,wu'xin'zi'zhen'zhi
吾兄许微尚,wu'xiong'xu'wei'shang
舞袖怯春风,wu'xiu'qie'chun'feng
无言不得意,wu'yan'bu'de'yi
寤言非远寻,wu'yan'fei'yuan'xun
五言破的人共推,wu'yan'po'de'ren'gong'tui
无言谁敢酬,wu'yan'shui'gan'chou
巫阳好解神,wu'yang'hao'jie'shen
舞腰愁欲断,wu'yao'chou'yu'duan
无夜不猿啼,wu'ye'bu'yuan'ti
无叶拂烟霞,wu'ye'fu'yan'xia
五夜即成篇,wu'ye'ji'cheng'pian
吾亦安能穷,wu'yi'an'neng'qiong
吾亦辞家久,wu'yi'ci'jia'jiu
吾亦尔知音,wu'yi'er'zhi'yin
无贻汉国忧,wu'yi'han'guo'you
吾亦遂优游,wu'yi'sui'you'you
无以效丹青,wu'yi'xiao'dan'qing
吾亦知所投,wu'yi'zhi'suo'tou
无因酬大德,wu'yin'chou'da'de
五音克备,wu'yin'ke'bei
无因銮跸暇,wu'yin'luan'bi'xia
舞影到池闲,wu'ying'dao'chi'xian
五营将月合,wu'ying'jiang'yue'he
无庸客昭世,wu'yong'ke'zhao'shi
舞咏惜将阑,wu'yong'xi'jiang'lan
无由见所思,wu'you'jian'suo'si
悟有皆成空,wu'you'jie'cheng'kong
无有一法垢,wu'you'yi'fa'gou
无有一法真,wu'you'yi'fa'zhen
吾欲竟此曲,wu'yu'jing'ci'qu
舞馀依帐泣,wu'yu'yi'zhang'qi
五岳遍曾居,wu'yue'bian'ceng'ju
五月黄梅时,wu'yue'huang'mei'shi
五月南风兴,wu'yue'nan'feng'xing
五岳森禅房,wu'yue'sen'chan'fang
吴越山多秀,wu'yue'shan'duo'xiu
五月尚持戎,wu'yue'shang'chi'rong
吴岳夏云尽,wu'yue'xia'yun'jin
吴越新居安此生,wu'yue'xin'ju'an'ci'sheng
无云秦汉隔,wu'yun'qin'han'ge
