阿宝,a'bao
轻骑飞来叛王受缚,qing'qi'fei'lai'pan'wang'shou'fu
庆生辰佳人逢匪棍,qing'sheng'chen'jia'ren'feng'fei'gun
庆生辰钟雄被获,qing'sheng'chen'zhong'xiong'bei'huo
请圣僧捕贼藏珍寺,qing'sheng'seng'bu'zei'cang'zhen'si
庆寿辰罗单相争,qing'shou'chen'luo'dan'xiang'zheng
青蛙神,qing'wa'shen
请仙女淡笑打权奸,qing'xian'nv'dan'xiao'da'quan'jian
清虚境天主延宾,qing'xu'jing'tian'zhu'yan'bin
请巡按屈体求荣,qing'xun'an'qu'ti'qiu'rong
清夜游昭君泪塞,qing'ye'you'zhao'jun'lei'sai
情因旧恨生灾毒,qing'yin'jiu'hen'sheng'zai'du
请庸医文魁毒病父,qing'yong'yi'wen'kui'du'bing'fu
穷百里饲牛拜相,qiong'bai'li'si'niu'bai'xiang
穷马周遭际卖缒食旁媪,qiong'ma'zhou'zao'ji'mai'zhui'shi'pang'ao
穷土木炀帝逞豪华,qiong'tu'mu'yang'di'cheng'hao'hua
穷庠生助师得令终,qiong'xiang'sheng'zhu'shi'de'ling'zhong
琼英处女做先锋,qiong'ying'chu'nv'zuo'xian'feng
求富贵独步南西门,qiu'fu'gui'du'bu'nan'xi'men
秋菊含恨泄幽情,qiu'ju'han'hen'xie'you'qing
囚军营手足重完聚,qiu'jun'ying'shou'zu'zhong'wan'ju
丘县尹荐贤礼释,qiu'xian'yin'jian'xian'li'shi
觑藏春潘氏潜踪,qu'cang'chun'pan'shi'qian'zong
取长城伯约鏖兵,qu'chang'cheng'bo'yue'ao'bing
屈方正成神托梦,qu'fang'zheng'cheng'shen'tuo'meng
蘧公孙书坊送良友,qu'gong'sun'shu'fang'song'liang'you
屈官刑叔宝受责,qu'guan'xing'shu'bao'shou'ze
驱火牛田单破燕,qu'huo'niu'tian'dan'po'yan
娶妓女魏聘才收场,qu'ji'nv'wei'pin'cai'shou'chang
取金堤元庆扬威,qu'jin'di'yuan'qing'yang'wei
驱巨兽六破蛮兵,qu'ju'shou'liu'po'man'bing
娶美人白狗闹洞房,qu'mei'ren'bai'gou'nao'dong'fang
屈少君重返都门地,qu'shao'jun'chong'fan'dou'men'di
屈申附体醉死梦生,qu'shen'fu'ti'zui'si'meng'sheng
娶孀妇如玉受官刑,qu'shuang'fu'ru'yu'shou'guan'xing
曲沃城栾盈灭族,qu'wo'cheng'luan'ying'mie'zu
娶夏姬巫臣逃晋,qu'xia'ji'wu'chen'tao'jin
去诈降谢志山受骗,qu'zha'xiang'xie'zhi'shan'shou'pian
曲州府巧遇金翅雕,qu'zhou'fu'qiao'yu'jin'chi'diao
衢州三怪,qu'zhou'san'guai
犬灯,quan'deng
劝儿夫妻妾进良言,quan'er'fu'qi'qie'jin'liang'yan
犬奸,quan'jian
犬戎主大闹镐京,quan'rong'zhu'da'nao'hao'jing
权学士权认远乡姑,quan'xue'shi'quan'ren'yuan'xiang'gu
全友谊澹然直言,quan'you'yi'dan'ran'zhi'yan
全珍馆众英雄相逢,quan'zhen'guan'zhong'ying'xiong'xiang'feng
缺月重圆真情独笑,que'yue'chong'yuan'zhen'qing'du'xiao
群公子大闹朝堂,qun'gong'zi'da'nao'chao'tang
群公子花园贺喜,qun'gong'zi'hua'yuan'he'xi
群魔怒摆金光阵,qun'mo'nu'bai'jin'guang'zhen
群魔欺本性,qun'mo'qi'ben'xing
群圣除邪获宝贝,qun'sheng'chu'xie'huo'bao'bei
群英会蒋干中计,qun'ying'hui'jiang'gan'zhong'ji
群珠紧守离恨谁怜,qun'zhu'jin'shou'li'hen'shui'lian
燃灯议破十绝阵,ran'deng'yi'po'shi'jue'zhen
任大海独战三人,ren'da'hai'du'zhan'san'ren
认方向高树捉猴猕,ren'fang'xiang'gao'shu'zhuo'hou'mi
忍饥挨饿进庙杀僧,ren'ji'ai'e'jin'miao'sha'seng
任君用恣乐深闺,ren'jun'yong'zi'le'shen'gui
认明师学艺招贤馆,ren'ming'shi'xue'yi'zhao'xian'guan
认替僧荣归灵隐寺,ren'ti'seng'rong'gui'ling'yin'si
任孝子烈性为神,ren'xiao'zi'lie'xing'wei'shen
认兄弟张用献关,ren'xiong'di'zhang'yong'xian'guan
任秀,ren'xiu
任医官垂帐诊瓶儿,ren'yi'guan'chui'zhang'zhen'ping'er
人贼巢羞见被劫妻,ren'zei'chao'xiu'jian'bei'jie'qi
纫针,ren'zhen
认祖孙玉圃联宗,ren'zu'sun'yu'pu'lian'zong
日月重光,ri'yue'chong'guang
入大罐举手避痴儿,ru'da'guan'ju'shou'bi'chi'er
入赌局输钱卖弟妇,ru'du'ju'shu'qian'mai'di'fu
入虎穴有意找盟兄,ru'hu'xue'you'yi'zhao'meng'xiong
入幻境四子走傍门,ru'huan'jing'si'zi'zou'bang'men
入酒肆莫逢旧识人,ru'jiu'si'mo'feng'jiu'shi'ren
如来暗示主人公,ru'lai'an'shi'zhu'ren'gong
儒林外史,ru'lin'wai'shi
入内庭诗赋显才华,ru'nei'ting'shi'fu'xian'cai'hua
儒士登山失路途,ru'shi'deng'shan'shi'lu'tu
入水寨吸呼废命,ru'shui'zhai'xi'hu'fei'ming
入天牢敬德施威,ru'tian'lao'jing'de'shi'wei
入网罗奸王就擒,ru'wang'luo'jian'wang'jiu'qin
入西川二士争功,ru'xi'chuan'er'shi'zheng'gong
入仙山撒手弃凡尘,ru'xian'shan'sa'shou'qi'fan'chen
如意儿茎露独尝,ru'yi'er'jing'lu'du'chang
如意巷刺客捉拿,ru'yi'xiang'ci'ke'zhuo'na
入欲网痴子听神龟,ru'yu'wang'chi'zi'ting'shen'gui
入云龙兵围百谷岭,ru'yun'long'bing'wei'bai'gu'ling
入云龙斗法破高廉,ru'yun'long'dou'fa'po'gao'lian
阮良水底擒兀术,ruan'liang'shui'di'qin'wu'shu
瑞云,rui'yun
洒家店雪娥为娼,sa'jia'dian'xue'e'wei'chang
洒桃花流水寻欢,sa'tao'hua'liu'shui'xun'huan
赛花荣暗器伤徐寿,sai'hua'rong'an'qi'shang'xu'shou
赛举鼎秦武王绝胫,sai'ju'ding'qin'wu'wang'jue'jing
赛孟尝怒打小霸王,sai'meng'chang'nu'da'xiao'ba'wang
赛孟尝破金山禅寺,sai'meng'chang'po'jin'shan'chan'si
赛孟尝拳打严虎,sai'meng'chang'quan'da'yan'hu
赛元庆误落李家店,sai'yuan'qing'wu'luo'li'jia'dian
赛专诸见字防盗贼,sai'zhuan'zhu'jian'zi'fang'dao'zei
三朝元老,san'chao'yuan'lao
三大师收狮象犼,san'da'shi'shou'shi'xiang'hou
三姑计摆黄河阵,san'gu'ji'bai'huang'he'zhen
三关寨五郎观象,san'guan'zhai'wu'lang'guan'xiang
三国演义,san'guo'yan'yi
三国志通俗演义,san'guo'zhi'tong'su'yan'yi
三豪杰偷探吴家堡,san'hao'jie'tou'tan'wu'jia'bao
三火烧祝家店,san'huo'shao'zhu'jia'dian
散家财陈氏买齐国,san'jia'cai'chen'shi'mai'qi'guo
散家仆解当还脚价,san'jia'pu'jie'dang'hai'jiao'jia
三佳人妙语翻新,san'jia'ren'miao'yu'fan'xin
三江口曹操折兵,san'jiang'kou'cao'cao'zhe'bing
三江口周瑜纵火,san'jiang'kou'zhou'yu'zong'huo
三教大会万仙阵,san'jiao'da'hui'wan'xian'zhen
三教会破诛仙阵,san'jiao'hui'po'zhu'xian'zhen
三杰围攻无敌将,san'jie'wei'gong'wu'di'jiang
三救厄海神显灵,san'jiu'e'hai'shen'xian'ling
三名士雪窗分咏,san'ming'shi'xue'chuang'fen'yong
三年故主世间生,san'nian'gu'zhu'shi'jian'sheng
三清观大圣留名,san'qing'guan'da'sheng'liu'ming
三清观魏真恼山王,san'qing'guan'wei'zhen'nao'shan'wang
三清观邀请老道,san'qing'guan'yao'qing'lao'dao
三清观张董设奸谋,san'qing'guan'zhang'dong'she'jian'mou
三三行满道归根,san'san'hang'man'dao'gui'gen
三僧大战青龙山,san'seng'da'zhan'qing'long'shan
三山聚义打青州,san'shan'ju'yi'da'qing'zhou
三山门贤人饯别,san'shan'men'xian'ren'jian'bie
三生,san'sheng
散生日敬济拜冤家,san'sheng'ri'jing'ji'bai'yuan'jia
三探冲霄玉堂遭害,san'tan'chong'xiao'yu'tang'zao'hai
三侠客同走劝架,san'xia'ke'tong'zou'quan'jia
三侠士大战邺将军,san'xia'shi'da'zhan'ye'jiang'jun
三侠五义,san'xia'wu'yi
三仙,san'xian
三现身包龙图断冤,san'xian'shen'bao'long'tu'duan'yuan
三孝廉让产立高名,san'xiao'lian'rang'chan'li'gao'ming
三义坊当锏受腌臢,san'yi'fang'dang'jian'shou'a'za
三义居醉鬼报佳音,san'yi'ju'zui'gui'bao'jia'yin
散宜生私通费尤,san'yi'sheng'si'tong'fei'you
三义侠衣锦还乡,san'yi'xia'yi'jin'huan'xiang
三英雄避雨金家庄,san'ying'xiong'bi'yu'jin'jia'zhuang
三英雄求见蒋泽长,san'ying'xiong'qiu'jian'jiang'ze'chang
三藏不忘本,san'zang'bu'wang'ben
三藏有灾沉水宅,san'zang'you'zai'chen'shui'zhai
三贼丧命恶贯满,san'zei'sang'ming'e'guan'man
三至岳阳飞度,san'zhi'yue'yang'fei'du
三主云游成大道,san'zhu'yun'you'cheng'da'dao
色邪淫戏唐三藏,se'xie'yin'xi'tang'san'zang
僧道斗法凌霄观,seng'dao'dou'fa'ling'xiao'guan
僧孽,seng'nie
僧术,seng'shu
僧思拜佛履层冰,seng'si'bai'fo'lv'ceng'bing
傻帮闲趋奉闹华筵,sha'bang'xian'qu'feng'nao'hua'yan
杀从贼英雄留首级,sha'cong'zei'ying'xiong'liu'shou'ji
杀大雄殷氏出贼巢,sha'da'xiong'yin'shi'chu'zei'chao
杀番兵岳云保家属,sha'fan'bing'yue'yun'bao'jia'shu
杀故友良心丧尽,sha'gu'you'liang'xin'sang'jin
杀奸属王彪报仇,sha'jian'shu'wang'biao'bao'chou
沙龙遭困母女重逢,sha'long'zao'kun'mu'nv'chong'feng
杀宁喜子鳟出奔,sha'ning'xi'zi'zun'chu'ben
杀三兄楚平王即位,sha'san'xiong'chu'ping'wang'ji'wei
杀土豪义士报冤仇,sha'tu'hao'yi'shi'bao'yuan'chou
杀小寇放火烧房,sha'xiao'kou'fang'huo'shao'fang
杀妖道豪杰立奇功,sha'yao'dao'hao'jie'li'qi'gong
杀翟让李密负友,sha'zhai'rang'li'mi'fu'you
杀子颓惠王反正,sha'zi'tui'hui'wang'fan'zheng
杀子胥夫差争歃,sha'zi'xu'fu'chai'zheng'sha
山谷中二女坠牢笼,shan'gu'zhong'er'nv'zhui'lao'long
珊瑚,shan'hu
山径逃踪锄秃恶,shan'jing'tao'zong'chu'tu'e
擅绝技一箭射降贼,shan'jue'ji'yi'jian'she'jiang'zei
山内钟雄谦恭和蔼,shan'nei'zhong'xiong'qian'gong'he'ai
擅巧技妙算谈天,shan'qiao'ji'miao'suan'tan'tian
山神,shan'shen
山神庙内巧遇恶喽兵,shan'shen'miao'nei'qiao'yu'e'lou'bing
山市,shan'shi
山狮驼兵阻界山,shan'shi'tuo'bing'zu'jie'shan
山西雁药酒灌贼人,shan'xi'yan'yao'jiu'guan'zei'ren
善相破法斩冯谦,shan'xiang'po'fa'zhan'feng'qian
善心人终得善报,shan'xin'ren'zhong'de'shan'bao
单雄信挥金全义友,shan'xiong'xin'hui'jin'quan'yi'you
单雄信交臂失知音,shan'xiong'xin'jiao'bi'shi'zhi'yin
陕右某公,shan'you'mou'gong
山中子劫罗德王能,shan'zhong'zi'jie'luo'de'wang'neng
上表章知府覆命,shang'biao'zhang'zhi'fu'fu'ming
赏灯月开宴品群花,shang'deng'yue'kai'yan'pin'qun'hua
上方谷司马受困,shang'fang'gu'si'ma'shou'kun
商妇,shang'fu
商功父阴摄江巡,shang'gong'fu'yin'she'jiang'xun
上密书元帅得消息,shang'mi'shu'yuan'shuai'de'xiao'xi
赏勤劳荣封甘棠镇,shang'qin'lao'rong'feng'gan'tang'zhen
商容九间殿死节,shang'rong'jiu'jian'dian'si'jie
商三官,shang'san'guan
上仙,shang'xian
赏雪亭乔宾奋勇,shang'xue'ting'qiao'bin'fen'yong
赏元宵楼上醉花灯,shang'yuan'xiao'lou'shang'zui'hua'deng
上院衙猫鼠见钦差,shang'yuan'ya'mao'shu'jian'qin'chai
上院衙沙员外献图,shang'yuan'ya'sha'yuan'wai'xian'tu
烧夫灵和尚听淫声,shao'fu'ling'he'shang'ting'yin'sheng
少妇骗人折风月,shao'fu'pian'ren'zhe'feng'yue
邵华风常州劫牢,shao'hua'feng'chang'zhou'jie'lao
邵华风升殿问豪杰,shao'hua'feng'sheng'dian'wen'hao'jie
邵华风逃归万花山,shao'hua'feng'tao'gui'wan'hua'shan
邵九娘,shao'jiu'niang
邵临淄,shao'lin'zi
邵士梅,shao'shi'mei
少水无茶开门揖盗,shao'shui'wu'cha'kai'men'yi'dao
烧藤甲七擒孟获,shao'teng'jia'qi'qin'meng'huo
烧妖道义收陈亮,shao'yao'dao'yi'shou'chen'liang
赦反侧君念臣恩,she'fan'ce'jun'nian'chen'en
设宫宴曹后辱萧后,she'gong'yan'cao'hou'ru'xiao'hou
设机谋夜投蚯蚓岭,she'ji'mou'ye'tou'qiu'yin'ling
设假局欺骗冷于冰,she'jia'ju'qi'pian'leng'yu'bing
设奸谋画虎不成,she'jian'mou'hua'hu'bu'cheng
射箭书潜避铁浮陀,she'jian'shu'qian'bi'tie'fu'tuo
厍将军,she'jiang'jun
设局诈降龙姚假投降,she'ju'zha'xiang'long'yao'jia'tou'xiang
设妙策令派官兵,she'miao'ce'ling'pai'guan'bing
舍妙药义救王忠,she'miao'yao'yi'jiu'wang'zhong
设谋诓药气走韩彰,she'mou'kuang'yao'qi'zou'han'zhang
蛇盘山诸神暗佑,she'pan'shan'zhu'shen'an'you
蛇癖,she'pi
设圈套浪子私挑,she'quan'tao'lang'zi'si'tiao
蛇人,she'ren
佘太君,she'tai'jun
设阴谋恶化梁百万,she'yin'mou'e'hua'liang'bai'wan
设阴谋临产换太子,she'yin'mou'lin'chan'huan'tai'zi
设重险聊试道中人,she'zhong'xian'liao'shi'dao'zhong'ren
赦罪封功御祭岳王坟,she'zui'feng'gong'yu'ji'yue'wang'fen
申公豹说反殷郊,shen'gong'bao'shuo'fan'yin'jiao
审幻情男女皆责饬,shen'huan'qing'nan'nv'jie'ze'chi
神昏心动遇魔头,shen'hun'xin'dong'yu'mo'tou
神箭手逆旅逢侠客,shen'jian'shou'ni'lv'feng'xia'ke
审奸细元帅探军惰,shen'jian'xi'yuan'shuai'tan'jun'duo
沈将仕三千买笑钱,shen'jiang'shi'san'qian'mai'xiao'qian
审口供豪杰受官刑,shen'kou'gong'hao'jie'shou'guan'xing
神狂诛草寇,shen'kuang'zhu'cao'kou
沈兰劫寨陷全军,shen'lan'jie'zhai'xian'quan'jun
沈醴泉设计抛银钱,shen'li'quan'she'ji'pao'yin'qian
沈妙亮听歌识圣僧,shen'miao'liang'ting'ge'shi'sheng'seng
沈妙亮智救悟禅,shen'miao'liang'zhi'jiu'wu'chan
神女,shen'nv
沈琼枝利涉桥卖文,shen'qiong'zhi'li'she'qiao'mai'wen
沈琼枝押解江都县,shen'qiong'zhi'ya'jie'jiang'du'xian
沈三郎蹈杀身危机,shen'san'lang'dao'sha'shen'wei'ji
申氏,shen'shi
神手大圣暗中计谋,shen'shou'da'sheng'an'zhong'ji'mou
神手圣奋勇行刺,shen'shou'sheng'fen'yong'xing'ci
婶守志亲嫂做媒人,shen'shou'zhi'qin'sao'zuo'mei'ren
神树岗小侠救幼子,shen'shu'gang'xiao'xia'jiu'you'zi
神术士魔法胜金风,shen'shu'shi'mo'fa'sheng'jin'feng
神童子身逢魔火劫,shen'tong'zi'shen'feng'mo'huo'jie
神偷寄兴一枝梅,shen'tou'ji'xing'yi'zhi'mei
沈小官一鸟害七命,shen'xiao'guan'yi'niao'hai'qi'ming
沈小霞相会出师表,shen'xiao'xia'xiang'hui'chu'shi'biao
伸义讨兄弟被戮,shen'yi'tao'xiong'di'bei'lu
沈中元弃暗投明,shen'zhong'yuan'qi'an'tou'ming
神宗帝下诏旌贤,shen'zong'di'xia'zhao'jing'xian
省老母叔宝回乡,sheng'lao'mu'shu'bao'hui'xiang
生离别隐语寄牵牛,sheng'li'bie'yin'yu'ji'qian'niu
圣罗汉驾离灵隐,sheng'luo'han'jia'li'ling'yin
圣僧恨逐美猴王,sheng'seng'hen'zhu'mei'hou'wang
圣僧夜阻通天水,sheng'seng'ye'zu'tong'tian'shui
圣手猿暗探赵家第,sheng'shou'yuan'an'tan'zhao'jia'di
圣手猿初入灵隐寺,sheng'shou'yuan'chu'ru'ling'yin'si
圣天子求贤问道,sheng'tian'zi'qiu'xian'wen'dao
升仙阁奸王逞豪富,sheng'xian'ge'jian'wang'cheng'hao'fu
圣显幽魂救本原,sheng'xian'you'hun'jiu'ben'yuan
生张说不及死姚崇,sheng'zhang'shuo'bu'ji'si'yao'chong
失榜首回心守故乡,shi'bang'shou'hui'xin'shou'gu'xiang
尸变,shi'bian
施岑收服乌灵圣母,shi'cen'shou'fu'wu'ling'sheng'mu
施禅机赵宅治病,shi'chan'ji'zhao'zhai'zhi'bing
师成然罴大队南征,shi'cheng'ran'pi'da'dui'nan'zheng
石成瑞招赘人魔女,shi'cheng'rui'zhao'zhui'ren'mo'nv
施慈悲仙子降妖,shi'ci'bei'xian'zi'xiang'yao
史大郎夜走华阴县,shi'da'lang'ye'zou'hua'yin'xian
石埭山强徒作窟,shi'dai'shan'qiang'tu'zuo'ku
石埭镇故友相逢,shi'dai'zhen'gu'you'xiang'feng
施恩三入死囚牢,shi'en'san'ru'si'qiu'lao
施恩义夺快活林,shi'en'yi'duo'kuai'huo'lin
施恩重霸孟州道,shi'en'zhong'ba'meng'zhou'dao
十二妇得胜回朝,shi'er'fu'de'sheng'hui'chao
施法宝罗汉诈装死,shi'fa'bao'luo'han'zha'zhuang'si
试法宝误装道童,shi'fa'bao'wu'zhuang'dao'tong
释番将刘豫降金,shi'fan'jiang'liu'yu'jiang'jin
施奋勇贼将亡身,shi'fen'yong'zei'jiang'wang'shen
施佛法暗渡华云龙,shi'fo'fa'an'du'hua'yun'long
施佛法火烧合欢楼,shi'fo'fa'huo'shao'he'huan'lou
施佛法善度王太和,shi'fo'fa'shan'du'wang'tai'he
施佛法戏耍豪杰,shi'fo'fa'xi'shua'hao'jie
施佛法智捉蓬头鬼,shi'fo'fa'zhi'zhuo'peng'tou'gui
史弘肇龙虎君臣会,shi'hong'zhao'long'hu'jun'chen'hui
失还魂牙僧索剩命,shi'huan'hun'ya'seng'suo'sheng'ming
识奸计冒险捉群贼,shi'jian'ji'mao'xian'zhuo'qun'zei
石将军村店寄书,shi'jiang'jun'cun'dian'ji'shu
史将军陇右失机,shi'jiang'jun'long'you'shi'ji
石惊赵虎侠客争锋,shi'jing'zhao'hu'xia'ke'zheng'feng
施绝计单雄信无家,shi'jue'ji'shan'xiong'xin'wu'jia
施俊绝处又逢生,shi'jun'jue'chu'you'feng'sheng
士开解围推段帅,shi'kai'jie'wei'tui'duan'shuai
释槛囚鲍叔荐仲,shi'kan'qiu'bao'shu'jian'zhong
矢口不移心灵性巧,shi'kou'bu'yi'xin'ling'xing'qiao
试雷珠佛殿诛妖狐,shi'lei'zhu'fo'dian'zhu'yao'hu
十里庄雷击华清风,shi'li'zhuang'lei'ji'hua'qing'feng
施妙法恶道害人,shi'miao'fa'e'dao'hai'ren
施妙法法斗铁佛,shi'miao'fa'fa'dou'tie'fo
施妙法鬼入闹秦宅,shi'miao'fa'gui'ru'nao'qin'zhai
施妙法游戏助义士,shi'miao'fa'you'xi'zhu'yi'shi
尸魔三戏唐三藏,shi'mo'san'xi'tang'san'zang
史南湘独出五言诗,shi'nan'xiang'du'chu'wu'yan'shi
史南湘制谱选名花,shi'nan'xiang'zhi'pu'xuan'ming'hua
识破机关仗着糊拉混扯,shi'po'ji'guan'zhang'zhe'hu'la'hun'che
弑齐光崔庆专权,shi'qi'guang'cui'qing'zhuan'quan
释前仇程咬金见母受恩,shi'qian'chou'cheng'yao'jin'jian'mu'shou'en
时迁火烧翠云楼,shi'qian'huo'shao'cui'yun'lou
释情痴夫妇感恩,shi'qing'chi'fu'fu'gan'en
施青目学士识英雄,shi'qing'mu'xue'shi'shi'ying'xiong
石清虚,shi'qing'xu
施全剪径遇良朋,shi'quan'jian'jing'yu'liang'peng
试容装上台呈艳曲,shi'rong'zhuang'shang'tai'cheng'yan'qu
施润泽滩阙遇友,shi'run'ze'tan'que'yu'you
十三郎五岁朝天,shi'san'lang'wu'sui'chao'tian
十三生大破非非阵,shi'san'sheng'da'po'fei'fei'zhen
十三生大破迷魂阵,shi'san'sheng'da'po'mi'hun'zhen
施神枪魏女解围,shi'shen'qiang'wei'nv'jie'wei
师狮授受同归一,shi'shi'shou'shou'tong'gui'yi
试探贼情将军诱敌,shi'tan'zei'qing'jiang'jun'you'di
实为四侠,shi'wei'si'xia
十五贯戏言成巧祸,shi'wu'guan'xi'yan'cheng'qiao'huo
试降书将帅各成功,shi'xiang'shu'jiang'shuai'ge'cheng'gong
施邪术关前摆毒阵,shi'xie'shu'guan'qian'bai'du'zhen
施邪术妙兴定计,shi'xie'shu'miao'xing'ding'ji
石秀智杀裴如海,shi'xiu'zhi'sha'pei'ru'hai
诗谳,shi'yan
史英豪岭下招兵,shi'ying'hao'ling'xia'zhao'bing
石玉昆,shi'yu'kun
试御刑小侠经初审,shi'yu'xing'xiao'xia'jing'chu'shen
释怨营坟安父骨,shi'yuan'ying'fen'an'fu'gu
识诈降三擒孟获,shi'zha'xiang'san'qin'meng'huo
失张豹义士又为难,shi'zhang'bao'yi'shi'you'wei'nan
世忠计破藏金窟,shi'zhong'ji'po'cang'jin'ku
矢忠贞颜真卿起义,shi'zhong'zhen'yan'zhen'qing'qi'yi
食朱草入圣超凡,shi'zhu'cao'ru'sheng'chao'fan
狮子林老仆暗偷听,shi'zi'lin'lao'pu'an'tou'ting
收八魔符咒封洞口,shou'ba'mo'fu'zhou'feng'dong'kou
收公孙策密访奸人,shou'gong'sun'ce'mi'fang'jian'ren
守孤灵半夜口脂香,shou'gu'ling'ban'ye'kou'zhi'xiang
受皇恩定远县赴任,shou'huang'en'ding'yuan'xian'fu'ren
守江口书生拜大将,shou'jiang'kou'shu'sheng'bai'da'jiang
受节钺浪子做元戎,shou'jie'yue'lang'zi'zuo'yuan'rong
守净狠心验枕骨,shou'jing'hen'xin'yan'zhen'gu
受乱棍范状元疯癫,shou'luan'gun'fan'zhuang'yuan'feng'dian
受女辱潜逃黑齿邦,shou'nv'ru'qian'tao'hei'chi'bang
寿虔婆浪子吃陈醋,shou'qian'po'lang'zi'chi'chen'cu
受荣封三孤膺敕命,shou'rong'feng'san'gu'ying'chi'ming
受私贿后庭说事,shou'si'hui'hou'ting'shuo'shi
收悟缘派捉邵华风,shou'wu'yuan'pai'zhuo'shao'hua'feng
守仙炉六友烧丹药,shou'xian'lu'liu'you'shao'dan'yao
受魇魔忠良遭大难,shou'yan'mo'zhong'liang'zao'da'nan
首阳山夷齐阴兵,shou'yang'shan'yi'qi'yin'bing
叔宝救驾红泥涧,shu'bao'jiu'jia'hong'ni'jian
叔宝权栖承福寺,shu'bao'quan'qi'cheng'fu'si
叔宝神箭射双雕,shu'bao'shen'jian'she'shuang'diao
叔宝戏战尚师徒,shu'bao'xi'zhan'shang'shi'tu
书痴,shu'chi
舒积忿同室操戈,shu'ji'fen'tong'shi'cao'ge
书旧史挥毫贯古今,shu'jiu'shi'hui'hao'guan'gu'jin
赎烈妇倾囊助多金,shu'lie'fu'qing'nang'zhu'duo'jin
树林气走巡风客,shu'lin'qi'zou'xun'feng'ke
枢密计倾无佞府,shu'mi'ji'qing'wu'ning'fu
述奇形蚕茧当小帽,shu'qi'xing'can'jian'dang'xiao'mao
书生谈笑却强敌,shu'sheng'tan'xiao'que'qiang'di
束天神大战宋将,shu'tian'shen'da'zhan'song'jiang
书童儿作女妆媚客,shu'tong'er'zuo'nv'zhuang'mei'ke
书童私挂一帆风,shu'tong'si'gua'yi'fan'feng
述往事王佐献图,shu'wang'shi'wang'zuo'xian'tu
鼠戏,shu'xi
述淫邪奸谋藏木桶,shu'yin'xie'jian'mou'cang'mu'tong
述御旨欣逢盛曲,shu'yu'zhi'xin'feng'sheng'qu
数灾祥驳翻太乙数,shu'zai'xiang'bo'fan'tai'yi'shu
叔詹据鼎抗晋侯,shu'zhan'ju'ding'kang'jin'hou
双叉岭伯钦留僧,shuang'cha'ling'bo'qin'liu'seng
双锤将欺压良善,shuang'chui'jiang'qi'ya'liang'shan
双灯,shuang'deng
双林镇燕青遇故,shuang'lin'zhen'yan'qing'yu'gu
双侠,shuang'xia
双侠饯行静修测字,shuang'xia'jian'xing'jing'xiu'ce'zi
双义楼匪棍讹人,shuang'yi'lou'fei'gun'e'ren
双玉人重逢合卺,shuang'yu'ren'chong'feng'he'jin
双宰辅畅谈俗弊,shuang'zai'fu'chang'tan'su'bi
水浒,shui'hu
水浒传,shui'hu'zhuan
水火无功难炼魔,shui'huo'wu'gong'nan'lian'mo
水军汩没破坚城,shui'jun'gu'mo'po'jian'cheng
水莽草,shui'mang'cao
水榭风廓花能解语,shui'xie'feng'kuo'hua'neng'jie'yu
水月村樵夫寄信,shui'yue'cun'qiao'fu'ji'xin
水灾,shui'zai
顺天时三侠称王,shun'tian'shi'san'xia'cheng'wang
顺夜伏金山寺,shun'ye'fu'jin'shan'si
顺义村擂台逢敌手,shun'yi'cun'lei'tai'feng'di'shou
说大书佐酒为欢,shuo'da'shu'zuo'jiu'wei'huan
说灯谜戏耍宗印,shuo'deng'mi'xi'shua'zong'yin
说风情赵尼画策,shuo'feng'qing'zhao'ni'hua'ce
说佛法暗中救人,shuo'fo'fa'an'zhong'jiu'ren
说韩棋释放悟缘僧,shuo'han'qi'shi'fang'wu'yuan'seng
说假话圣僧投案,shuo'jia'hua'sheng'seng'tou'an
说秦伯魏相迎医,shuo'qin'bo'wei'xiang'ying'yi
说秦君卫鞅变法,shuo'qin'jun'wei'yang'bian'fa
说四国乐毅灭齐,shuo'si'guo'yue'yi'mie'qi
说酸话酒保咬文,shuo'suan'hua'jiu'bao'yao'wen
说唐,shuo'tang
说楔子敷陈大义,shuo'xie'zi'fu'chen'da'yi
说新闻传来新戏,shuo'xin'wen'chuan'lai'xin'xi
说岳全传,shuo'yue'quan'zhuan
死范睢计逃秦国,si'fan'sui'ji'tao'qin'guo
思父母匡童生尽孝,si'fu'mu'kuang'tong'sheng'jin'xiao
四海千山皆拱伏,si'hai'qian'shan'jie'gong'fu
四豪杰设法战群贼,si'hao'jie'she'fa'zhan'qun'zei
思净身王义得佳偶,si'jing'shen'wang'yi'de'jia'ou
死里生千金认张立,si'li'sheng'qian'jin'ren'zhang'li
司马徽再荐名士,si'ma'hui'zai'jian'ming'shi
司马懿,si'ma'yi
司马懿克日擒孟达,si'ma'yi'ke'ri'qin'meng'da
司马懿入寇西蜀,si'ma'yi'ru'kou'xi'shu
司马懿诈病赚曹爽,si'ma'yi'zha'bing'zhuan'cao'shuang
司马懿占北原渭桥,si'ma'yi'zhan'bei'yuan'wei'qiao
司农忠愤大兴兵,si'nong'zhong'fen'da'xing'bing
死僧,si'seng
四僧宴乐御花园,si'seng'yan'le'yu'hua'yuan
四圣试禅心,si'sheng'shi'chan'xin
四圣西岐会子牙,si'sheng'xi'qi'hui'zi'ya
四十千,si'shi'qian
四天王遇丙灵公,si'tian'wang'yu'bing'ling'gong
四王洒血紫主关,si'wang'sa'xue'zi'zhu'guan
司文郎,si'wen'lang
