阿基米德巧计,a'ji'mi'de'qiao'ji
乘其所之,cheng'qi'suo'zhi
程潜,cheng'qian
称生胜,cheng'sheng'sheng
乘胜万里伏,cheng'sheng'wan'li'fu
城市防御,cheng'shi'fang'yu
城市防御工程,cheng'shi'fang'yu'gong'cheng
城市伪装,cheng'shi'wei'zhuang
城市战斗,cheng'shi'zhan'dou
成套编配,cheng'tao'bian'pei
成套遮障,cheng'tao'zhe'zhang
成为明军,cheng'wei'ming'jun
成系统,cheng'xi'tong
成像质量,cheng'xiang'zhi'liang
程序,cheng'xu
乘虚而入,cheng'xu'er'ru
程序飞行,cheng'xu'fei'xing
乘员避弹所,cheng'yuan'bi'dan'suo
乘员座椅,cheng'yuan'zuo'yi
赤壁之战,chi'bi'zhi'zhan
驰车千驷,chi'che'qian'si
赤城号,chi'cheng'hao
赤道带,chi'dao'dai
持久性毒剂,chi'jiu'xing'du'ji
持久战,chi'jiu'zhan
吃水,chi'shui
吃水深,chi'shui'shen
吃水深度,chi'shui'shen'du
赤霄,chi'xiao
持续动员,chi'xu'dong'yuan
持一铁枪,chi'yi'tie'qiang
斥战,chi'zhan
迟滞,chi'zhi
持重待机,chi'zhong'dai'ji
重叠设伏,chong'die'she'fu
重叠射击,chong'die'she'ji
冲锋号,chong'feng'hao
冲锋枪,chong'feng'qiang
冲锋舟,chong'feng'zhou
冲沟,chong'gou
铳管,chong'guan
冲击波,chong'ji'bo
冲击波超压,chong'ji'bo'chao'ya
冲击波动压,chong'ji'bo'dong'ya
冲击波效应,chong'ji'bo'xiao'ying
冲击出发阵地,chong'ji'chu'fa'zhen'di
冲击火力准备,chong'ji'huo'li'zhun'bei
冲击基准时间,chong'ji'ji'zhun'shi'jian
冲击开始时间,chong'ji'kai'shi'shi'jian
冲击路线,chong'ji'lu'xian
冲击目标,chong'ji'mu'biao
冲击炮火准备,chong'ji'pao'huo'zhun'bei
冲击伤,chong'ji'shang
冲击压力,chong'ji'ya'li
冲击准备,chong'ji'zhun'bei
重建,chong'jian
充冷,chong'leng
重弹,chong'tan
重陷,chong'xian
重新试射,chong'xin'shi'she
冲压工艺,chong'ya'gong'yi
充氧,chong'yang
重装空投伞,chong'zhuang'kong'tou'san
础板,chu'ban
储备标准,chu'bei'biao'zhun
储备里程,chu'bei'li'cheng
初步决心,chu'bu'jue'xin
出车,chu'che
出车命令,chu'che'ming'ling
处处设防,chu'chu'she'fang
储存仓库,chu'cun'cang'ku
出敌不意,chu'di'bu'yi
出动率,chu'dong'lv
触发爆炸,chu'fa'bao'zha
处罚程序,chu'fa'cheng'xu
出发机场,chu'fa'ji'chang
触发水雷,chu'fa'shui'lei
出发线,chu'fa'xian
触发引信,chu'fa'yin'xin
出击,chu'ji
出具保证书,chu'ju'bao'zheng'shu
出具书面声明,chu'ju'shu'mian'sheng'ming
储雷架,chu'lei'jia
出联,chu'lian
出其不意,chu'qi'bu'yi
出枪似,chu'qiang'si
出勤车日,chu'qin'che'ri
初驶,chu'shi
初速,chu'su
触线,chu'xian
触线水雷,chu'xian'shui'lei
初雪,chu'xue
初雪级驱逐舰,chu'xue'ji'qu'zhu'jian
出优越性,chu'you'yue'xing
初战,chu'zhan
初制导,chu'zhi'dao
处置突发事件,chu'zhi'tu'fa'shi'jian
传帮带,chuan'bang'dai
传爆,chuan'bao
传爆系列,chuan'bao'xi'lie
传爆药,chuan'bao'yao
穿插,chuan'cha
传递时限,chuan'di'shi'xian
传动和行动,chuan'dong'he'xing'dong
传动系,chuan'dong'xi
传动系统,chuan'dong'xi'tong
传动装置,chuan'dong'zhuang'zhi
船队编组梯队,chuan'dui'bian'zu'ti'dui
传话孔,chuan'hua'kong
传火孔,chuan'huo'kong
传火孔口,chuan'huo'kong'kou
穿甲,chuan'jia
穿甲弹,chuan'jia'dan
穿甲燃烧弹,chuan'jia'ran'shao'dan
串联准爆电流,chuan'lian'zhun'bao'dian'liu
船马引敌,chuan'ma'yin'di
传票传唤,chuan'piao'chuan'huan
传入中原,chuan'ru'zhong'yuan
川陕军区,chuan'shan'jun'qu
传世家徽折刀,chuan'shi'jia'hui'zhe'dao
传输传真,chuan'shu'chuan'zhen
传输电报,chuan'shu'dian'bao
传输电视,chuan'shu'dian'shi
传输数据,chuan'shu'shu'ju
传输信息,chuan'shu'xin'xi
传输指令线,chuan'shu'zhi'ling'xian
船艇运输,chuan'ting'yun'shu
传统车体,chuan'tong'che'ti
传统教育,chuan'tong'jiao'yu
传统战法,chuan'tong'zhan'fa
穿云图,chuan'yun'tu
穿云下降,chuan'yun'xia'jiang
船载支援,chuan'zai'zhi'yuan
船载支援炮兵,chuan'zai'zhi'yuan'pao'bing
传真电报,chuan'zhen'dian'bao
传真通信,chuan'zhen'tong'xin
创造战机,chuang'zao'zhan'ji
锤击式,chui'ji'shi
垂直包围,chui'zhi'bao'wei
垂直登陆,chui'zhi'deng'lu
垂直发射装置,chui'zhi'fa'she'zhuang'zhi
垂直高,chui'zhi'gao
垂直航空摄影,chui'zhi'hang'kong'she'ying
垂直航空照相,chui'zhi'hang'kong'zhao'xiang
垂直起降,chui'zhi'qi'jiang
垂直起落,chui'zhi'qi'luo
垂直起落飞机,chui'zhi'qi'luo'fei'ji
垂直突击,chui'zhi'tu'ji
垂直障碍,chui'zhi'zhang'ai
垂直障碍物,chui'zhi'zhang'ai'wu
垂直遮障,chui'zhi'zhe'zhang
春秋常服,chun'qiu'chang'fu
春秋常服肩章,chun'qiu'chang'fu'jian'zhang
春秋大刀,chun'qiu'da'dao
春雨号驱逐舰,chun'yu'hao'qu'zhu'jian
磁北,ci'bei
此兵家之胜,ci'bing'jia'zhi'sheng
此兵器,ci'bing'qi
刺刀,ci'dao
刺钉,ci'ding
此攻之灾也,ci'gong'zhi'zai'ye
磁航向,ci'hang'xiang
刺激性毒剂,ci'ji'xing'du'ji
次口径,ci'kou'jing
次口径穿甲弹,ci'kou'jing'chuan'jia'dan
次口径炮弹,ci'kou'jing'pao'dan
磁力计,ci'li'ji
磁力探测仪,ci'li'tan'ce'yi
此谋攻之法也,ci'mou'gong'zhi'fa'ye
磁偏角,ci'pian'jiao
刺杀基本动作,ci'sha'ji'ben'dong'zuo
刺杀训练,ci'sha'xun'lian
次声,ci'sheng
次声波探测,ci'sheng'bo'tan'ce
次声武器,ci'sheng'wu'qi
磁探仪,ci'tan'yi
此五者,ci'wu'zhe
磁性定时水雷,ci'xing'ding'shi'shui'lei
磁性雷,ci'xing'lei
磁性水雷,ci'xing'shui'lei
次要防御方向,ci'yao'fang'yu'fang'xiang
次要作战方向,ci'yao'zuo'zhan'fang'xiang
磁子午线,ci'zi'wu'xian
丛林斑点,cong'lin'ban'dian
丛林数码,cong'lin'shu'ma
丛林王,cong'lin'wang
丛林王号,cong'lin'wang'hao
从球形,cong'qiu'xing
从实战出发,cong'shi'zhan'chu'fa
从严,cong'yan
粗垅,cu'long
粗铁,cu'tie
摧毁卫星,cui'hui'wei'xing
摧毁战略导弹,cui'hui'zhan'lue'dao'dan
催泪弹,cui'lei'dan
催泪性毒剂,cui'lei'xing'du'ji
存速,cun'su
存亡之道,cun'wang'zhi'dao
村雨级驱逐舰,cun'yu'ji'qu'zhu'jian
村正短妖刀,cun'zheng'duan'yao'dao
村自为战,cun'zi'wei'zhan
错乱密码,cuo'luan'mi'ma
大爆破,da'bao'po
打背包,da'bei'bao
大部歼灭,da'bu'jian'mie
打柴诱兵,da'chai'you'bing
达达尼尔海峡,da'da'ni'er'hai'xia
大当量,da'dang'liang
大当量核爆炸,da'dang'liang'he'bao'zha
大当量核武器,da'dang'liang'he'wu'qi
大刀进行曲,da'dao'jin'xing'qu
大地测量,da'di'ce'liang
大地点,da'di'dian
大地基础诸元,da'di'ji'chu'zhu'yuan
大地基准制导,da'di'ji'zhun'zhi'dao
大地控制点,da'di'kong'zhi'dian
大敌之擒也,da'di'zhi'qin'ye
大队长,da'dui'zhang
大多驱逐舰,da'duo'qu'zhu'jian
打反冲击,da'fan'chong'ji
大凤号,da'feng'hao
大沽口,da'gu'kou
大规模,da'gui'mo
大后掠角,da'hou'lue'jiao
大黄蜂,da'huang'feng
大黄蜂战斗机,da'huang'feng'zhan'dou'ji
打火管,da'huo'guan
大剑形,da'jian'xing
大将军,da'jiang'jun
大金门岛,da'jin'men'dao
大军区,da'jun'qu
大军区级,da'jun'qu'ji
打开天线,da'kai'tian'xian
打开制导天线,da'kai'zhi'dao'tian'xian
大口径,da'kou'jing
大口径枪弹,da'kou'jing'qiang'dan
打捞救生船,da'lao'jiu'sheng'chuan
大力士,da'li'shi
大量供应,da'liang'gong'ying
打猎突袭,da'lie'tu'xi
大垅,da'long
大陆架,da'lu'jia
大陆棚,da'lu'peng
大陆性气候,da'lu'xing'qi'hou
大马,da'ma
大马士革,da'ma'shi'ge
大麻植物,da'ma'zhi'wu
大贸,da'mao
达摩杖,da'mo'zhang
达姆弹,da'mu'dan
大批量飞机,da'pi'liang'fei'ji
大气层,da'qi'ceng
大气层核试验,da'qi'ceng'he'shi'yan
大气激光通信,da'qi'ji'guang'tong'xin
大气探测,da'qi'tan'ce
大气压,da'qi'ya
大气遥感探测,da'qi'yao'gan'tan'ce
大散关,da'san'guan
打扫战场,da'sao'zhan'chang
大生产运动,da'sheng'chan'yun'dong
大司马,da'si'ma
打通道路,da'tong'dao'lu
大尉,da'wei
大威力手枪弹,da'wei'li'shou'qiang'dan
大西洋壁垒,da'xi'yang'bi'lei
大校,da'xiao
大型猎物,da'xing'lie'wu
大型手工猎刀,da'xing'shou'gong'lie'dao
大型运输机,da'xing'yun'shu'ji
大熊星座,da'xiong'xing'zuo
大修,da'xiu
大休息,da'xiu'xi
大休息地域,da'xiu'xi'di'yu
打眼放炮,da'yan'fang'pao
大要素,da'yao'su
大鹰型,da'ying'xing
大元帅,da'yuan'shuai
搭载步兵,da'zai'bu'bing
打炸阻,da'zha'zu
大战略,da'zhan'lue
大桩门桥,da'zhuang'men'qiao
打桩门桥,da'zhuang'men'qiao
大纵深理论,da'zong'shen'li'lun
大纵深战役,da'zong'shen'zhan'yi
待渡地区,dai'du'di'qu
待发状态,dai'fa'zhuang'tai
绐俘诱敌,dai'fu'you'di
代供,dai'gong
代管,dai'guan
代号,dai'hao
待机,dai'ji
待机地域,dai'ji'di'yu
待机点,dai'ji'dian
待机护航,dai'ji'hu'hang
待机歼敌,dai'ji'jian'di
待机射击,dai'ji'she'ji
带甲十万,dai'jia'shi'wan
带菌,dai'jun
带菌昆虫,dai'jun'kun'chong
待命发射,dai'ming'fa'she
待命开机值班,dai'ming'kai'ji'zhi'ban
带式,dai'shi
带式桥,dai'shi'qiao
带式舟桥,dai'shi'zhou'qiao
袋形阵地,dai'xing'zhen'di
待用阵地,dai'yong'zhen'di
待运地区,dai'yun'di'qu
待运地域,dai'yun'di'yu
待战,dai'zhan
代字,dai'zi
担保人领回,dan'bao'ren'ling'hui
单表代替作业,dan'biao'dai'ti'zuo'ye
单兵,dan'bing
单兵负荷,dan'bing'fu'he
单兵负荷量,dan'bing'fu'he'liang
单兵火箭,dan'bing'huo'jian
单兵伪装器材,dan'bing'wei'zhuang'qi'cai
单兵武器,dan'bing'wu'qi
单兵装备,dan'bing'zhuang'bei
弹仓,dan'cang
弹测法,dan'ce'fa
弹长,dan'chang
单车,dan'che
弹带,dan'dai
弹道,dan'dao
弹道导弹,dan'dao'dao'dan
弹道低,dan'dao'di
弹道高,dan'dao'gao
弹道计算,dan'dao'ji'suan
弹道末端,dan'dao'mo'duan
弹道切线,dan'dao'qie'xian
弹道区,dan'dao'qu
弹道式导弹,dan'dao'shi'dao'dan
弹道学,dan'dao'xue
弹道要素,dan'dao'yao'su
弹道准备,dan'dao'zhun'bei
弹道最大高度,dan'dao'zui'da'gao'du
弹道最高点,dan'dao'zui'gao'dian
单动,dan'dong
单独使用,dan'du'shi'yong
弹耳,dan'er
单发战斗机,dan'fa'zhan'dou'ji
单发阻铁,dan'fa'zu'tie
单发阻铁簧,dan'fa'zu'tie'huang
单方战术演习,dan'fang'zhan'shu'yan'xi
单个核突击,dan'ge'he'tu'ji
单个教练,dan'ge'jiao'lian
单个目标,dan'ge'mu'biao
单个起爆电流,dan'ge'qi'bao'dian'liu
单勾枪,dan'gou'qiang
弹鼓,dan'gu
单管,dan'guan
氮化铅,dan'hua'qian
弹或,dan'huo
弹迹,dan'ji
单舰,dan'jian
单箭,dan'jian
单舰攻击,dan'jian'gong'ji
单舰训练,dan'jian'xun'lian
弹径,dan'jing
弹壳,dan'ke
弹坑,dan'keng
弹坑桥,dan'keng'qiao
弹链,dan'lian
弹链盒容量,dan'lian'he'rong'liang
单列,dan'lie
单列地雷,dan'lie'di'lei
单路通信,dan'lu'tong'xin
单码,dan'ma
弹幕射击,dan'mu'she'ji
单人,dan'ren
单人掩体,dan'ren'yan'ti
弹上仪器,dan'shang'yi'qi
单哨,dan'shao
但是刀刃,dan'shi'dao'ren
单手突击刀,dan'shou'tu'ji'dao
单手握持,dan'shou'wo'chi
但它主要依靠,dan'ta'zhu'yao'yi'kao
弹体,dan'ti
单艇,dan'ting
单艇攻击,dan'ting'gong'ji
弹头,dan'tou
弹头当量,dan'tou'dang'liang
弹头动能,dan'tou'dong'neng
弹头反射面积,dan'tou'fan'she'mian'ji
弹头活力,dan'tou'huo'li
弹头检测,dan'tou'jian'ce
弹头降落量,dan'tou'jiang'luo'liang
弹头威力,dan'tou'wei'li
弹头终点,dan'tou'zhong'dian
弹头重量,dan'tou'zhong'liang
弹丸,dan'wan
单位压力,dan'wei'ya'li
弹匣扣,dan'xia'kou
弹匣扣簧,dan'xia'kou'huang
弹匣容量,dan'xia'rong'liang
弹匣座,dan'xia'zuo
单线铁路,dan'xian'tie'lu
单向,dan'xiang
单向通信,dan'xiang'tong'xin
单向稳定器,dan'xiang'wen'ding'qi
单向运输,dan'xiang'yun'shu
单牙月,dan'ya'yue
弹药,dan'yao
弹药标记,dan'yao'biao'ji
弹药基数,dan'yao'ji'shu
弹药技术检查,dan'yao'ji'shu'jian'cha
弹药库,dan'yao'ku
弹药配套保管,dan'yao'pei'tao'bao'guan
弹药手,dan'yao'shou
弹药所,dan'yao'suo
弹药转运站,dan'yao'zhuan'yun'zhan
单元测量,dan'yuan'ce'liang
单扎,dan'zha
弹着点,dan'zhuo'dian
当面情况,dang'mian'qing'kuang
当面之敌,dang'mian'zhi'di
挡泥板,dang'ni'ban
当前任务,dang'qian'ren'wu
党日,dang'ri
当日任务,dang'ri'ren'wu
党委,dang'wei
党委扩大会议,dang'wei'kuo'da'hui'yi
党委制,dang'wei'zhi
当吾二十石,dang'wu'er'shi'shi
当吾二十钟,dang'wu'er'shi'zhong
党政领导干部,dang'zheng'ling'dao'gan'bu
党支部,dang'zhi'bu
当中一点,dang'zhong'yi'dian
导爆法传爆法,dao'bao'fa'chuan'bao'fa
导爆法点火法,dao'bao'fa'dian'huo'fa
导爆索,dao'bao'suo
导标,dao'biao
道床厚度,dao'chuang'hou'du
到达时限,dao'da'shi'xian
导弹部队,dao'dan'bu'dui
导弹残骸,dao'dan'can'hai
导弹测试,dao'dan'ce'shi
导弹垂直贮存,dao'dan'chui'zhi'zhu'cun
导弹弹头,dao'dan'dan'tou
导弹弹头落点,dao'dan'dan'tou'luo'dian
导弹地面设备,dao'dan'di'mian'she'bei
导弹发射,dao'dan'fa'she
导弹发射分队,dao'dan'fa'she'fen'dui
导弹发射工事,dao'dan'fa'she'gong'shi
导弹发射架,dao'dan'fa'she'jia
导弹发射阵地,dao'dan'fa'she'zhen'di
导弹发射装置,dao'dan'fa'she'zhuang'zhi
导弹发射准备,dao'dan'fa'she'zhun'bei
导弹飞行,dao'dan'fei'xing
导弹飞行程序,dao'dan'fei'xing'cheng'xu
导弹飞行情况,dao'dan'fei'xing'qing'kuang
导弹飞行时间,dao'dan'fei'xing'shi'jian
导弹飞行试验,dao'dan'fei'xing'shi'yan
导弹服役期,dao'dan'fu'yi'qi
导弹跟踪,dao'dan'gen'zong
导弹攻击,dao'dan'gong'ji
导弹攻击雷达,dao'dan'gong'ji'lei'da
导弹航区,dao'dan'hang'qu
导弹核武器,dao'dan'he'wu'qi
导弹火力计划,dao'dan'huo'li'ji'hua
导弹基地,dao'dan'ji'di
导弹技术保障,dao'dan'ji'shu'bao'zhang
导弹技术阵地,dao'dan'ji'shu'zhen'di
导弹接电,dao'dan'jie'dian
导弹接电准备,dao'dan'jie'dian'zhun'bei
导弹瞄准,dao'dan'miao'zhun
导弹起飞重量,dao'dan'qi'fei'zhong'liang
导弹潜艇部队,dao'dan'qian'ting'bu'dui
导弹射程,dao'dan'she'cheng
导弹射击精度,dao'dan'she'ji'jing'du
导弹射击诸元,dao'dan'she'ji'zhu'yuan
导弹射界,dao'dan'she'jie
导弹射向,dao'dan'she'xiang
导弹升空,dao'dan'sheng'kong
导弹试验靶场,dao'dan'shi'yan'ba'chang
导弹试验场,dao'dan'shi'yan'chang
导弹试验基地,dao'dan'shi'yan'ji'di
导弹数,dao'dan'shu
导弹数量,dao'dan'shu'liang
导弹艇,dao'dan'ting
导弹突入,dao'dan'tu'ru
导弹推进剂,dao'dan'tui'jin'ji
导弹武器系统,dao'dan'wu'qi'xi'tong
导弹系统,dao'dan'xi'tong
导弹型号,dao'dan'xing'hao
导弹性能,dao'dan'xing'neng
导弹训练场,dao'dan'xun'lian'chang
导弹遥测,dao'dan'yao'ce
导弹仪器设备,dao'dan'yi'qi'she'bei
导弹营,dao'dan'ying
导弹指挥仪,dao'dan'zhi'hui'yi
导弹综合系统,dao'dan'zong'he'xi'tong
导弹最大射程,dao'dan'zui'da'she'cheng
导弹最小射程,dao'dan'zui'xiao'she'cheng
导弹作战基地,dao'dan'zuo'zhan'ji'di
到发线,dao'fa'xian
道高一丈,dao'gao'yi'zhang
道格拉斯公司,dao'ge'la'si'gong'si
导航点,dao'hang'dian
导航方法,dao'hang'fang'fa
导航雷达,dao'hang'lei'da
导航设备,dao'hang'she'bei
导航声纳,dao'hang'sheng'na
导航台,dao'hang'tai
导航卫星,dao'hang'wei'xing
导航系统,dao'hang'xi'tong
导航制导,dao'hang'zhi'dao
导火索,dao'huo'suo
导火索点火法,dao'huo'suo'dian'huo'fa
刀匠协会,dao'jiang'xie'hui
岛礁,dao'jiao
岛礁区,dao'jiao'qu
刀具术语,dao'ju'shu'yu
到课率,dao'ke'lv
道路保障,dao'lu'bao'zhang
道路标志,dao'lu'biao'zhi
道路网,dao'lu'wang
道路维护,dao'lu'wei'hu
捣马突枪,dao'ma'tu'qiang
导气箍,dao'qi'gu
导气活塞,dao'qi'huo'sai
导气式,dao'qi'shi
导气筒,dao'qi'tong
导气装置,dao'qi'zhuang'zhi
道桥,dao'qiao
道桥连,dao'qiao'lian
道头,dao'tou
导演计划,dao'yan'ji'hua
导引飞行器,dao'yin'fei'xing'qi
导引头,dao'yin'tou
岛屿,dao'yu
岛屿防御,dao'yu'fang'yu
岛屿防御战斗,dao'yu'fang'yu'zhan'dou
岛屿进攻,dao'yu'jin'gong
岛屿进攻战役,dao'yu'jin'gong'zhan'yi
岛屿运输,dao'yu'yun'shu
导战,dao'zhan
道者,dao'zhe
德斑,de'ban
德国传统折刀,de'guo'chuan'tong'zhe'dao
德国人,de'guo'ren
德国索林根,de'guo'suo'lin'gen
德国制,de'guo'zhi
德军防线,de'jun'fang'xian
得克萨斯号,de'ke'sa'si'hao
德莱塞,de'lai'se
得手,de'shou
得算多也,de'suan'duo'ye
得算少也,de'suan'shao'ye
地听,de'ting
德意志号,de'yi'zhi'hao
灯船,deng'chuan
等高距,deng'gao'ju
等高线,deng'gao'xian
灯光通信,deng'guang'tong'xin
灯光信号,deng'guang'xin'hao
灯火管制,deng'huo'guan'zhi
灯火伪装,deng'huo'wei'zhuang
登记备查,deng'ji'bei'cha
登陆编队,deng'lu'bian'dui
登陆兵,deng'lu'bing
登陆场,deng'lu'chang
登陆冲击,deng'lu'chong'ji
登陆地段,deng'lu'di'duan
登陆地域,deng'lu'di'yu
登陆点,deng'lu'dian
登陆队形,deng'lu'dui'xing
登陆工具,deng'lu'gong'ju
登陆基地,deng'lu'ji'di
登陆舰,deng'lu'jian
登陆阶段,deng'lu'jie'duan
登陆时机,deng'lu'shi'ji
登陆输送队,deng'lu'shu'song'dui
登陆顺序,deng'lu'shun'xu
登陆艇,deng'lu'ting
登陆突击,deng'lu'tu'ji
登陆先遣支队,deng'lu'xian'qian'zhi'dui
登陆战斗,deng'lu'zhan'dou
登陆战役,deng'lu'zhan'yi
登陆作战,deng'lu'zuo'zhan
等齐斜面,deng'qi'xie'mian
登山家,deng'shan'jia
等深距,deng'shen'ju
等深线,deng'shen'xian
等速射,deng'su'she
邓小平,deng'xiao'ping
等鱼雷,deng'yu'lei
灯桩,deng'zhuang
地堡,di'bao
地爆连,di'bao'lian
地爆试验,di'bao'shi'yan
敌变我变,di'bian'wo'bian
地标,di'biao
地表性质,di'biao'xing'zhi
底部喷气,di'bu'pen'qi
底部喷气榴弹,di'bu'pen'qi'liu'dan
低档战斗机,di'dang'zhan'dou'ji
地道工事,di'dao'gong'shi
地道水源井,di'dao'shui'yuan'jing
地道网,di'dao'wang
地道战,di'dao'zhan
地地导弹,di'di'dao'dan
地地战术导弹,di'di'zhan'shu'dao'dan
地段调理员,di'duan'tiao'li'yuan
第二代理人,di'er'dai'li'ren
第二代伞兵伞,di'er'dai'san'bing'san
第二发,di'er'fa
第二方面军,di'er'fang'mian'jun
第二梯队,di'er'ti'dui
第二野战军,di'er'ye'zhan'jun
第二宇宙速度,di'er'yu'zhou'su'du
第二阵地,di'er'zhen'di
敌反坦克火器,di'fan'tan'ke'huo'qi
地方兵,di'fang'bing
地方部队,di'fang'bu'dui
地方红军,di'fang'hong'jun
地方军,di'fang'jun
地方时,di'fang'shi
地方武装,di'fang'wu'zhuang
地幅,di'fu
低轨道,di'gui'dao
帝国主义战争,di'guo'zhu'yi'zhan'zheng
敌后,di'hou
敌后观察射击,di'hou'guan'cha'she'ji
敌后游击战,di'hou'you'ji'zhan
敌后战场,di'hou'zhan'chang
敌后侦察,di'hou'zhen'cha
敌后作战,di'hou'zuo'zhan
敌化学袭击,di'hua'xue'xi'ji
底火,di'huo
敌火下,di'huo'xia
敌火下运动,di'huo'xia'yun'dong
地极,di'ji
敌机,di'ji
敌基地,di'ji'di
敌机距离,di'ji'ju'li
递减率,di'jian'lv
地角,di'jiao
低界,di'jie
抵近射击,di'jin'she'ji
敌进我进,di'jin'wo'jin
敌进我退,di'jin'wo'tui
地境,di'jing
低空,di'kong
低空爆炸,di'kong'bao'zha
地空导弹,di'kong'dao'dan
地空导弹兵,di'kong'dao'dan'bing
地空导弹部队,di'kong'dao'dan'bu'dui
低空飞行,di'kong'fei'xing
低空飞行侦察,di'kong'fei'xing'zhen'cha
低空盲区,di'kong'mang'qu
低空目标,di'kong'mu'biao
地空通信,di'kong'tong'xin
低空性能,di'kong'xing'neng
地雷爆破,di'lei'bao'po
地雷爆破器材,di'lei'bao'po'qi'cai
地雷场,di'lei'chang
地雷群,di'lei'qun
地雷战,di'lei'zhan
地雷战器材,di'lei'zhan'qi'cai
地理图,di'li'tu
地理坐标,di'li'zuo'biao
地貌特征点,di'mao'te'zheng'dian
地貌图,di'mao'tu
地面爆炸,di'mian'bao'zha
地面标识,di'mian'biao'zhi
地面导航设备,di'mian'dao'hang'she'bei
地面发射,di'mian'fa'she
地面风,di'mian'feng
地面核爆炸,di'mian'he'bao'zha
地面核试验,di'mian'he'shi'yan
地面火力摧毁,di'mian'huo'li'cui'hui
地面火炮,di'mian'huo'pao
地面机动发射,di'mian'ji'dong'fa'she
地面盲区,di'mian'mang'qu
地面目标,di'mian'mu'biao
地面能见度,di'mian'neng'jian'du
地面炮兵,di'mian'pao'bing
地面炮兵群,di'mian'pao'bing'qun
地面气象观测,di'mian'qi'xiang'guan'ce
地面染毒,di'mian'ran'du
地面热像仪,di'mian're'xiang'yi
地面天气图,di'mian'tian'qi'tu
地面询问机,di'mian'xun'wen'ji
地面遥测装置,di'mian'yao'ce'zhuang'zhi
地面站,di'mian'zhan
地面战斗阶段,di'mian'zhan'dou'jie'duan
地面照射率,di'mian'zhao'she'lv
地面侦察,di'mian'zhen'cha
地面指挥引导,di'mian'zhi'hui'yin'dao
地面作战,di'mian'zuo'zhan
地炮,di'pao
敌炮,di'pao
地炮群,di'pao'qun
敌炮射程,di'pao'she'cheng
地炮阵地电话,di'pao'zhen'di'dian'hua
地炮指挥机,di'pao'zhi'hui'ji
敌疲我打,di'pi'wo'da
敌前登陆,di'qian'deng'lu
敌情报告,di'qing'bao'gao
敌情图,di'qing'tu
敌情研究,di'qing'yan'jiu
敌情侦察,di'qing'zhen'cha
敌情侦察图,di'qing'zhen'cha'tu
地球磁极,di'qiu'ci'ji
地球同步卫星,di'qiu'tong'bu'wei'xing
地球物理战,di'qiu'wu'li'zhan
地球引力,di'qiu'yin'li
地球资源卫星,di'qiu'zi'yuan'wei'xing
敌区,di'qu
第三代核武器,di'san'dai'he'wu'qi
第三代理人,di'san'dai'li'ren
第三发,di'san'fa
第三梯队,di'san'ti'dui
第三野战军,di'san'ye'zhan'jun
第三宇宙速度,di'san'yu'zhou'su'du
第三阵地,di'san'zhen'di
低伸弹道,di'shen'dan'dao
地生度,di'sheng'du
低水桥,di'shui'qiao
第四方面军,di'si'fang'mian'jun
第四野战军,di'si'ye'zhan'jun
地速,di'su
地铁出入口,di'tie'chu'ru'kou
地铁换乘站,di'tie'huan'cheng'zhan
地铁加强层,di'tie'jia'qiang'ceng
地铁联络线,di'tie'lian'luo'xian
地铁路网,di'tie'lu'wang
地铁区间,di'tie'qu'jian
地铁三防设施,di'tie'san'fang'she'shi
地铁水源井,di'tie'shui'yuan'jing
地铁通风道,di'tie'tong'feng'dao
地铁卫技控制,di'tie'wei'ji'kong'zhi
地铁自卫工事,di'tie'zi'wei'gong'shi
地图比例尺,di'tu'bi'li'chi
地图编印,di'tu'bian'yin
地图编制,di'tu'bian'zhi
地图标定,di'tu'biao'ding
地图储备,di'tu'chu'bei
地图更新,di'tu'geng'xin
地图供应,di'tu'gong'ying
地图投影,di'tu'tou'ying
地图图式,di'tu'tu'shi
地图制印,di'tu'zhi'yin
敌退我追,di'tui'wo'zhui
敌我情况图,di'wo'qing'kuang'tu
敌我识别雷达,di'wo'shi'bie'lei'da
敌我识别器,di'wo'shi'bie'qi
敌我识别系统,di'wo'shi'bie'xi'tong
敌我双方,di'wo'shuang'fang
敌我态势,di'wo'tai'shi
地物,di'wu
地下管道,di'xia'guan'dao
地下河,di'xia'he
地下核爆炸,di'xia'he'bao'zha
地下核试验,di'xia'he'shi'yan
地下化,di'xia'hua
地下化建设,di'xia'hua'jian'she
地下机动发射,di'xia'ji'dong'fa'she
地下建筑物,di'xia'jian'zhu'wu
地下设施,di'xia'she'shi
地线,di'xian
地形测绘雷达,di'xing'ce'hui'lei'da
地形测量,di'xing'ce'liang
地形方位,di'xing'fang'wei
地形控制点,di'xing'kong'zhi'dian
地形略图,di'xing'lue'tu
