班格尔马辛席,ban'ge'er'ma'xin'xi
走趱,zou'zan
阻埞,zu'di
阻滞,zu'zhi
卒之,zu'zhi
最多,zui'duo
最多唔系,zui'duo'wu'xi
醉酒佬,zui'jiu'lao
樽厔尽地,zun'shi'jin'di
做吖,zuo'a
做把戏,zuo'ba'xi
左便,zuo'bian
作病,zuo'bing
做丑人,zuo'chou'ren
做低,zuo'di
坐低,zuo'di
坐定粒六,zuo'ding'li'liu
坐梗,zuo'geng
做瓜,zuo'gua
做惯乞儿懒做官,zuo'guan'qi'er'lan'zuo'guan
坐花厅,zuo'hua'ting
座火,zuo'huo
做鸡,zuo'ji
做家庭工,zuo'jia'ting'gong
作贱,zuo'jian
坐监,zuo'jian
左近,zuo'jin
作渴,zuo'ke
左口鱼,zuo'kou'yu
做啦,zuo'la
捽老泥,zuo'lao'ni
做祃,zuo'ma
做禡,zuo'ma
做乜,zuo'mie
做乜嘢,zuo'mie'ye
做磨心,zuo'mo'xin
做女佣打烂沙盆璺到豚,zuo'nv'yong'da'lan'sha'pen'wen'dao'tun
作呕,zuo'ou
做七,zuo'qi
昨日,zuo'ri
做世界,zuo'shi'jie
左手便,zuo'shou'bian
做戏,zuo'xi
做嘢,zuo'ye
坐夜,zuo'ye
坐硬,zuo'ying
坐月,zuo'yue
坐月婆,zuo'yue'po
做猪,zuo'zhu
作状,zuo'zhuang
做庄,zuo'zhuang
坐庄,zuo'zhuang
做咗,zuo'zuo
坐坐低,zuo'zuo'di
做咗手脚,zuo'zuo'shou'jiao
