愛心信心決心,ai'xin'xin'xin'jue'xin
軟體品質保証部,ruan'ti'pin'zhi'bao'zheng'bu
軟體企劃課,ruan'ti'qi'hua'ke
軟體三部,ruan'ti'san'bu
軟體設計,ruan'ti'she'ji
軟體設計部,ruan'ti'she'ji'bu
軟體設計處,ruan'ti'she'ji'chu
軟體設計二部,ruan'ti'she'ji'er'bu
軟體設計二處,ruan'ti'she'ji'er'chu
軟體設計六部,ruan'ti'she'ji'liu'bu
軟體設計三部,ruan'ti'she'ji'san'bu
軟體設計四部,ruan'ti'she'ji'si'bu
軟體設計五部,ruan'ti'she'ji'wu'bu
軟體設計驗證課,ruan'ti'she'ji'yan'zheng'ke
軟體設計一部,ruan'ti'she'ji'yi'bu
軟體設計一處,ruan'ti'she'ji'yi'chu
軟體系統工程部,ruan'ti'xi'tong'gong'cheng'bu
軟體研發處,ruan'ti'yan'bo'chu
軟體研發二部,ruan'ti'yan'bo'er'bu
軟體研發六部,ruan'ti'yan'bo'liu'bu
軟體研發七部,ruan'ti'yan'bo'qi'bu
軟體研發三部,ruan'ti'yan'bo'san'bu
軟體研發四部,ruan'ti'yan'bo'si'bu
軟體研發五部,ruan'ti'yan'bo'wu'bu
軟體研發一部,ruan'ti'yan'bo'yi'bu
軟體驗証,ruan'ti'yan'zheng
軟體驗證課,ruan'ti'yan'zheng'ke
軟體一部,ruan'ti'yi'bu
軟體制做組,ruan'ti'zhi'zuo'qu
軟體專案部,ruan'ti'zhuan'an'bu
軟體專案管理部,ruan'ti'zhuan'an'guan'li'bu
瑞典行銷開發,rui'dian'xing'xiao'kai'bo
瑞典行銷開發課,rui'dian'xing'xiao'kai'bo'ke
三胞胎假,san'bao'tai'jia
三局,san'ju
三期餐廳,san'qi'can'ting
三期倉庫管理組,san'qi'cang'ku'guan'li'qu
三期檢測課,san'qi'jian'ce'ke
三期交管組,san'qi'jiao'guan'qu
三期能源供應組,san'qi'neng'yuan'gong'ying'qu
三期組,san'qi'qu
三期生管組,san'qi'sheng'guan'qu
三期宿管組,san'qi'su'guan'qu
三期土建組,san'qi'tu'jian'qu
三期物控組,san'qi'wu'kong'qu
三務關務稅務法務,san'wu'guan'wu'shui'wu'fa'wu
三心,san'xin
三组,san'zu
喪假,sang'jia
森科五金,sen'ke'wu'jin
上班區域,shang'ban'ou'yu
上挂,shang'gua
上挂檢包線,shang'gua'jian'bao'xian
上挂全檢線,shang'gua'quan'jian'xian
上挂線,shang'gua'xian
上掛線,shang'gua'xian
商檢業務組,shang'jian'ye'wu'qu
商品部,shang'pin'bu
上下挂線,shang'xia'gua'xian
上下掛線,shang'xia'gua'xian
上下料線,shang'xia'liao'xian
燒結組,shao'ji'qu
燒錄條碼列印線,shao'lu'tiao'ma'lie'yin'xian
設備,she'bei
設備保養班,she'bei'bao'yang'ban
設備保養組,she'bei'bao'yang'qu
设备保養組,she'bei'bao'yang'qu
設備保養線,she'bei'bao'yang'xian
設備備品組,she'bei'bei'pin'qu
設備部,she'bei'bu
設備採購課,she'bei'cai'gou'ke
設備測試組,she'bei'ce'shi'qu
設備電工組,she'bei'dian'gong'qu
設備調試及維護,she'bei'diao'shi'ji'wei'hu
設備廢水處理組,she'bei'fa'shui'chu'li'qu
設備改善組,she'bei'gai'shan'qu
設備工程服務組,she'bei'gong'cheng'fu'wu'qu
設備工程改善組,she'bei'gong'cheng'gai'shan'qu
設備工程技術組,she'bei'gong'cheng'ji'shu'qu
設備工程課,she'bei'gong'cheng'ke
設備工程組,she'bei'gong'cheng'qu
設備管理,she'bei'guan'li
設備管理部,she'bei'guan'li'bu
設備管理改善班,she'bei'guan'li'gai'shan'ban
設備管理課,she'bei'guan'li'ke
設備管理組,she'bei'guan'li'qu
設備管理維護,she'bei'guan'li'wei'hu
設備後勤支援組,she'bei'hou'qin'zhi'yuan'qu
設備技術組,she'bei'ji'shu'qu
設備機械組,she'bei'ji'xie'qu
設備開發,she'bei'kai'bo
設備開發部,she'bei'kai'bo'bu
設備開發採購組,she'bei'kai'bo'cai'gou'qu
設備開發處,she'bei'kai'bo'chu
設備開發服務課,she'bei'kai'bo'fu'wu'ke
設備開發管理,she'bei'kai'bo'guan'li
設備開發經管部,she'bei'kai'bo'jing'guan'bu
設備開發課,she'bei'kai'bo'ke
設備開發模治具外包組,she'bei'kai'bo'mo'zhi'ju'wai'bao'qu
設備開發組,she'bei'kai'bo'qu
設備課,she'bei'ke
設備組,she'bei'qu
設備組立組,she'bei'qu'li'qu
設備生技課,she'bei'sheng'ji'ke
設備生技課治具改善組,she'bei'sheng'ji'ke'zhi'ju'gai'shan'qu
設備生技組,she'bei'sheng'ji'qu
設備維護,she'bei'wei'hu
設備維護班,she'bei'wei'hu'ban
設備維護備品室,she'bei'wei'hu'bei'pin'shi
設備維護部,she'bei'wei'hu'bu
設備維護及管理,she'bei'wei'hu'ji'guan'li
設備維護課,she'bei'wei'hu'ke
設備維護組,she'bei'wei'hu'qu
設備維修,she'bei'wei'xiu
設備維修保養組,she'bei'wei'xiu'bao'yang'qu
設備維修服務組,she'bei'wei'xiu'fu'wu'qu
設備維修工程組,she'bei'wei'xiu'gong'cheng'qu
設備維修課,she'bei'wei'xiu'ke
設備維修組,she'bei'wei'xiu'qu
設備維修線,she'bei'wei'xiu'xian
設備研發課,she'bei'yan'bo'ke
設備異常分析及改善組,she'bei'yi'chang'fen'xi'ji'gai'shan'qu
設備儀器管理組,she'bei'yi'qi'guan'li'qu
設備儀校組,she'bei'yi'xiao'qu
設備與移印開發課,she'bei'yu'yi'yin'kai'bo'ke
設備運行組,she'bei'yun'xing'qu
設備制程組,she'bei'zhi'cheng'qu
設備治具工程組,she'bei'zhi'ju'gong'cheng'qu
設備治具開發課,she'bei'zhi'ju'kai'bo'ke
設備製造,she'bei'zhi'zao
設備制造,she'bei'zhi'zao
設備資材採購部,she'bei'zi'cai'cai'gou'bu
射出成型課,she'chu'cheng'xing'ke
社會與環境責任,she'hui'yu'huan'jing'ze'ren
設計,she'ji
設計二部,she'ji'er'bu
設計課,she'ji'ke
設計品保部,she'ji'pin'bao'bu
設計品保課,she'ji'pin'bao'ke
設計品質保証處,she'ji'pin'zhi'bao'zheng'chu
設計品質驗證,she'ji'pin'zhi'yan'zheng
設計組,she'ji'qu
設計生管組,she'ji'sheng'guan'qu
設計研發工程,she'ji'yan'bo'gong'cheng
設計驗證部,she'ji'yan'zheng'bu
設計驗證課,she'ji'yan'zheng'ke
設計一部,she'ji'yi'bu
設計營運課,she'ji'ying'yun'ke
設計支援部,she'ji'zhi'yuan'bu
射頻測試組,she'pin'ce'shi'qu
射頻電路設計部,she'pin'dian'lu'she'ji'bu
射頻分析組,she'pin'fen'xi'qu
設施管理組,she'shi'guan'li'qu
申購組,shen'gou'qu
申戒,shen'jie
審批規劃組,shen'pi'gui'hua'qu
深圳測試開發部,shen'zhen'ce'shi'kai'bo'bu
深圳產品工程部,shen'zhen'chan'pin'gong'cheng'bu
深圳廠務管理部,shen'zhen'chang'wu'guan'li'bu
深圳成型生產部,shen'zhen'cheng'xing'sheng'chan'bu
深圳供應鏈管理部,shen'zhen'gong'ying'lian'guan'li'bu
深圳經營管理部,shen'zhen'jing'ying'guan'li'bu
深圳烤漆生產部,shen'zhen'kao'qi'sheng'chan'bu
深圳品質保證部,shen'zhen'pin'zhi'bao'zheng'bu
深圳組裝生產部,shen'zhen'qu'zhuang'sheng'chan'bu
深圳人事行政部,shen'zhen'ren'shi'xing'zheng'bu
深圳業務部,shen'zhen'ye'wu'bu
深圳專案管理部,shen'zhen'zhuan'an'guan'li'bu
深圳專案管理處,shen'zhen'zhuan'an'guan'li'chu
深圳資訊管理部,shen'zhen'zi'xun'guan'li'bu
生產,sheng'chan
生産,sheng'chan
生產安全組,sheng'chan'an'quan'qu
生產包材班,sheng'chan'bao'cai'ban
生產備品班,sheng'chan'bei'pin'ban
生產單位,sheng'chan'chan'wei
生產成本組,sheng'chan'cheng'ben'qu
生產分條課,sheng'chan'fen'tiao'ke
生產工程管理服務,sheng'chan'gong'cheng'guan'li'fu'wu
生產工程管理服務課,sheng'chan'gong'cheng'guan'li'fu'wu'ke
生產工程管理服務組,sheng'chan'gong'cheng'guan'li'fu'wu'qu
生產管理課,sheng'chan'guan'li'ke
生產管理流程組,sheng'chan'guan'li'liu'cheng'qu
生產管理組,sheng'chan'guan'li'qu
生產管制課,sheng'chan'guan'zhi'ke
生產管制組,sheng'chan'guan'zhi'qu
生產計劃,sheng'chan'ji'hua
生產計劃課,sheng'chan'ji'hua'ke
生產計劃流程組,sheng'chan'ji'hua'liu'cheng'qu
生產計劃組,sheng'chan'ji'hua'qu
生產技朮部,sheng'chan'ji'shu'bu
生產技術處,sheng'chan'ji'shu'chu
生產技術課,sheng'chan'ji'shu'ke
生產技朮課,sheng'chan'ji'shu'ke
生產技術組,sheng'chan'ji'shu'qu
生產技術支援組,sheng'chan'ji'shu'zhi'yuan'qu
生產課,sheng'chan'ke
生產力管理中心,sheng'chan'li'guan'li'zhong'xin
生產力數據分析與稽核專案,sheng'chan'li'shu'ju'fen'xi'yu'ji'he'zhuan'an
生產力提昇開發中心,sheng'chan'li'ti'sheng'kai'bo'zhong'xin
生產企劃,sheng'chan'qi'hua
生產企划部,sheng'chan'qi'hua'bu
生產企劃部,sheng'chan'qi'hua'bu
生產企劃課,sheng'chan'qi'hua'ke
生產企劃組,sheng'chan'qi'hua'qu
生產組,sheng'chan'qu
生產設備操作,sheng'chan'she'bei'cao'zuo
生產設計部,sheng'chan'she'ji'bu
生產生技組,sheng'chan'sheng'ji'qu
生產十,sheng'chan'shi
生產試模組,sheng'chan'shi'mo'qu
生產十組,sheng'chan'shi'qu
生產十線,sheng'chan'shi'xian
生產維護組,sheng'chan'wei'hu'qu
生產線,sheng'chan'xian
生產支援,sheng'chan'zhi'yuan
生產支援課,sheng'chan'zhi'yuan'ke
生產支援組,sheng'chan'zhi'yuan'qu
生產支援行政,sheng'chan'zhi'yuan'xing'zheng
生產支援一组,sheng'chan'zhi'yuan'yi'zu
生產制造,sheng'chan'zhi'zao
生產制造二處,sheng'chan'zhi'zao'er'chu
生產制造管理流程課,sheng'chan'zhi'zao'guan'li'liu'cheng'ke
生產製造課,sheng'chan'zhi'zao'ke
生產制造一處,sheng'chan'zhi'zao'yi'chu
生產自動化課,sheng'chan'zi'dong'hua'ke
生產資訊課,sheng'chan'zi'xun'ke
生產資源課,sheng'chan'zi'yuan'ke
生管,sheng'guan
生管備品組,sheng'guan'bei'pin'qu
生管管制組,sheng'guan'guan'zhi'qu
生管課,sheng'guan'ke
生管流程管理部,sheng'guan'liu'cheng'guan'li'bu
生管企劃,sheng'guan'qi'hua
生管企劃部,sheng'guan'qi'hua'bu
生管組,sheng'guan'qu
生管物控組,sheng'guan'wu'kong'qu
生管物料組,sheng'guan'wu'liao'qu
生管系統,sheng'guan'xi'tong
生管系統規劃課,sheng'guan'xi'tong'gui'hua'ke
生管系統專案管理組,sheng'guan'xi'tong'zhuan'an'guan'li'qu
生管與成本分析組,sheng'guan'yu'cheng'ben'fen'xi'qu
生管帳務班,sheng'guan'zhang'wu'ban
生管帳務無塵室組,sheng'guan'zhang'wu'mo'chen'shi'qu
生管賬務組,sheng'guan'zhang'wu'qu
生管帳務組,sheng'guan'zhang'wu'qu
生技,sheng'ji
生技班,sheng'ji'ban
生技部,sheng'ji'bu
生技測試課,sheng'ji'ce'shi'ke
生技打標組,sheng'ji'da'biao'qu
生技服務,sheng'ji'fu'wu
生技服務組,sheng'ji'fu'wu'qu
生技改善組,sheng'ji'gai'shan'qu
生技工程課,sheng'ji'gong'cheng'ke
生技焊接,sheng'ji'han'jie
生技課,sheng'ji'ke
生技組,sheng'ji'qu
生技設備部,sheng'ji'she'bei'bu
生技設計組,sheng'ji'she'ji'qu
生技維修組,sheng'ji'wei'xiu'qu
生技線,sheng'ji'xian
生技支援部,sheng'ji'zhi'yuan'bu
生技專案開發管理,sheng'ji'zhuan'an'kai'bo'guan'li
生交管組,sheng'jiao'guan'qu
生交課,sheng'jiao'ke
聲學課,sheng'xue'ke
師八,shi'ba
失敗的人找理由,shi'bai'de'ren'zhao'li'you
試產部,shi'chan'bu
試產輔料不良品倉,shi'chan'fu'liao'bu'liang'pin'cang
試產課,shi'chan'ke
試產組,shi'chan'qu
市場,shi'chang
市場部,shi'chang'bu
市場管理部,shi'chang'guan'li'bu
市場開發管理組,shi'chang'kai'bo'guan'li'qu
市場課,shi'chang'ke
市場銷售,shi'chang'xiao'shou
市場行銷,shi'chang'xing'xiao
市場行銷開發,shi'chang'xing'xiao'kai'bo
視窗班,shi'chuang'ban
視窗產品加工處理,shi'chuang'chan'pin'jia'gong'chu'li
視窗加工處理,shi'chuang'jia'gong'chu'li
視窗框打標線,shi'chuang'kuang'da'biao'xian
視窗品管課,shi'chuang'pin'guan'ke
視窗品質驗證組,shi'chuang'pin'zhi'yan'zheng'qu
視窗生產部,shi'chuang'sheng'chan'bu
視窗生產廠,shi'chuang'sheng'chan'chang
視窗製造廠,shi'chuang'zhi'zao'chang
試鍍線,shi'du'xian
師二,shi'er
世幹班,shi'gan'ban
施工管理,shi'gong'guan'li
施工管理組,shi'gong'guan'li'qu
施工監理組,shi'gong'jian'li'qu
事故處理課,shi'gu'chu'li'ke
事假,shi'jia
視覺傳達課,shi'jiao'chuan'da'ke
師九,shi'jiu
十課,shi'ke
蝕刻廠,shi'ke'chang
蝕刻電鍍品管組,shi'ke'dian'du'pin'guan'qu
蝕刻工程,shi'ke'gong'cheng
蝕刻開發部,shi'ke'kai'bo'bu
蝕刻裲墨,shi'ke'liang'mo
蝕刻品管組,shi'ke'pin'guan'qu
蝕刻組,shi'ke'qu
蝕刻全檢組,shi'ke'quan'jian'qu
蝕刻生產,shi'ke'sheng'chan
蝕刻生產課,shi'ke'sheng'chan'ke
蝕刻生管組,shi'ke'sheng'guan'qu
蝕刻生技課,shi'ke'sheng'ji'ke
蝕刻生技組,shi'ke'sheng'ji'qu
蝕刻維修組,shi'ke'wei'xiu'qu
蝕刻線,shi'ke'xian
蝕刻制工課,shi'ke'zhi'gong'ke
師六,shi'liu
試模,shi'mo
試模課,shi'mo'ke
試模組,shi'mo'qu
室內裝飾組,shi'na'zhuang'shi'qu
師七,shi'qi
十組,shi'qu
師三,shi'san
師十,shi'shi
師十二,shi'shi'er
師十六,shi'shi'liu
師十七,shi'shi'qi
師十三,shi'shi'san
師十四,shi'shi'si
師十五,shi'shi'wu
師十一,shi'shi'yi
師四,shi'si
師五,shi'wu
事務組,shi'wu'qu
實習工廠,shi'xi'gong'chang
實習生,shi'xi'sheng
十線,shi'xian
實驗維修組,shi'yan'wei'xiu'qu
實驗線,shi'yan'xian
事業處,shi'ye'chu
事業處經管系統規劃,shi'ye'chu'jing'guan'xi'tong'gui'hua
事業群,shi'ye'qun
師一,shi'yi
市政組,shi'zheng'qu
試制組,shi'zhi'qu
試作組,shi'zuo'qu
試作線,shi'zuo'xian
收發管理中心,shou'bo'guan'li'zhong'xin
收發中心,shou'bo'zhong'xin
收發中心管理課,shou'bo'zhong'xin'guan'li'ke
手動電鍍,shou'dong'dian'du
售後服務課,shou'hou'fu'wu'ke
售后服務組,shou'hou'fu'wu'qu
收貨班,shou'huo'ban
收貨管控組,shou'huo'guan'kong'qu
收貨組,shou'huo'qu
收貨中心,shou'huo'zhong'xin
收貨中心管理組,shou'huo'zhong'xin'guan'li'qu
收貨中心組,shou'huo'zhong'xin'qu
手機機殼拋光技工,shou'ji'ji'ke'pao'guang'ji'gong
手機機殼拋光作業員,shou'ji'ji'ke'pao'guang'zuo'ye'yuan
手機設備維護班,shou'ji'she'bei'wei'hu'ban
手機設計製造課,shou'ji'she'ji'zhi'zao'ke
手機維修部,shou'ji'wei'xiu'bu
手机维修二课六组,shou'ji'wei'xiu'er'ke'liu'zu
手機維修技工,shou'ji'wei'xiu'ji'gong
手機維修作業員,shou'ji'wei'xiu'zuo'ye'yuan
手機新產品塑模工程評估組,shou'ji'xin'chan'pin'su'mo'gong'cheng'ping'gu'qu
手機新產品塑模設計評估工程課,shou'ji'xin'chan'pin'su'mo'she'ji'ping'gu'gong'cheng'ke
收料組,shou'liao'qu
收料線,shou'liao'xian
手拋,shou'pao
手拋組,shou'pao'qu
手拋全檢組,shou'pao'quan'jian'qu
數據庫開發管理,shu'ju'ku'kai'bo'guan'li
數位像機及周邊業務部,shu'wei'xiang'ji'ji'zhou'bian'ye'wu'bu
庶務,shu'wu
庶務采購課,shu'wu'cai'gou'ke
庶務採購課,shu'wu'cai'gou'ke
庶務采購組,shu'wu'cai'gou'qu
庶務採購組,shu'wu'cai'gou'qu
庶物管理課,shu'wu'guan'li'ke
庶務管理組,shu'wu'guan'li'qu
庶務課,shu'wu'ke
庶務組,shu'wu'qu
選才育才用才留才,shua'cai'yu'cai'yong'cai'liu'cai
選育用留,shua'yu'yong'liu
雙胞胎假,shuang'bao'tai'jia
稅務課,shui'wu'ke
稅務組,shui'wu'qu
水資源管理組,shui'zi'yuan'guan'li'qu
碩士,shuo'shi
四胞胎假,si'bao'tai'jia
伺服器,si'fu'qi
絲移印生產線,si'yi'yin'sheng'chan'xian
絲印,si'yin
絲印工程,si'yin'gong'cheng
絲印加工,si'yin'jia'gong
絲印開發組,si'yin'kai'bo'qu
絲印組,si'yin'qu
四组,si'zu
速度准度精度,su'du'zhun'du'jing'du
宿服課,su'fu'ke
宿管課,su'guan'ke
宿管組,su'guan'qu
塑件成型廠,su'jian'cheng'xing'chang
塑件服務中心,su'jian'fu'wu'zhong'xin
塑件開發,su'jian'kai'bo
塑件開發工程部,su'jian'kai'bo'gong'cheng'bu
塑件組,su'jian'qu
塑件制程開發組,su'jian'zhi'cheng'kai'bo'qu
塑膠成型技術工程,su'jiao'cheng'xing'ji'shu'gong'cheng
塑膠成型加工,su'jiao'cheng'xing'jia'gong
塑膠成型課,su'jiao'cheng'xing'ke
塑膠件機能組,su'jiao'jian'ji'neng'qu
塑膠來料管理課,su'jiao'lai'liao'guan'li'ke
塑膠粒倉,su'jiao'li'cang
塑膠治具開發組,su'jiao'zhi'ju'kai'bo'qu
塑膠製品技術開發部,su'jiao'zhi'pin'ji'shu'kai'bo'bu
塑料采購組,su'liao'cai'gou'qu
塑模評估工程組,su'mo'ping'gu'gong'cheng'qu
塑模設計工程評估課,su'mo'she'ji'gong'cheng'ping'gu'ke
塑性成型專案組,su'xing'cheng'xing'zhuan'an'qu
塑應中心,su'ying'zhong'xin
塑應中心課,su'ying'zhong'xin'ke
塑應中心組,su'ying'zhong'xin'qu
損益管理課,sun'yi'guan'li'ke
損益管理流程組,sun'yi'guan'li'liu'cheng'qu
損益及固定資產管理課,sun'yi'ji'gu'ding'zi'chan'guan'li'ke
損益組,sun'yi'qu
損益與績效管理,sun'yi'yu'ji'xiao'guan'li
損益與績效管理組,sun'yi'yu'ji'xiao'guan'li'qu
台北技研處,tai'bei'ji'yan'chu
臺干,tai'gan
太和組,tai'he'qu
台南廠,tai'nan'chang
台湾居民往来大陆通行证,tai'wan'ju'min'wang'lai'da'lu'tong'xing'zheng
太原,tai'yuan
太原採購部,tai'yuan'cai'gou'bu
太原財務部,tai'yuan'cai'wu'bu
太原廠區,tai'yuan'chang'ou
太原廠區管理中心,tai'yuan'chang'ou'guan'li'zhong'xin
太原廠務部,tai'yuan'chang'wu'bu
太原工標部,tai'yuan'gong'biao'bu
太原工標課,tai'yuan'gong'biao'ke
太原會計部,tai'yuan'hui'ji'bu
太原建廠專案,tai'yuan'jian'chang'zhuan'an
太原經管,tai'yuan'jing'guan
太原模具零件加工制造處,tai'yuan'mu'ju'ling'jian'jia'gong'zhi'zao'chu
太原人資部,tai'yuan'ren'zi'bu
太原設備部,tai'yuan'she'bei'bu
太原物流部,tai'yuan'wu'liu'bu
太原周邊經管部,tai'yuan'zhou'bian'jing'guan'bu
太原專案經管,tai'yuan'zhuan'an'jing'guan
太原資訊部,tai'yuan'zi'xun'bu
探親假,tan'qin'jia
特加,te'jia
特加技術支援組,te'jia'ji'shu'zhi'yuan'qu
特加課,te'jia'ke
特加品管課,te'jia'pin'guan'ke
特加生管組,te'jia'sheng'guan'qu
特區外城鎮,te'ou'wai'cheng'zhen
特區外農村,te'ou'wai'nong'cun
特殊材料線,te'shu'cai'liao'xian
特殊加工廠,te'shu'jia'gong'chang
特殊制程加工,te'shu'zhi'cheng'jia'gong
特殊制程加工課,te'shu'zhi'cheng'jia'gong'ke
特休假,te'xiu'jia
特助,te'zhu
提案改善教育訓練組,ti'an'gai'shan'jiao'yu'xun'lian'qu
提案改善組,ti'an'gai'shan'qu
體系是什麽,ti'xi'shi'shen'me
天車主線,tian'che'zhu'xian
填充,tian'chong
填充開發生技組,tian'chong'kai'bo'sheng'ji'qu
填充生產,tian'chong'sheng'chan
填充生產課,tian'chong'sheng'chan'ke
添加劑材料,tian'jia'ji'cai'liao
天津,tian'jin
天津采購,tian'jin'cai'gou
天津測試開發部,tian'jin'ce'shi'kai'bo'bu
天津產品工程部,tian'jin'chan'pin'gong'cheng'bu
天津廠區,tian'jin'chang'ou
天津廠務管理部,tian'jin'chang'wu'guan'li'bu
天津成型生產部,tian'jin'cheng'xing'sheng'chan'bu
天津會計部,tian'jin'hui'ji'bu
天津經營管理部,tian'jin'jing'ying'guan'li'bu
天津烤漆生產部,tian'jin'kao'qi'sheng'chan'bu
天津組裝生產部,tian'jin'qu'zhuang'sheng'chan'bu
天津人事行政部,tian'jin'ren'shi'xing'zheng'bu
天津業務部,tian'jin'ye'wu'bu
天津中央關務部,tian'jin'zhong'yang'guan'wu'bu
天津專案管理部,tian'jin'zhuan'an'guan'li'bu
天津專案管理處,tian'jin'zhuan'an'guan'li'chu
天津資訊管理部,tian'jin'zi'xun'guan'li'bu
天線量測組,tian'xian'liang'ce'qu
天線設計部,tian'xian'she'ji'bu
天線設計課,tian'xian'she'ji'ke
挑選及不良品倉組,tiao'shua'ji'bu'liang'pin'cang'qu
挑選組,tiao'shua'qu
停薪留職,ting'xin'liu'zhi
同步製造,tong'bu'zhi'zao
通關組,tong'guan'qu
統合組,tong'he'qu
統合維修組,tong'he'wei'xiu'qu
鉵刻生產課,tong'ke'sheng'chan'ke
通路,tong'lu
通信工程組,tong'xin'gong'cheng'qu
通信網絡部,tong'xin'wang'lao'bu
通訊課,tong'xun'ke
通訊研發,tong'xun'yan'bo
投資管理,tou'zi'guan'li
投資管理部,tou'zi'guan'li'bu
投資管理處,tou'zi'guan'li'chu
投資經濟效益分析組,tou'zi'jing'ji'xiao'yi'fen'xi'qu
投資者關系及發言人部,tou'zi'zhe'guan'xi'ji'bo'yan'ren'bu
塗層開發專案組,tu'ceng'kai'bo'zhuan'an'qu
土地組,tu'di'qu
土建,tu'jian
土建工程,tu'jian'gong'cheng
土建工程組,tu'jian'gong'cheng'qu
土建規劃組,tu'jian'gui'hua'qu
土建組,tu'jian'qu
土建預結算管理組,tu'jian'yu'ji'suan'guan'li'qu
塗料採購組,tu'liao'cai'gou'qu
涂料采購組,tu'liao'cai'gou'qu
涂料技朮開發,tu'liao'ji'shu'kai'bo
土木工程規劃組,tu'mu'gong'cheng'gui'hua'qu
土木規劃發包課,tu'mu'gui'hua'bo'bao'ke
土木規劃管制课,tu'mu'gui'hua'guan'zhi'ke
土木規劃規劃課,tu'mu'gui'hua'gui'hua'ke
土木規划組,tu'mu'gui'hua'qu
土木規劃預算課,tu'mu'gui'hua'yu'suan'ke
土木規劃資材課,tu'mu'gui'hua'zi'cai'ke
土木施工管理課,tu'mu'shi'gong'guan'li'ke
涂裝,tu'zhuang
塗裝部,tu'zhuang'bu
涂裝操作,tu'zhuang'cao'zuo
塗裝廠,tu'zhuang'chang
涂裝廠,tu'zhuang'chang
涂裝技術工程,tu'zhuang'ji'shu'gong'cheng
涂裝加工課,tu'zhuang'jia'gong'ke
涂裝課,tu'zhuang'ke
涂裝組,tu'zhuang'qu
退鍍生產組,tui'du'sheng'chan'qu
退鍍重工組,tui'du'zhong'gong'qu
退料認可課,tui'liao'ren'ke'ke
退宿,tui'su
退訓,tui'xun
脫脂燒結組,tuo'zhi'shao'ji'qu
外包包材線,wai'bao'bao'cai'xian
外包采購課,wai'bao'cai'gou'ke
外包采購組,wai'bao'cai'gou'qu
外包倉,wai'bao'cang
外包倉储二组,wai'bao'cang'chu'er'zu
外包倉儲管理課,wai'bao'cang'chu'guan'li'ke
外包倉儲組,wai'bao'cang'chu'qu
外包倉储一组,wai'bao'cang'chu'yi'zu
外包廠服務組,wai'bao'chang'fu'wu'qu
外包管理部,wai'bao'guan'li'bu
外包管理課,wai'bao'guan'li'ke
外包管理組,wai'bao'guan'li'qu
外包規劃組,wai'bao'gui'hua'qu
外包結報組,wai'bao'ji'bao'qu
外包檢驗組,wai'bao'jian'yan'qu
外包進料檢驗組,wai'bao'jin'liao'jian'yan'qu
外包課,wai'bao'ke
外包內交課,wai'bao'na'jiao'ke
外包企劃線,wai'bao'qi'hua'xian
外包組,wai'bao'qu
外包商開發部,wai'bao'shang'kai'bo'bu
外包生管,wai'bao'sheng'guan
外包生管課,wai'bao'sheng'guan'ke
外包生管組,wai'bao'sheng'guan'qu
外包生管專案,wai'bao'sheng'guan'zhuan'an
外包生交管組,wai'bao'sheng'jiao'guan'qu
外包素材線,wai'bao'su'cai'xian
外包帳務組,wai'bao'zhang'wu'qu
外包資源管理課,wai'bao'zi'yuan'guan'li'ke
外包作業組,wai'bao'zuo'ye'qu
外調,wai'diao
外干,wai'gan
外干服務組,wai'gan'fu'wu'qu
外幹宿管組,wai'gan'su'guan'qu
外干宿舍管理組,wai'gan'su'she'guan'li'qu
外購件不良品班,wai'gou'jian'bu'liang'pin'ban
外購件倉,wai'gou'jian'cang
外購件開發組,wai'gou'jian'kai'bo'qu
外購件模切類控制組,wai'gou'jian'mo'qie'lei'kong'zhi'qu
外購檢驗組,wai'gou'jian'yan'qu
外購進料檢驗組,wai'gou'jin'liao'jian'yan'qu
外購零件開發,wai'gou'ling'jian'kai'bo
外觀件全檢線,wai'guan'jian'quan'jian'xian
外觀件生產線,wai'guan'jian'sheng'chan'xian
外觀設備開發處,wai'guan'she'bei'kai'bo'chu
外觀設備開制造部,wai'guan'she'bei'kai'zhi'zao'bu
外關務業務課,wai'guan'wu'ye'wu'ke
外国公民持本人护照,wai'guo'gong'min'chi'ben'ren'hu'zhao
外事業群調入,wai'shi'ye'qun'diao'ru
外文翻譯,wai'wen'fan'yi
外物流,wai'wu'liu
外物流班,wai'wu'liu'ban
外物流組,wai'wu'liu'qu
外協管理組,wai'xie'guan'li'qu
外租組,wai'zu'qu
外做,wai'zuo
外做服務課,wai'zuo'fu'wu'ke
晚婚假,wan'hun'jia
晚育假,wan'yu'jia
網版制作組,wang'ban'zhi'zuo'qu
網絡管理課,wang'lao'guan'li'ke
網絡組,wang'lao'qu
網絡通信組,wang'lao'tong'xin'qu
網絡維護組,wang'lao'wei'hu'qu
網絡資訊課,wang'lao'zi'xun'ke
網路工程組,wang'lu'gong'cheng'qu
網路管理組,wang'lu'guan'li'qu
網路及系統管理課,wang'lu'ji'xi'tong'guan'li'ke
網路維護組,wang'lu'wei'hu'qu
網路系統管理組,wang'lu'xi'tong'guan'li'qu
網路資訊課,wang'lu'zi'xun'ke
網印,wang'yin
維護,wei'hu
維護校正,wei'hu'jiao'zheng
維護課,wei'hu'ke
維護組,wei'hu'qu
未婚,wei'hun
危險化學品管理組,wei'jian'hua'xue'pin'guan'li'qu
危險品管理組,wei'jian'pin'guan'li'qu
維修,wei'xiu
維修包裝線,wei'xiu'bao'zhuang'xian
維修工程班,wei'xiu'gong'cheng'ban
維修工程課,wei'xiu'gong'cheng'ke
維修工藝課,wei'xiu'gong'yi'ke
