埃布韦尔厂,ai'bu'wei'er'chang
卸卷臂杆,xie'juan'bi'gan
卸矿槽,xie'kuang'cao
卸矿点,xie'kuang'dian
卸矿量,xie'kuang'liang
卸矿站,xie'kuang'zhan
斜力,xie'li
泻利盐,xie'li'yan
卸粮螺旋,xie'liang'luo'xuan
卸粮闸门,xie'liang'zha'men
卸料侧,xie'liao'ce
卸料场,xie'liao'chang
卸料斗,xie'liao'dou
卸料翻斗,xie'liao'fan'dou
卸料辊道,xie'liao'gun'dao
卸料辊道的辊子,xie'liao'gun'dao'de'gun'zi
卸料机,xie'liao'ji
卸料坑,xie'liao'keng
卸料孔,xie'liao'kong
卸料口,xie'liao'kou
卸料流槽,xie'liao'liu'cao
卸料螺旋,xie'liao'luo'xuan
卸料坡道,xie'liao'po'dao
卸料器,xie'liao'qi
卸料时间,xie'liao'shi'jian
卸料台架,xie'liao'tai'jia
卸料箱,xie'liao'xiang
卸料运输机,xie'liao'yun'shu'ji
卸料闸门,xie'liao'zha'men
卸料装置,xie'liao'zhuang'zhi
斜裂纹,xie'lie'wen
卸煤坑,xie'mei'keng
卸门器,xie'men'qi
斜面,xie'mian
斜钠锆石,xie'na'gao'shi
楔内油的有效粘度,xie'nei'you'de'you'xiao'nian'du
斜坡,xie'po
斜剖面,xie'pou'mian
斜切,xie'qie
斜切面,xie'qie'mian
斜曲柄,xie'qu'bing
泄水处,xie'shui'chu
泄水斗,xie'shui'dou
泄水沟,xie'shui'gou
泄水管,xie'shui'guan
泄水口,xie'shui'kou
泄水箱,xie'shui'xiang
斜投影,xie'tou'ying
卸下,xie'xia
斜线,xie'xian
楔形进口,xie'xing'jin'kou
楔形前端,xie'xing'qian'duan
楔形榫,xie'xing'sun
楔形榫槽,xie'xing'sun'cao
斜星形线,xie'xing'xing'xian
楔形油膜,xie'xing'you'mo
泄液漏斗,xie'ye'lou'dou
卸载活门,xie'zai'huo'men
卸渣炉篦,xie'zha'lu'bi
斜锥,xie'zhui
辛胺,xin'an
新不列颠厂,xin'bu'lie'dian'chang
锌层厚度的电磁波测定,xin'ceng'hou'du'de'dian'ci'bo'ce'ding
锌电解法,xin'dian'jie'fa
新哥特瓦尔德钢铁公司,xin'ge'te'wa'er'de'gang'tie'gong'si
信号机电动气动阀,xin'hao'ji'dian'dong'qi'dong'fa
信号提取,xin'hao'ti'qu
辛基化合物,xin'ji'hua'he'wu
辛基焦磷酸,xin'ji'jiao'lin'suan
锌基铅铜焊料,xin'ji'qian'tong'han'liao
锌基压铸件机械抛光法,xin'ji'ya'zhu'jian'ji'xie'pao'guang'fa
辛基油,xin'ji'you
辛基酯,xin'ji'zhi
新界厂,xin'jie'chang
新晶核,xin'jing'he
锌壳蒸馏,xin'ke'zheng'liu
新利佩茨克钢铁公司,xin'li'pei'ci'ke'gang'tie'gong'si
新磷酸三丁酯萃取法,xin'lin'suan'san'ding'zhi'cui'qu'fa
新莫斯科夫斯克钢厂,xin'mo'si'ke'fu'si'ke'gang'chang
新喷雾焙烧技术,xin'pen'wu'bei'shao'ji'shu
信频射流振荡器,xin'pin'she'liu'zhen'dang'qi
新三水氧化铝,xin'san'shui'yang'hua'lv
新砂,xin'sha
新生的,xin'sheng'de
新生晶粒,xin'sheng'jing'li
新生氢,xin'sheng'qing
新生态,xin'sheng'tai
新生态的,xin'sheng'tai'de
新生碳,xin'sheng'tan
新时代钢公司,xin'shi'dai'gang'gong'si
新试铜灵,xin'shi'tong'ling
新室温相,xin'shi'wen'xiang
新手,xin'shou
芯数,xin'shu
新提科纳尔,xin'ti'ke'na'er
辛烷,xin'wan
辛烷值,xin'wan'zhi
新污染源实施标准,xin'wu'ran'yuan'shi'shi'biao'zhun
新西伯利亚钢厂,xin'xi'bo'li'ya'gang'chang
信息结束符,xin'xi'jie'shu'fu
信息块传送结束符,xin'xi'kuai'chuan'song'jie'shu'fu
新西兰,xin'xi'lan
新西兰钢公司,xin'xi'lan'gang'gong'si
信息消除,xin'xi'xiao'chu
信息转储程序,xin'xi'zhuan'chu'cheng'xu
新型钻石,xin'xing'zuan'shi
新伊瓜苏厂,xin'yi'gua'su'chang
新泽西钢公司,xin'ze'xi'gang'gong'si
心轴的双塔轮式前端,xin'zhou'de'shuang'ta'lun'shi'qian'duan
行,xing
型半导体,xing'ban'dao'ti
形变断裂,xing'bian'duan'lie
形成斑点,xing'cheng'ban'dian
形成避部收缩,xing'cheng'bi'bu'shou'suo
行程次数,xing'cheng'ci'shu
形成花边,xing'cheng'hua'bian
形成颈缩,xing'cheng'jing'suo
型带式焙烧机,xing'dai'shi'bei'shao'ji
型带式机烧结法,xing'dai'shi'ji'shao'jie'fa
型带式烧结机,xing'dai'shi'shao'jie'ji
型带式烧结机法,xing'dai'shi'shao'jie'ji'fa
型的下半部,xing'de'xia'ban'bu
形钢梁,xing'gang'liang
形焊缝,xing'han'feng
形核能,xing'he'neng
型焦,xing'jiao
形浇口,xing'jiao'kou
型框,xing'kuang
型内变质处理,xing'nei'bian'zhi'chu'li
性能误差,xing'neng'wu'cha
形坡对接,xing'po'dui'jie
型坡口,xing'po'kou
形坡口,xing'po'kou
形坡口对接焊缝,xing'po'kou'dui'jie'han'feng
形坡口焊,xing'po'kou'han
形坡口焊缝,xing'po'kou'han'feng
形坡口焊接,xing'po'kou'han'jie
形坡口加工,xing'po'kou'jia'gong
型腔,xing'qiang
型砂,xing'sha
型砂钉,xing'sha'ding
型砂干燥度电测仪,xing'sha'gan'zao'du'dian'ce'yi
型砂耐久性,xing'sha'nai'jiu'xing
型砂寿命,xing'sha'shou'ming
型砂水分控制器,xing'sha'shui'fen'kong'zhi'qi
形伸缩管,xing'shen'suo'guan
形双面坡口焊缝,xing'shuang'mian'po'kou'han'feng
形双坡口对接焊缝,xing'shuang'po'kou'dui'jie'han'feng
形态对称,xing'tai'dui'chen
形态晶体学,xing'tai'jing'ti'xue
形态类型,xing'tai'lei'xing
形态研究,xing'tai'yan'jiu
型箱,xing'xiang
型箱用钉,xing'xiang'yong'ding
型芯烘板,xing'xin'hong'ban
行星齿轮传动,xing'xing'chi'lun'chuan'dong
型杂质,xing'za'zhi
型炸药,xing'zha'yao
行政的薪金和津贴,xing'zheng'de'xin'jin'he'jin'tie
形状不规则的,xing'zhuang'bu'gui'ze'de
形状弹性,xing'zhuang'tan'xing
行走吊车,xing'zou'diao'che
行走台车,xing'zou'tai'che
修补,xiu'bu
修订者,xiu'ding'zhe
休风率,xiu'feng'lv
休风图表,xiu'feng'tu'biao
溴化镝,xiu'hua'di
溴化钕,xiu'hua'nv
溴化乙烯,xiu'hua'yi'xi
修理炉口内衬,xiu'li'lu'kou'nei'chen
溴酸钕,xiu'suan'nv
休眼,xiu'yan
修整冲孔,xiu'zheng'chong'kong
修整器,xiu'zheng'qi
蓄电池车,xu'dian'chi'che
虚缸盖,xu'gang'gai
虚零点,xu'ling'dian
蓄能容量,xu'neng'rong'liang
蓄能式焊接,xu'neng'shi'han'jie
虚拟作业,xu'ni'zuo'ye
虚设物,xu'she'wu
虚设线圈,xu'she'xian'quan
虚设阴极,xu'she'yin'ji
虚线轮,xu'xian'lun
虚象,xu'xiang
虚载荷,xu'zai'he
虚轴,xu'zhou
悬挂式耕耘机,xuan'gua'shi'geng'yun'ji
选矿机械,xuan'kuang'ji'xie
选粮盘,xuan'liang'pan
选录,xuan'lu
旋磨粉末,xuan'mo'fen'mo
眩目闪光,xuan'mu'shan'guang
悬熔设备,xuan'rong'she'bei
旋涡研磨,xuan'wo'yan'mo
旋涡研磨机,xuan'wo'yan'mo'ji
选择布线法,xuan'ze'bu'xian'fa
选择性腐蚀,xuan'ze'xing'fu'shi
选择性亲力,xuan'ze'xing'qin'li
悬钟式阀,xuan'zhong'shi'fa
旋转布料器,xuan'zhuan'bu'liao'qi
旋转式电铲,xuan'zhuan'shi'dian'chan
旋转式焊接用变比机,xuan'zhuan'shi'han'jie'yong'bian'bi'ji
旋转线圈,xuan'zhuan'xian'quan
削边机,xue'bian'ji
学术演讲,xue'shu'yan'jiang
学说,xue'shuo
循环变动支配的月数,xun'huan'bian'dong'zhi'pei'de'yue'shu
循环带式升运器,xun'huan'dai'shi'sheng'yun'qi
循环管连接螺母,xun'huan'guan'lian'jie'luo'mu
循环进位,xun'huan'jin'wei
循环链,xun'huan'lian
循环链式排肥装沟机,xun'huan'lian'shi'pai'fei'zhuang'gou'ji
循环数,xun'huan'shu
循环索,xun'huan'suo
循环油阀,xun'huan'you'fa
循环运输器,xun'huan'yun'shu'qi
迅速增长,xun'su'zeng'zhang
询问字符,xun'wen'zi'fu
压凹操作,ya'ao'cao'zuo
轧扁,ya'bian
轧边,ya'bian
压扁的,ya'bian'de
轧边工序,ya'bian'gong'xu
轧边辊,ya'bian'gun
轧边机,ya'bian'ji
压出机,ya'chu'ji
压翻卷机,ya'fan'juan'ji
压粉铁芯,ya'fen'tie'xin
亚铬酸镍,ya'ge'suan'nie
压辊,ya'gun
压花,ya'hua
压花板,ya'hua'ban
压花辊子,ya'hua'gun'zi
压花机,ya'hua'ji
压花模,ya'hua'mo
压花纹机,ya'hua'wen'ji
压花阳模,ya'hua'yang'mo
压挤成形,ya'ji'cheng'xing
压挤熟铁块,ya'ji'shu'tie'kuai
压挤柱状物,ya'ji'zhu'zhuang'wu
压浆法,ya'jiang'fa
压浸辊,ya'jin'gun
压块和烧结双循环,ya'kuai'he'shao'jie'shuang'xun'huan
压块机,ya'kuai'ji
压力水箱,ya'li'shui'xiang
压力损失,ya'li'sun'shi
压力效应,ya'li'xiao'ying
压力造型机,ya'li'zao'xing'ji
亚麻双面梳麻机,ya'ma'shuang'mian'shu'ma'ji
压模成型,ya'mu'cheng'xing
压模抽真空,ya'mu'chou'zhen'kong
压模定位器,ya'mu'ding'wei'qi
亚铌,ya'ni
压平,ya'ping
压平锤,ya'ping'chui
压气升液器,ya'qi'sheng'ye'qi
轧前厚度,ya'qian'hou'du
牙嵌离合器,ya'qian'li'he'qi
牙嵌联轴器,ya'qian'lian'zhou'qi
轧入侧操作工,ya'ru'ce'cao'zuo'gong
轧入侧带卷鞍座,ya'ru'ce'dai'juan'an'zuo
轧入侧带卷尺寸,ya'ru'ce'dai'juan'chi'cun
轧入侧带卷小车,ya'ru'ce'dai'juan'xiao'che
轧入侧开卷机,ya'ru'ce'kai'juan'ji
轧入侧张力卷取机,ya'ru'ce'zhang'li'juan'qu'ji
轧入侧争头清除辊道,ya'ru'ce'zheng'tou'qing'chu'gun'dao
压入的,ya'ru'de
压送辊,ya'song'gun
压塑,ya'su
压缩力,ya'suo'li
压缩弹性,ya'suo'tan'xing
压铁,ya'tie
轧头花盘,ya'tou'hua'pan
压涂法,ya'tu'fa
压弯法,ya'wan'fa
压纹,ya'wen
压纹机,ya'wen'ji
压纹模,ya'wen'mo
压纹阳模,ya'wen'yang'mo
压下表,ya'xia'biao
压下补偿,ya'xia'bu'chang
压下程序,ya'xia'cheng'xu
压下制度,ya'xia'zhi'du
压下装置的刻度盘,ya'xia'zhuang'zhi'de'ke'du'pan
亚硝化毛杆菌,ya'xiao'hua'mao'gan'jun
亚硝基化合物,ya'xiao'ji'hua'he'wu
亚硝基萘酚,ya'xiao'ji'nai'fen
亚硝酸钠硝酸钠浴槽,ya'xiao'suan'na'xiao'suan'na'yu'cao
亚硝酸盐,ya'xiao'suan'yan
亚肖酸酯,ya'xiao'suan'zhi
亚硝酰,ya'xiao'xian
压型机,ya'xing'ji
压轧,ya'ya
压延,ya'yan
压延金属板,ya'yan'jin'shu'ban
压印机,ya'yin'ji
压余分离剪,ya'yu'fen'li'jian
压制方向,ya'zhi'fang'xiang
压制烧结制品,ya'zhi'shao'jie'zhi'pin
压重,ya'zhong
压铸成型,ya'zhu'cheng'xing
鸭嘴笔,ya'zui'bi
眼,yan
研,yan
烟埃出口,yan'ai'chu'kou
演变,yan'bian
延长导线,yan'chang'dao'xian
延长的使用期限,yan'chang'de'shi'yong'qi'xian
延长时间,yan'chang'shi'jian
延长线,yan'chang'xian
延长型带式烧结机,yan'chang'xing'dai'shi'shao'jie'ji
烟尘捕集器,yan'chen'bu'ji'qi
烟尘沉积,yan'chen'chen'ji
烟尘沉降室,yan'chen'chen'jiang'shi
烟尘处理,yan'chen'chu'li
烟尘废料,yan'chen'fei'liao
烟尘分离,yan'chen'fen'li
烟尘分离设备,yan'chen'fen'li'she'bei
烟尘回收,yan'chen'hui'shou
烟尘量,yan'chen'liang
烟尘收集与处理装置,yan'chen'shou'ji'yu'chu'li'zhuang'zhi
烟尘损失,yan'chen'sun'shi
延迟作业线记忆装置的电子计算机,yan'chi'zuo'ye'xian'ji'yi'zhuang'zhi'de'dian'zi'ji'suan'ji
烟橱通风罩,yan'chu'tong'feng'zhao
烟道气,yan'dao'qi
烟道阻力,yan'dao'zu'li
验电器,yan'dian'qi
檐沟,yan'gou
眼镜阀,yan'jing'fa
眼孔螺栓连结摇枕吊,yan'kong'luo'shuan'lian'jie'yao'zhen'diao
眼螺杆,yan'luo'gan
眼螺母,yan'luo'mu
烟气电气除尘,yan'qi'dian'qi'chu'chen
眼圈接合,yan'quan'jie'he
眼圈螺母,yan'quan'luo'mu
衍射测微器,yan'she'ce'wei'qi
延伸,yan'shen
延伸的,yan'shen'de
延伸度,yan'shen'du
延伸辊道,yan'shen'gun'dao
延伸计,yan'shen'ji
延伸孔型,yan'shen'kong'xing
延伸控制,yan'shen'kong'zhi
延伸裂纹,yan'shen'lie'wen
延伸性,yan'shen'xing
延伸仪,yan'shen'yi
延伸轧机,yan'shen'zha'ji
延伸值,yan'shen'zhi
延伸质量,yan'shen'zhi'liang
盐酸,yan'suan
盐酸化的,yan'suan'hua'de
燕尾,yan'wei
燕尾导轨,yan'wei'dao'gui
燕尾榫接头,yan'wei'sun'jie'tou
燕尾形导轨,yan'wei'xing'dao'gui
岩心记录,yan'xin'ji'lu
延性,yan'xing
沿形变方向伸长的夹杂物,yan'xing'bian'fang'xiang'shen'chang'de'jia'za'wu
延性材料,yan'xing'cai'liao
延性脆性转变,yan'xing'cui'xing'zhuan'bian
延性镀层,yan'xing'du'ceng
延性断口,yan'xing'duan'kou
延性断裂,yan'xing'duan'lie
延性断裂扩展,yan'xing'duan'lie'kuo'zhan
延性断裂面,yan'xing'duan'lie'mian
延性腐蚀,yan'xing'fu'shi
延性计,yan'xing'ji
延性极限,yan'xing'ji'xian
延性晶粒,yan'xing'jing'li
延性晶体,yan'xing'jing'ti
延性开裂,yan'xing'kai'lie
延性裂纹,yan'xing'lie'wen
延性试验,yan'xing'shi'yan
延性试验机,yan'xing'shi'yan'ji
延性铁,yan'xing'tie
延性涂层,yan'xing'tu'ceng
延性铸铁,yan'xing'zhu'tie
延性转变,yan'xing'zhuan'bian
延性转变温度,yan'xing'zhuan'bian'wen'du
延续时间,yan'xu'shi'jian
延展阶段,yan'zhan'jie'duan
延展性偏析,yan'zhan'xing'pian'xi
烟罩,yan'zhao
扬尘,yang'chen
阳电性,yang'dian'xing
氧化氮,yang'hua'dan
氧化氮分离器,yang'hua'dan'fen'li'qi
氧化镝,yang'hua'di
氧化铒,yang'hua'er
氧化钠,yang'hua'na
氧化能,yang'hua'neng
氧化铌,yang'hua'ni
氧化镍,yang'hua'nie
氧化钕,yang'hua'nv
氧化物电解,yang'hua'wu'dian'jie
氧化物弥散强化合金,yang'hua'wu'mi'san'qiang'hua'he'jin
氧化锌粉,yang'hua'xin'fen
氧化亚氮,yang'hua'ya'dan
氧化铕,yang'hua'you
阳极加工,yang'ji'jia'gong
阳极制造,yang'ji'zhi'zao
样品,yang'pin
扬析,yang'xi
羊脂,yang'zhi
药包,yao'bao
遥测读数压力计,yao'ce'du'shu'ya'li'ji
遥测温度计,yao'ce'wen'du'ji
遥测仪表,yao'ce'yi'biao
遥读转速计,yao'du'zhuan'su'ji
咬关辊,yao'guan'gun
药剂,yao'ji
遥控,yao'kong
遥控记录,yao'kong'ji'lu
摇筐,yao'kuang
药品,yao'pin
咬入,yao'ru
窑头段壳体,yao'tou'duan'qiao'ti
窑头罩,yao'tou'zhao
咬住,yao'zhu
夜班,ye'ban
曳板,ye'ban
液氮淬火,ye'dan'cui'huo
液滴,ye'di
液滴捕集器,ye'di'bu'ji'qi
液滴尺寸,ye'di'chi'cun
液滴腐蚀,ye'di'fu'shi
液滴渗碳法,ye'di'shen'tan'fa
液电效应,ye'dian'xiao'ying
冶炼强度指标,ye'lian'qiang'du'zhi'biao
冶炼时间,ye'lian'shi'jian
液熵,ye'shang
液态晶体相,ye'tai'jing'ti'xiang
液体摩擦轴承,ye'ti'mo'ca'zhou'cheng
野外道路,ye'wai'dao'lu
液压齿轮传动,ye'ya'chi'lun'chuan'dong
液压的,ye'ya'de
液压缓冲器,ye'ya'huan'chong'qi
液压减震器,ye'ya'jian'zhen'qi
铱,yi
一般铸锭法,yi'ban'zhu'ding'fa
易爆燃料,yi'bao'ran'liao
易爆炸的,yi'bao'zha'de
易变形钢,yi'bian'xing'gang
一步炼钢法,yi'bu'lian'gang'fa
异常,yi'chang
异常报告,yi'chang'bao'gao
异常条件,yi'chang'tiao'jian
乙撑,yi'cheng
溢出,yi'chu
逸出,yi'chu
逸出阀门,yi'chu'fa'men
溢出管,yi'chu'guan
逸出气体,yi'chu'qi'ti
逸出蒸汽,yi'chu'zheng'qi
乙醇,yi'chun
易磁化方向,yi'ci'hua'fang'xiang
一次激发能级,yi'ci'ji'fa'neng'ji
一次搅拌的干拌物,yi'ci'jiao'ban'de'gan'ban'wu
一次熔模,yi'ci'rong'mo
一次型芯,yi'ci'xing'xin
一次用量,yi'ci'yong'liang
一打,yi'da
一氮化铌,yi'dan'hua'ni
一氮化物,yi'dan'hua'wu
异点,yi'dian
以点电焊机,yi'dian'dian'han'ji
一碘化物,yi'dian'hua'wu
移动场,yi'dong'chang
移动床,yi'dong'chuang
移动挡板,yi'dong'dang'ban
移动的,yi'dong'de
移动底片测角仪,yi'dong'di'pian'ce'jiao'yi
移动阀,yi'dong'fa
移动方向,yi'dong'fang'xiang
移动滑板,yi'dong'hua'ban
移动加热器,yi'dong'jia're'qi
移动晶界,yi'dong'jing'jie
移动链箅碳化炉,yi'dong'lian'bi'tan'hua'lu
移动炉篦,yi'dong'lu'bi
移动桥架式起重机,yi'dong'qiao'jia'shi'qi'zhong'ji
移动取样器,yi'dong'qu'yang'qi
移动式带卷准备车,yi'dong'shi'dai'juan'zhun'bei'che
移动式炉底,yi'dong'shi'lu'di
移动式抛砂机,yi'dong'shi'pao'sha'ji
移动式平台,yi'dong'shi'ping'tai
移动相,yi'dong'xiang
一端搬运,yi'duan'ban'yun
乙二胺,yi'er'an
乙二胺四醋酸,yi'er'an'si'cu'suan
伊尔布兰德减摩合金,yi'er'bu'lan'de'jian'mo'he'jin
乙二醇,yi'er'chun
乙二碘酸,yi'er'dian'suan
伊尔牌铅基耐磨合金,yi'er'pai'qian'ji'nai'mo'he'jin
已废的,yi'fei'de
一氟代苯,yi'fu'dai'ben
一氟代醋酸,yi'fu'dai'cu'suan
一氟化合物,yi'fu'hua'he'wu
易割冒口,yi'ge'mao'kou
易割冒口片,yi'ge'mao'kou'pian
异号位错,yi'hao'wei'cuo
易滑移,yi'hua'yi
易滑移区,yi'hua'yi'qu
乙基,yi'ji
一级地址,yi'ji'di'zhi
乙基硅酸盐,yi'ji'gui'suan'yan
乙基甲基酮,yi'ji'jia'ji'tong
乙基硫醇,yi'ji'liu'chun
易剂压金属,yi'ji'ya'jin'shu
一价的,yi'jia'de
一甲基,yi'jia'ji
一价离子,yi'jia'li'zi
一价盐,yi'jia'yan
意见,yi'jian
依考特普硬度试验计,yi'kao'te'pu'ying'du'shi'yan'ji
伊拉耐蚀耐热合金钢,yi'la'nai'shi'nai're'he'jin'gang
伊拉耐蚀耐热锰钢,yi'la'nai'shi'nai're'meng'gang
异类原子,yi'lei'yuan'zi
一硫二氧化物,yi'liu'er'yang'hua'wu
一硫化物,yi'liu'hua'wu
溢流液,yi'liu'ye
一硫族化合物,yi'liu'zu'hua'he'wu
翼螺母,yi'luo'mu
一氯化物,yi'lv'hua'wu
异门,yi'men
乙醚,yi'mi
乙醚萃取,yi'mi'cui'qu
乙醚萃取法,yi'mi'cui'qu'fa
忆醚萃取剂,yi'mi'cui'qu'ji
乙醚萃取器,yi'mi'cui'qu'qi
乙醚萃液,yi'mi'cui'ye
乙醚净化法,yi'mi'jing'hua'fa
乙醚相,yi'mi'xiang
乙炔,yi'que
易熔体结构,yi'rong'ti'jie'gou
逸散热,yi'san're
一水合物,yi'shui'he'wu
一水化物,yi'shui'hua'wu
一水铝石型铝土矿,yi'shui'lv'shi'xing'lv'tu'kuang
一水铝石型铝土矿溶出,yi'shui'lv'shi'xing'lv'tu'kuang'rong'chu
一水铝石型土矿,yi'shui'lv'shi'xing'tu'kuang
一水软铝石,yi'shui'ruan'lv'shi
一水碳酸钠,yi'shui'tan'suan'na
伊斯特伍德轧钢厂,yi'si'te'wu'de'zha'gang'chang
移送机,yi'song'ji
移送机链条,yi'song'ji'lian'tiao
一碳化铌,yi'tan'hua'ni
一万,yi'wan
乙烷,yi'wan
乙烷基,yi'wan'ji
伊万欧姆镍铬电阻合金,yi'wan'ou'mu'nie'ge'dian'zu'he'jin
伊万斯带钢轧机,yi'wan'si'dai'gang'zha'ji
移位操作,yi'wei'cao'zuo
移位原子,yi'wei'yuan'zi
乙烯,yi'xi
翼隙进口,yi'xi'jin'kou
乙烯石油共聚物,yi'xi'shi'you'gong'ju'wu
乙酰醋酸乙酯,yi'xian'cu'suan'yi'zhi
翼形螺钉,yi'xing'luo'ding
异性石,yi'xing'shi
异型铸件,yi'xing'zhu'jian
异型铸造,yi'xing'zhu'zao
一溴化物,yi'xiu'hua'wu
异序同晶,yi'xu'tong'jing
一氧化氮,yi'yang'hua'dan
一氧化氮分子激光器,yi'yang'hua'dan'fen'zi'ji'guang'qi
一氧化二氮,yi'yang'hua'er'dan
一氧化铌,yi'yang'hua'ni
一氧化物,yi'yang'hua'wu
异议,yi'yi
疑义度,yi'yi'du
一元酸,yi'yuan'suan
一元羧酸,yi'yuan'suo'suan
易运动方向,yi'yun'dong'fang'xiang
伊泽弗银焊料,yi'ze'fu'yin'han'liao
移至,yi'zhi
异质材料,yi'zhi'cai'liao
一种铋铅锡易熔合金,yi'zhong'bi'qian'xi'yi'rong'he'jin
异种金属接触腐蚀,yi'zhong'jin'shu'jie'chu'fu'shi
一种镍铁合金,yi'zhong'nie'tie'he'jin
一种频闪观测管,yi'zhong'pin'shan'guan'ce'guan
一种铜镍合金,yi'zhong'tong'nie'he'jin
逸走,yi'zou
阴暗,yin'an
引出,yin'chu
引出端控制,yin'chu'duan'kong'zhi
引出辊,yin'chu'gun
引出线,yin'chu'xian
因次分析,yin'ci'fen'xi
因次分析法,yin'ci'fen'xi'fa
引导板,yin'dao'ban
阴电荷,yin'dian'he
阴电极,yin'dian'ji
阴电性,yin'dian'xing
阴电性元素,yin'dian'xing'yuan'su
阴电子,yin'dian'zi
引锭,yin'ding
引锭杆摆动台,yin'ding'gan'bai'dong'tai
引锭杆存放处,yin'ding'gan'cun'fang'chu
引锭杆导向器,yin'ding'gan'dao'xiang'qi
引锭杆底端,yin'ding'gan'di'duan
引锭杆接头,yin'ding'gan'jie'tou
引锭杆坑,yin'ding'gan'keng
引锭杆链运输机,yin'ding'gan'lian'yun'shu'ji
引锭杆脱扣,yin'ding'gan'tuo'kou
引锭链,yin'ding'lian
引锭坯,yin'ding'pi
引锭头,yin'ding'tou
阴极,yin'ji
阴极板,yin'ji'ban
阴极电位,yin'ji'dian'wei
阴极电源接头,yin'ji'dian'yuan'jie'tou
阴极接头,yin'ji'jie'tou
阴极母线,yin'ji'mu'xian
阴极清洗,yin'ji'qing'xi
阴极区,yin'ji'qu
隐极同步发电机,yin'ji'tong'bu'fa'dian'ji
引流沟,yin'liu'gou
引流渠,yin'liu'qu
阴模,yin'mo
引起乳化,yin'qi'ru'hua
引擎车床,yin'qing'che'chuang
引入辊,yin'ru'gun
引伸压力机,yin'shen'ya'li'ji
因数,yin'shu
引述,yin'shu
隐丝,yin'si
隐丝式高温计,yin'si'shi'gao'wen'ji
隐丝式光学高温计,yin'si'shi'guang'xue'gao'wen'ji
因素,yin'su
引下线,yin'xia'xian
阴性的,yin'xing'de
阴性元素,yin'xing'yuan'su
隐循环表,yin'xun'huan'biao
阴压模,yin'ya'mu
饮用水,yin'yong'shui
因子,yin'zi
因子设计,yin'zi'she'ji
硬脆,ying'cui
英国工程用规范,ying'guo'gong'cheng'yong'gui'fan
英国无缝钢管公司,ying'guo'wu'feng'gang'guan'gong'si
英国锡铅合金,ying'guo'xi'qian'he'jin
硬化回火处理,ying'hua'hui'huo'chu'li
硬化性增强硼合金,ying'hua'xing'zeng'qiang'peng'he'jin
应急按钮,ying'ji'an'niu
应急措施,ying'ji'cuo'shi
应急代用钢种,ying'ji'dai'yong'gang'zhong
应急电台,ying'ji'dian'tai
应急阀,ying'ji'fa
应急供水,ying'ji'gong'shui
应急活门,ying'ji'huo'men
应急焦炭,ying'ji'jiao'tan
应急接收机,ying'ji'jie'shou'ji
应急燃烧,ying'ji'ran'shao
应急设备,ying'ji'she'bei
应急维修,ying'ji'wei'xiu
应急装置,ying'ji'zhuang'zhi
英里,ying'li
应力分布,ying'li'fen'bu
应力集中效应,ying'li'ji'zhong'xiao'ying
赢利性,ying'li'xing
应力循环次数,ying'li'xun'huan'ci'shu
硬铝,ying'lv
硬铝板,ying'lv'ban
硬铝粉,ying'lv'fen
硬铝管,ying'lv'guan
硬铝坯块,ying'lv'pi'kuai
硬铝型合金,ying'lv'xing'he'jin
迎面阻力数据,ying'mian'zu'li'shu'ju
硬镍铸铁,ying'nie'zhu'tie
影片翻印,ying'pian'fan'yin
硬壳式机身,ying'qiao'shi'ji'shen
硬壳式结构,ying'qiao'shi'jie'gou
鹰桥盐酸选择浸出提镍法,ying'qiao'yan'suan'xuan'ze'jin'chu'ti'nie'fa
英式砌合,ying'shi'qi'he
影响,ying'xiang
影响范围,ying'xiang'fan'wei
硬橡胶,ying'xiang'jiao
营养的,ying'yang'de
营养物,ying'yang'wu
影印,ying'yin
硬质合金,ying'zhi'he'jin
用测杆探地下水,yong'ce'gan'tan'di'xia'shui
永电体,yong'dian'ti
永冻层,yong'dong'ceng
用法,yong'fa
用贯入法测土的密实度,yong'guan'ru'fa'ce'tu'de'mi'shi'du
永久变形,yong'jiu'bian'xing
永久变形测定法,yong'jiu'bian'xing'ce'ding'fa
永久存储器,yong'jiu'cun'chu'qi
永久的,yong'jiu'de
用量,yong'liang
用镍活化的钨烧结,yong'nie'huo'hua'de'wu'shao'jie
用燃料油稀释润滑油,yong'ran'liao'you'xi'shi'run'hua'you
用涂料保护表面,yong'tu'liao'bao'hu'biao'mian
用文件证明,yong'wen'jian'zheng'ming
用于打结平炉炉底的白云石,yong'yu'da'jie'ping'lu'lu'di'de'bai'yun'shi
用于多支承拱的悬挂砖,yong'yu'duo'zhi'cheng'gong'de'xuan'gua'zhuan
油,you
铕,you
油斑,you'ban
油保持性,you'bao'chi'xing
油杯,you'bei
油被燃料稀释,you'bei'ran'liao'xi'shi
油泵,you'beng
油泵空转齿轮,you'beng'kong'zhuan'chi'lun
油泵滤网护圈,you'beng'lv'wang'hu'quan
油泵主动齿轮,you'beng'zhu'dong'chi'lun
油比重计,you'bi'zhong'ji
游标,you'biao
油标钢皮卷尺,you'biao'gang'pi'juan'chi
油舱盖,you'cang'gai
油槽,you'cao
油槽润滑,you'cao'run'hua
油沉淀器,you'chen'dian'qi
油池润滑,you'chi'run'hua
油出口,you'chu'kou
油淬,you'cui
油淬的,you'cui'de
油淬钢,you'cui'gang
油淬火,you'cui'huo
