艾叶生姜煨鸡蛋,ai'ye'sheng'jiang'wei'ji'dan
油攒大虾,you'cuan'da'xia
油豆腐镶肉,you'dou'fu'xiang'rou
油煎鸡蛋蘸蜂蜜,you'jian'ji'dan'zhan'feng'mi
油煎茄片,you'jian'qie'pian
油煎软丝藻,you'jian'ruan'si'zao
油煎糖年糕,you'jian'tang'nian'gao
油浸鲳鱼,you'jin'chang'yu
油浸鸡,you'jin'ji
油浸腰花,you'jin'yao'hua
油淋鸡,you'lin'ji
油淋苦瓜,you'lin'ku'gua
油淋笋鸡,you'lin'sun'ji
油焖白菜,you'men'bai'cai
油焖春笋,you'men'chun'sun
油闷春笋,you'men'chun'sun
油焖凤尾鱼,you'men'feng'wei'yu
油焖海明虾,you'men'hai'ming'xia
油焖鲜蘑,you'men'xian'mo
油焖竹笋,you'men'zhu'sun
油泡桂鱼球,you'pao'gui'yu'qiu
油泡腰花,you'pao'yao'hua
油鹏自远方来,you'peng'zi'yuan'fang'lai
柚皮蒸排骨,you'pi'zheng'pai'gu
油泼鸡,you'po'ji
油泼青鱼,you'po'qing'yu
油泼肉,you'po'rou
油酥火焙鱼,you'su'huo'bei'yu
油烫茭白,you'tang'jiao'bai
油条西舌,you'tiao'xi'she
油旋子锅魁,you'xuan'zi'guo'kui
鱿鱼烩杨桃,you'yu'hui'yang'tao
鱿鱼三鲜,you'yu'san'xian
油炸肺,you'zha'fei
柚子蜂蜜,you'zi'feng'mi
柚子封乌鸡,you'zi'feng'wu'ji
玉板翠带,yu'ban'cui'dai
玉板蟹,yu'ban'xie
鱼包三经,yu'bao'san'jing
禹城扒鸡,yu'cheng'pa'ji
雨后春笋,yu'hou'chun'sun
鱼花豆腐,yu'hua'dou'fu
鱼胶圆肉炖水鸭,yu'jiao'yuan'rou'dun'shui'ya
玉兰明虾,yu'lan'ming'xia
玉兰片,yu'lan'pian
鱼柳烩杂海鲜,yu'liu'hui'za'hai'xian
御龙火锅,yu'long'huo'guo
玉米色拉,yu'mi'se'la
玉米须蜂蜜粥,yu'mi'xu'feng'mi'zhou
玉米须黑豆猪肉汤,yu'mi'xu'hei'dou'zhu'rou'tang
玉米须螺片汤,yu'mi'xu'luo'pian'tang
玉米须猪小肚汤,yu'mi'xu'zhu'xiao'du'tang
鱼片蒸水蛋,yu'pian'zheng'shui'dan
鱼脯丸子,yu'pu'wan'zi
鱼蓉熘面包,yu'rong'liu'mian'bao
御扇豆黄,yu'shan'dou'huang
玉树麒麟生鱼,yu'shu'qi'lin'sheng'yu
鱼头火锅,yu'tou'huo'guo
玉兔白菜,yu'tu'bai'cai
玉兔海参,yu'tu'hai'shen
玉兔五彩丝,yu'tu'wu'cai'si
渔溪鲇鱼,yu'xi'nian'yu
鱼香菜心,yu'xiang'cai'xin
鱼香炒蛋,yu'xiang'chao'dan
鱼香大虾,yu'xiang'da'xia
鱼香荷包蛋,yu'xiang'he'bao'dan
鱼香豇豆,yu'xiang'jiang'dou
鱼香苦瓜,yu'xiang'ku'gua
鱼香牛腩,yu'xiang'niu'nan
鱼香茄饼,yu'xiang'qie'bing
鱼香茄条,yu'xiang'qie'tiao
鱼香茄子,yu'xiang'qie'zi
鱼香全茄,yu'xiang'quan'qie
鱼香肉片,yu'xiang'rou'pian
鱼香肉丝,yu'xiang'rou'si
鱼香酥青豆,yu'xiang'su'qing'dou
鱼香碎滑肉,yu'xiang'sui'hua'rou
鱼香味,yu'xiang'wei
鱼香腰花,yu'xiang'yao'hua
鱼香油菜苔,yu'xiang'you'cai'tai
鱼香芷排,yu'xiang'zhi'pai
鱼香猪干,yu'xiang'zhu'gan
鱼腥草煲猪肺,yu'xing'cao'bao'zhu'fei
鱼腥草海蜇拌莴苣,yu'xing'cao'hai'zhe'ban'wo'ju
鱼腥草蒸鸡,yu'xing'cao'zheng'ji
鱼羊鲜,yu'yang'xian
鱼咬羊,yu'yao'yang
玉簪里脊,yu'zan'li'ji
玉盏龙眼,yu'zhan'long'yan
玉掌献寿,yu'zhang'xian'shou
玉竹百合猪瘦肉汤,yu'zhu'bai'he'zhu'shou'rou'tang
玉竹炖鹧鸪,yu'zhu'dun'zhe'gu
玉竹沙参鹧鸪汤,yu'zhu'sha'shen'zhe'gu'tang
玉竹心子,yu'zhu'xin'zi
玉竹猪板骨炖水龟,yu'zhu'zhu'ban'gu'dun'shui'gui
玉竹猪心,yu'zhu'zhu'xin
圆白菜炒腊肉,yuan'bai'cai'chao'la'rou
芫爆肚丝,yuan'bao'du'si
芫爆墨鱼,yuan'bao'mo'yu
元宝牛蒡,yuan'bao'niu'bang
圆葱饭团,yuan'cong'fan'tuan
原壳鲍鱼,yuan'ke'bao'yu
原笼粉蒸,yuan'long'fen'zheng
原笼牛肉,yuan'long'niu'rou
原笼玉簪,yuan'long'yu'zan
元气桑菊茶,yuan'qi'sang'ju'cha
圆肉花生排骨汤,yuan'rou'hua'sheng'pai'gu'tang
圆肉杞子炖鲍鱼,yuan'rou'qi'zi'dun'bao'yu
元蹄炖鸡,yuan'ti'dun'ji
鸳鸯哺乳,yuan'yang'bu'ru
鸳鸯鸡粥,yuan'yang'ji'zhou
鸳鸯酥盒,yuan'yang'su'he
鸳鸯土豆泥,yuan'yang'tu'dou'ni
鸳鸯鱼枣,yuan'yang'yu'zao
鸳鸳珍珠汤,yuan'yuan'zhen'zhu'tang
原盅炖北菇,yuan'zhong'dun'bei'gu
粤菜,yue'cai
月季花煨玉米笋,yue'ji'hua'wei'yu'mi'sun
月母子鸡,yue'mu'zi'ji
云长玉浆饺,yun'chang'yu'jiang'jiao
芸豆金鱼,yun'dou'jin'yu
云耳沙榄炖猪搌,yun'er'sha'lan'dun'zhu'zhan
云耳西芹炒肉片,yun'er'xi'qin'chao'rou'pian
云河段霄,yun'he'duan'xiao
云尖爆牛柳,yun'jian'bao'niu'liu
云苓黄精生蚝汤,yun'ling'huang'jing'sheng'hao'tang
云片鸽蛋,yun'pian'ge'dan
云片鹿角菜,yun'pian'lu'jiao'cai
云腿炒苦瓜,yun'tui'chao'ku'gua
云腿虾茸荚,yun'tui'xia'rong'jia
云猪手,yun'zhu'shou
杂瓣海参,za'ban'hai'shen
杂豆小麦粥,za'dou'xiao'mai'zhou
杂烩锅子,za'hui'guo'zi
糟炒厚鱼片,zao'chao'hou'yu'pian
糟烩鞭笋,zao'hui'bian'sun
枣莲炖雪哈,zao'lian'dun'xue'ha
糟熘鱼片,zao'liu'yu'pian
枣泥糕,zao'ni'gao
枣仁龙眼粥,zao'ren'long'yan'zhou
糟煨冬笋,zao'wei'dong'sun
糟香鱼头云,zao'xiang'yu'tou'yun
糟鸭,zao'ya
糟油青鱼划水,zao'you'qing'yu'hua'shui
炸八块,zha'ba'kuai
炸班指,zha'ban'zhi
炸菠菜脯,zha'bo'cai'pu
榨菜蒸大鳝,zha'cai'zheng'da'shan
炸蚕蛹鸡,zha'can'yong'ji
炸春卷,zha'chun'juan
炸大扁,zha'da'bian
炸冬瓜丸子,zha'dong'gua'wan'zi
炸豆腐,zha'dou'fu
炸豆腐丸子,zha'dou'fu'wan'zi
炸豆腐芝士,zha'dou'fu'zhi'shi
炸飞禽,zha'fei'qin
炸佛手通脊,zha'fo'shou'tong'ji
炸灌汤丸子,zha'guan'tang'wan'zi
炸花件儿,zha'hua'jian'er
炸花仁腰块,zha'hua'ren'yao'kuai
炸鸡葫芦,zha'ji'hu'lu
炸吉利排骨,zha'ji'li'pai'gu
炸鸡排,zha'ji'pai
炸鸡肉串,zha'ji'rou'chuan
炸金钩棒,zha'jin'gou'bang
炸卷果儿,zha'juan'guo'er
炸熘黄鱼,zha'liu'huang'yu
炸熘樱桃圆,zha'liu'ying'tao'yuan
炸龙肠,zha'long'chang
炸鹿尾儿,zha'lu'wei'er
炸面筋,zha'mian'jin
炸木耳,zha'mu'er
炸糯米鸡,zha'nuo'mi'ji
炸藕盒,zha'ou'he
炸排骨,zha'pai'gu
炸烹儿,zha'peng'er
炸烹鲈鱼腩,zha'peng'lu'yu'nan
炸茄饼,zha'qie'bing
炸茄盒,zha'qie'he
炸肉骨碌烹,zha'rou'gu'lu'peng
炸肉末饭,zha'rou'mo'fan
炸软巾,zha'ruan'jin
炸鳝段,zha'shan'duan
炸素鸡排,zha'su'ji'pai
炸土豆片,zha'tu'dou'pian
炸丸子,zha'wan'zi
炸虾饼,zha'xia'bing
炸绣球,zha'xiu'qiu
炸鱼卷,zha'yu'juan
炸鱼丸,zha'yu'wan
炸鸳鸯嘎渣,zha'yuan'yang'ga'zha
炸珍珠虾,zha'zhen'zhu'xia
炸蒸肉,zha'zheng'rou
炸汁儿,zha'zhi'er
炸脂盖,zha'zhi'gai
炸芝麻里脊,zha'zhi'ma'li'ji
炸紫盖儿,zha'zi'gai'er
炸子鸡,zha'zi'ji
炸子蟹,zha'zi'xie
斋鸭掌草菇煲,zhai'ya'zhang'cao'gu'bao
湛江鸡,zhan'jiang'ji
斩鱼圆,zhan'yu'yuan
樟茶鸡,zhang'cha'ji
樟茶鸭,zhang'cha'ya
樟茶鸭子,zhang'cha'ya'zi
张凉粉水饺店,zhang'liang'fen'shui'jiao'dian
章鱼焖花腩,zhang'yu'men'hua'nan
朝阳鸡蛋豆腐,zhao'yang'ji'dan'dou'fu
浙菜黄焖鸭腰管廷,zhe'cai'huang'men'ya'yao'guan'ting
折耳根炒腊肉,zhe'er'gen'chao'la'rou
珍珠豆腐,zhen'zhu'dou'fu
珍珠豆腐羹,zhen'zhu'dou'fu'geng
珍珠海参,zhen'zhu'hai'shen
珍珠鲤鱼,zhen'zhu'li'yu
珍珠南瓜,zhen'zhu'nan'gua
珍珠雪耳,zhen'zhu'xue'er
珍珠元子,zhen'zhu'yuan'zi
珍珠圆子,zhen'zhu'yuan'zi
蒸扒三丝干贝,zheng'ba'san'si'gan'bei
蒸鲳鱼,zheng'chang'yu
蒸江团,zheng'jiang'tuan
蒸鹿尾儿,zheng'lu'wei'er
蒸南瓜,zheng'nan'gua
蒸熊掌,zheng'xiong'zhang
蒸羊羔儿,zheng'yang'gao'er
整鱼两吃,zheng'yu'liang'chi
纸包鸡,zhi'bao'ji
纸包三鲜,zhi'bao'san'xian
制川乌,zhi'chuan'wu
汁鲫鱼,zhi'ji'yu
之江鲈莼羹,zhi'jiang'lu'chun'geng
芝麻豆腐,zhi'ma'dou'fu
芝麻锅炸,zhi'ma'guo'zha
芝麻卷,zhi'ma'juan
芝麻龙眼粥,zhi'ma'long'yan'zhou
芝麻南瓜豆沙饼,zhi'ma'nan'gua'dou'sha'bing
芝麻肉片,zhi'ma'rou'pian
芝麻肉丝,zhi'ma'rou'si
芝麻双耳,zhi'ma'shuang'er
芝麻小白菜,zhi'ma'xiao'bai'cai
芝麻杏仁糊,zhi'ma'xing'ren'hu
芝麻鱼卷,zhi'ma'yu'juan
芝麻鱼球,zhi'ma'yu'qiu
植物添银花,zhi'wu'tian'yin'hua
脂油雪花儿菜,zhi'you'xue'hua'er'cai
支竹羊腩煲,zhi'zhu'yang'nan'bao
中华药膳,zhong'hua'yao'shan
仲景羊肉汤,zhong'jing'yang'rou'tang
踵鱼翅,zhong'yu'chi
舟山海鲜面,zhou'shan'hai'xian'mian
煮饽饽锅子,zhu'bo'bo'guo'zi
猪肚包鸡,zhu'du'bao'ji
猪肚黄芪汤,zhu'du'huang'qi'tang
猪肝菠菜汤,zhu'gan'bo'cai'tang
猪肝枸杞子汤,zhu'gan'gou'qi'zi'tang
猪肝绿豆粥,zhu'gan'lv'dou'zhou
柱侯酱凤爪,zhu'hou'jiang'feng'zhao
猪脊鸡肫粥,zhu'ji'ji'zhun'zhou
竹沥姜汁粥,zhu'li'jiang'zhi'zhou
猪脾枣米粥,zhu'pi'zao'mi'zhou
猪肉韭菜馅水饺,zhu'rou'jiu'cai'xian'shui'jiao
猪手排骨汤,zhu'shou'pai'gu'tang
竹笋西瓜皮鲤鱼汤,zhu'sun'xi'gua'pi'li'yu'tang
竹笋香菇汤,zhu'sun'xiang'gu'tang
竹笋芋艿鲫鱼汤,zhu'sun'yu'nai'ji'yu'tang
猪蹄葱白炖豆腐,zhu'ti'cong'bai'dun'dou'fu
猪蹄粥,zhu'ti'zhou
竹筒饭,zhu'tong'fan
竹筒仔鸡,zhu'tong'zi'ji
猪尾浓汤,zhu'wei'nong'tang
主席红烧肉,zhu'xi'hong'shao'rou
猪血鱼片粥,zhu'xue'yu'pian'zhou
竹叶粉蒸果,zhu'ye'fen'zheng'guo
猪胰粥,zhu'yi'zhou
竹蔗红萝卜猪骨汤,zhu'zhe'hong'luo'bo'zhu'gu'tang
竹蔗芫荽汤,zhu'zhe'yan'sui'tang
抓炒大虾,zhua'chao'da'xia
抓炒对虾,zhua'chao'dui'xia
抓炒里脊,zhua'chao'li'ji
抓炒鲤鱼,zhua'chao'li'yu
抓炒鱼片,zhua'chao'yu'pian
抓炒鱼仁,zhua'chao'yu'ren
状元卤味,zhuang'yuan'lu'wei
紫盖肉,zi'gai'rou
自贡水煮牛肉,zi'gong'shui'zhu'niu'rou
紫桂焖大排,zi'gui'men'da'pai
子姜鸭,zi'jiang'ya
子萝卜汤,zi'luo'bo'tang
紫萝牛肉,zi'luo'niu'rou
紫苏黑枣饮,zi'su'hei'zao'yin
紫苏红枣汤,zi'su'hong'zao'tang
紫苏甜姜茶,zi'su'tian'jiang'cha
梓潼片粉,zi'tong'pian'fen
紫苋菜粥,zi'xian'cai'zhou
滋阴丰乳银耳汤,zi'yin'feng'ru'yin'er'tang
子鱼勒丸子汤,zi'yu'le'wan'zi'tang
总汇沙拉,zong'hui'sha'la
走油肉,zou'you'rou
组庵鱼翅,zu'an'yu'chi
醉蚌肉,zui'bang'rou
醉活虾,zui'huo'xia
醉鸡核桃鸡条,zui'ji'he'tao'ji'tiao
醉菊鱼片,zui'ju'yu'pian
醉排骨,zui'pai'gu
