阿母种桃云海际,a'mu'zhong'tao'yun'hai'ji
层波一震荡,ceng'bo'yi'zhen'dang
层波犹注人,ceng'bo'you'zhu'ren
层城十二阙,ceng'cheng'shi'er'que
曾将比君子,ceng'jiang'bi'jun'zi
曾将黄鹤楼上吹,ceng'jiang'huang'he'lou'shang'chui
曾经谢病各游梁,ceng'jing'xie'bing'ge'you'liang
曾澜七百里,ceng'lan'qi'bai'li
曾伤六翮养初齐,ceng'shang'liu'he'yang'chu'qi
曾是平生游,ceng'shi'ping'sheng'you
曾是先贤翔集地,ceng'shi'xian'xian'xiang'ji'di
曾随织女渡天河,ceng'sui'zhi'nv'du'tian'he
曾忝扬州荐,ceng'tian'yang'zhou'jian
曾脱素衣参幕客,ceng'tuo'su'yi'can'mu'ke
曾为鹏鸟赋,ceng'wei'peng'niao'fu
曾闻天宝末,ceng'wen'tian'bao'mo
曾闻奏六英,ceng'wen'zou'liu'ying
曾无侍史与焚香,ceng'wu'shi'shi'yu'fen'xiang
曾向成都住草堂,ceng'xiang'cheng'du'zhu'cao'tang
曾向空门学坐禅,ceng'xiang'kong'men'xue'zuo'chan
曾依京口居,ceng'yi'jing'kou'ju
曾游仙迹见丰碑,ceng'you'xian'ji'jian'feng'bei
曾与美人桥上别,ceng'yu'mei'ren'qiao'shang'bie
曾遭飞语十年谪,ceng'zao'fei'yu'shi'nian'zhe
曾照青青年少时,ceng'zhao'qing'qing'nian'shao'shi
曾主鱼书轻刺史,ceng'zhu'yu'shu'qing'ci'shi
曾作关中客,ceng'zuo'guan'zhong'ke
差池燕羽回,cha'chi'yan'yu'hui
插花女儿弹银筝,cha'hua'nv'er'tan'yin'zheng
茶炉依绿笋,cha'lu'yi'lv'sun
姹女飞丹砂,cha'nv'fei'dan'sha
槎牙玉山碎,cha'ya'yu'shan'sui
插羽扬金羁,cha'yu'yang'jin'ji
钗影钏文浮荡漾,chai'ying'chuan'wen'fu'dang'yang
禅客学禅兼学文,chan'ke'xue'chan'jian'xue'wen
蝉鸣官树引行车,chan'ming'guan'shu'yin'xing'che
缠绕一枝高,chan'rao'yi'zhi'gao
蝉声听尽到寒螀,chan'sheng'ting'jin'dao'han'jiang
蝉声未发前,chan'sheng'wei'fa'qian
浐水送君君不还,chan'shui'song'jun'jun'bu'huan
禅思何妨在玉琴,chan'si'he'fang'zai'yu'qin
孱颜傲林薄,chan'yan'ao'lin'bo
潺湲日夜无穷已,chan'yuan'ri'ye'wu'qiong'yi
潺湲涕交颐,chan'yuan'ti'jiao'yi
蝉韵极清切,chan'yun'ji'qing'qie
蝉噪芳意尽,chan'zao'fang'yi'jin
长爱街西风景闲,chang'ai'jie'xi'feng'jing'xian
长安百花时,chang'an'bai'hua'shi
长安北望三千里,chang'an'bei'wang'san'qian'li
长安二月花满城,chang'an'er'yue'hua'man'cheng
长安厩吏送朱轮,chang'an'jiu'li'song'zhu'lun
长安旧游四十载,chang'an'jiu'you'si'shi'zai
长安陌上无穷树,chang'an'mo'shang'wu'qiong'shu
长安铜雀鸣,chang'an'tong'que'ming
长安远如日,chang'an'yuan'ru'ri
长安真大处,chang'an'zhen'da'chu
长伴吹箫别有人,chang'ban'chui'xiao'bie'you'ren
长熛烘舳舻,chang'biao'hong'zhu'lu
长泊起秋色,chang'bo'qi'qiu'se
长岑思亭伯,chang'cen'si'ting'bo
常乘鲍氏骢,chang'cheng'bao'shi'cong
尝承三接恩,chang'cheng'san'jie'en
长刀短笠去烧畬,chang'dao'duan'li'qu'shao'she
唱得凉州意外声,chang'de'liang'zhou'yi'wai'sheng
嫦娥破镜斜,chang'e'po'jing'xie
唱和五音调,chang'he'wu'yin'diao
长恨人心不如水,chang'hen'ren'xin'bu'ru'shui
常恨言语浅,chang'hen'yan'yu'qian
长鬟如云衣似雾,chang'huan'ru'yun'yi'si'wu
长鬟弱袂动参差,chang'huan'ruo'mei'dong'cen'ci
场黄堆晚稻,chang'huang'dui'wan'dao
长铗不复弹,chang'jia'bu'fu'tan
长江凝练树无风,chang'jiang'ning'lian'shu'wu'feng
长嗟人与弦俱绝,chang'jie'ren'yu'xian'ju'jue
唱尽新词欢不见,chang'jin'xin'ci'huan'bu'jian
尝经历险艰,chang'jing'li'xian'jian
常居此祈年,chang'ju'ci'qi'nian
长裾来谒我,chang'ju'lai'ye'wo
长居青云路,chang'ju'qing'yun'lu
长裾委襞积,chang'ju'wei'bi'ji
常恐风雨多,chang'kong'feng'yu'duo
长空悠悠霁日悬,chang'kong'you'you'ji'ri'xuan
长袂女郎簪翠翘,chang'mei'nv'lang'zan'cui'qiao
阊门草萋萋,chang'men'cao'qi'qi
长门帐开来照泪,chang'men'zhang'kai'lai'zhao'lei
长明灯是前朝焰,chang'ming'deng'shi'qian'chao'yan
常奴安得似方回,chang'nu'an'de'si'fang'hui
尝披燕公传,chang'pi'yan'gong'chuan
长贫望岁登,chang'pin'wang'sui'deng
长频相见是何人,chang'pin'xiang'jian'shi'he'ren
怅然忆吾庐,chang'ran'yi'wu'lu
长沙地卑湿,chang'sha'di'bei'shi
长沙男子东林师,chang'sha'nan'zi'dong'lin'shi
长生尚学致,chang'sheng'shang'xue'zhi
常时并冕奉天颜,chang'shi'bing'mian'feng'tian'yan
常侍郊迎负文弩,chang'shi'jiao'ying'fu'wen'nu
常时同砚席,chang'shi'tong'yan'xi
常时载笔窥金匮,chang'shi'zai'bi'kui'jin'kui
常说摩围似灵鹫,chang'shuo'mo'wei'si'ling'jiu
常谈即至理,chang'tan'ji'zhi'li
长听馀风送天乐,chang'ting'yu'feng'song'tian'le
怅望怀远程,chang'wang'huai'yuan'cheng
尝闻履忠信,chang'wen'lv'zhong'xin
尝闻平楚狱,chang'wen'ping'chu'yu
尝闻祝融峰,chang'wen'zhu'rong'feng
唱兄诗送一杯,chang'xiong'shi'song'yi'bei
常修清净去繁华,chang'xiu'qing'jing'qu'fan'hua
长袖入华裀,chang'xiu'ru'hua'yin
长杨收羽骑,chang'yang'shou'yu'qi
长忆德星看,chang'yi'de'xing'kan
长忆梁王逸兴多,chang'yi'liang'wang'yi'xing'duo
长吟尽日西南望,chang'yin'jin'ri'xi'nan'wang
长吟下书帷,chang'yin'xia'shu'wei
长照夜灯前,chang'zhao'ye'deng'qian
唱著君王自作词,chang'zhu'jun'wang'zi'zuo'ci
常擢制科之首,chang'zhuo'zhi'ke'zhi'shou
长作主人翁,chang'zuo'zhu'ren'weng
朝晡影入东西墙,chao'bu'ying'ru'dong'xi'qiang
朝辞官军驿,chao'ci'guan'jun'yi
潮打空城寂寞回,chao'da'kong'cheng'ji'mo'hui
朝服不妨游洛浦,chao'fu'bu'fang'you'luo'pu
朝服归来昼锦荣,chao'fu'gui'lai'zhou'jin'rong
朝回自走车,chao'hui'zi'zou'che
朝来入庭树,chao'lai'ru'ting'shu
朝来乐府长歌曲,chao'lai'yue'fu'chang'ge'qu
潮满冶城渚,chao'man'ye'cheng'zhu
巢幕方犹燕,chao'mu'fang'you'yan
潮平归思悬,chao'ping'gui'si'xuan
巢禽命子戏,chao'qin'ming'zi'xi
朝驱旌旆行时令,chao'qu'jing'pei'xing'shi'ling
朝士忽为方外士,chao'shi'hu'wei'fang'wai'shi
朝廷侍郎来慰抚,chao'ting'shi'lang'lai'wei'fu
朝廷有直声,chao'ting'you'zhi'sheng
朝阳辟帝阍,chao'yang'pi'di'hun
朝阳有鸣凤,chao'yang'you'ming'feng
朝阳照瀑水,chao'yang'zhao'pu'shui
朝缨不称濯沧浪,chao'ying'bu'chen'zhuo'cang'lang
朝雨洒高林,chao'yu'sa'gao'lin
车马到门稀,che'ma'dao'men'xi
车骑方休汝,che'qi'fang'xiu'ru
车书一以混,che'shu'yi'yi'hun
车音想辚辚,che'yin'xiang'lin'lin
尘埃长者辙,chen'ai'zhang'zhe'zhe
尘暗宫墙外,chen'an'gong'qiang'wai
尘暗燕南垂,chen'an'yan'nan'chui
陈蕃礼高士,chen'bo'li'gao'shi
沉沉夏夜兰堂开,chen'chen'xia'ye'lan'tang'kai
陈根腐叶秋萤光,chen'gen'fu'ye'qiu'ying'guang
晨间先入耳,chen'jian'xian'ru'er
晨窥苑树韶光动,chen'kui'yuan'shu'shao'guang'dong
尘累与时深,chen'lei'yu'shi'shen
臣恋捧弓号,chen'lian'peng'gong'hao
尘虑乃冰释,chen'lv'nai'bing'shi
尘满鸿沟道,chen'man'hong'gou'dao
瞋目光激射,chen'mu'guang'ji'she
沉潜得地灵,chen'qian'de'di'ling
沉日下西山,chen'ri'xia'xi'shan
尘涩剑成痕,chen'se'jian'cheng'hen
尘世欢娱开意少,chen'shi'huan'yu'kai'yi'shao
尘土荆门路,chen'tu'jing'men'lu
尘土与烟霞,chen'tu'yu'yan'xia
尘污腰间青襞绶,chen'wu'yao'jian'qing'bi'shou
尘息长道白,chen'xi'chang'dao'bai
沉香帖阁柱,chen'xiang'tie'ge'zhu
尘心如垢洗不去,chen'xin'ru'gou'xi'bu'qu
尘衣纷未解,chen'yi'fen'wei'jie
沉约台榭故,chen'yue'tai'xie'gu
尘中见月心亦闲,chen'zhong'jian'yue'xin'yi'xian
沉舟侧畔千帆过,chen'zhou'ce'pan'qian'fan'guo
承彼清夜露,cheng'bi'qing'ye'lu
城边流水桃花过,cheng'bian'liu'shui'tao'hua'guo
澄澄洛水湾,cheng'cheng'luo'shui'wan
城池表里春,cheng'chi'biao'li'chun
城东闲游,cheng'dong'xian'you
城高粉堞明,cheng'gao'fen'die'ming
成功别大垆,cheng'gong'bie'da'lu
城基历汉魏,cheng'ji'li'han'wei
称嗟响画堂,cheng'jie'xiang'hua'tang
乘樏不来广乐绝,cheng'lei'bu'lai'guang'le'jue
城楼四望出风尘,cheng'lou'si'wang'chu'feng'chen
承露台前转仙掌,cheng'lu'tai'qian'zhuan'xian'zhang
承明欲谒先相报,cheng'ming'yu'ye'xian'xiang'bao
城南踏青处,cheng'nan'ta'qing'chu
乘暖著轻衣,cheng'nuan'zhu'qing'yi
乘时播大钧,cheng'shi'bo'da'jun
乘时取重轻,cheng'shi'qu'zhong'qing
城守鲁将军,cheng'shou'lu'jiang'jun
澄潭环钓矶,cheng'tan'huan'diao'ji
城头鼓角音和平,cheng'tou'gu'jiao'yin'he'ping
城头鹤立处,cheng'tou'he'li'chu
城外草黄秋有雪,cheng'wai'cao'huang'qiu'you'xue
城外春风吹酒旗,cheng'wai'chun'feng'chui'jiu'qi
城外园林初夏天,cheng'wai'yuan'lin'chu'xia'tian
骋望羡游云,cheng'wang'xian'you'yun
城西簇簇三叛族,cheng'xi'cu'cu'san'pan'zu
城西门前滟滪堆,cheng'xi'men'qian'yan'yu'dui
城西人散泰阶平,cheng'xi'ren'san'tai'jie'ping
城下长河竹箭回,cheng'xia'chang'he'zhu'jian'hui
城下清波含百谷,cheng'xia'qing'bo'han'bai'gu
成贤必念旧,cheng'xian'bi'nian'jiu
丞相并州寄马来,cheng'xiang'bing'zhou'ji'ma'lai
丞相新家伊水头,cheng'xiang'xin'jia'yi'shui'tou
城晓乌频起,cheng'xiao'wu'pin'qi
城形象帝车,cheng'xing'xiang'di'che
承颜九族亲,cheng'yan'jiu'zu'qin
乘阳拆牙孽,cheng'yang'chai'ya'nie
成谣独酌后,cheng'yao'du'zhuo'hou
城隅日未过,cheng'yu'ri'wei'guo
乘云遂不还,cheng'yun'sui'bu'huan
城中桃李须臾尽,cheng'zhong'tao'li'xu'yu'jin
城中无贼天气和,cheng'zhong'wu'zei'tian'qi'he
城中无昼尘,cheng'zhong'wu'zhou'chen
池边绿竹桃李花,chi'bian'lv'zhu'tao'li'hua
赤波千万里,chi'bo'qian'wan'li
迟迟未去非无意,chi'chi'wei'qu'fei'wu'yi
迟迟有情处,chi'chi'you'qing'chu
池春雁欲回,chi'chun'yan'yu'hui
持此重咨嗟,chi'ci'zhong'zi'jie
池带乱苔青,chi'dai'luan'tai'qing
池馆今正好,chi'guan'jin'zheng'hao
赤光低复起,chi'guang'di'fu'qi
鶗鴂催众芳,chi'gui'cui'zhong'fang
鶗鴂吟,chi'gui'yin
池鹤今无子和声,chi'he'jin'wu'zi'he'sheng
池荷香暗飘,chi'he'xiang'an'piao
池荷雨后衣香起,chi'he'yu'hou'yi'xiang'qi
迟回顾徒御,chi'hui'gu'tu'yu
迟回好风景,chi'hui'hao'feng'jing
迟回听句偈,chi'hui'ting'ju'ji
赤鸡鸣且啄,chi'ji'ming'qie'zhuo
持节东行捧德音,chi'jie'dong'xing'peng'de'yin
赤堇多奇铓,chi'jin'duo'qi'mang
池看科斗成文字,chi'kan'ke'dou'cheng'wen'zi
赤龙游玄都,chi'long'you'xuan'dou
赤旗指麾不敢嚣,chi'qi'zhi'hui'bu'gan'xiao
池清竹径斜,chi'qing'zhu'jing'xie
赤泉侯在是深恩,chi'quan'hou'zai'shi'shen'en
翅如车轮而已矣,chi'ru'che'lun'er'yi'yi
池色连天汉,chi'se'lian'tian'han
池上芙蕖净少情,chi'shang'fu'qu'jing'shao'qing
池上一徘徊,chi'shang'yi'pai'huai
池上月未来,chi'shang'yue'wei'lai
驰声气尚吞,chi'sheng'qi'shang'tun
驰声溢四塞,chi'sheng'yi'si'sai
齿衰亲药物,chi'shuai'qin'yao'wu
池台乐事尽,chi'tai'le'shi'jin
池台竹树三亩馀,chi'tai'zhu'shu'san'mu'yu
炽炭烘蹲兽,chi'tan'hong'dun'shou
池塘鱼拨剌,chi'tang'yu'bo'la
鸱乌欲伺隙,chi'wu'yu'si'xi
池榭堪临泛,chi'xie'kan'lin'fan
驰心拱北辰,chi'xin'gong'bei'chen
鸱夷倾底写,chi'yi'qing'di'xie
赤玉雕成彪炳毛,chi'yu'diao'cheng'biao'bing'mao
持斋已满招闲客,chi'zhai'yi'man'zhao'xian'ke
叱之使人立,chi'zhi'shi'ren'li
翅重飞不得,chi'zhong'fei'bu'de
虫翅晓薨薨,chong'chi'xiao'hong'hong
重叠稽亭路,chong'die'ji'ting'lu
重叠受恩久,chong'die'shou'en'jiu
舂谷渡桥鸣,chong'gu'du'qiao'ming
重见帝城春,chong'jian'di'cheng'chun
重见平生竺道人,chong'jian'ping'sheng'zhu'dao'ren
重见天宝承平时,chong'jian'tian'bao'cheng'ping'shi
崇兰迎风绿泛艳,chong'lan'ying'feng'lv'fan'yan
重临事异黄丞相,chong'lin'shi'yi'huang'cheng'xiang
冲落半岩花,chong'luo'ban'yan'hua
冲融顿挫心使指,chong'rong'dun'cuo'xin'shi'zhi
冲天威凤归,chong'tian'wei'feng'gui
重为长裾客,chong'wei'chang'ju'ke
重修东观帝王书,chong'xiu'dong'guan'di'wang'shu
重振高阳族,chong'zhen'gao'yang'zu
惆怅江南春,chou'chang'jiang'nan'chun
愁肠正遇断猿时,chou'chang'zheng'yu'duan'yuan'shi
酬窦员外使君,chou'dou'yuan'wai'shi'jun
酬湖州崔郎中见寄,chou'hu'zhou'cui'lang'zhong'jian'ji
愁寂对芳菲,chou'ji'dui'fang'fei
雠家白官先请肉,chou'jia'bai'guan'xian'qing'rou
酬乐天感秋凉见寄,chou'le'tian'gan'qiu'liang'jian'ji
酬乐天见寄,chou'le'tian'jian'ji
酬乐天衫酒见寄,chou'le'tian'shan'jiu'jian'ji
酬乐天闻新蝉见赠,chou'le'tian'wen'xin'chan'jian'zeng
酬乐天闲卧见寄,chou'le'tian'xian'wo'jian'ji
酬乐天咏老见示,chou'le'tian'yong'lao'jian'shi
酬令狐相公见寄,chou'ling'hu'xiang'gong'jian'ji
酬令狐相公赠别,chou'ling'hu'xiang'gong'zeng'bie
酬柳柳州家鸡之赠,chou'liu'liu'zhou'jia'ji'zhi'zeng
抽刃妒名倡,chou'ren'du'ming'chang
酬太原狄尚书见寄,chou'tai'yuan'di'shang'shu'jian'ji
愁听晨鸡鸣,chou'ting'chen'ji'ming
抽弦缓调怨且长,chou'xian'huan'tiao'yuan'qie'chang
愁心醉不惛,chou'xin'zui'bu'hun
酬宣州崔大夫见寄,chou'xuan'zhou'cui'dai'fu'jian'ji
酬杨侍郎凭见寄,chou'yang'shi'lang'ping'jian'ji
酬杨司业巨源见寄,chou'yang'si'ye'ju'yuan'jian'ji
愁吟月落犹望,chou'yin'yue'luo'you'wang
愁猿数处声,chou'yuan'shu'chu'sheng
愁噪夕阳枝,chou'zao'xi'yang'zhi
酬赠骈珠玑,chou'zeng'pian'zhu'ji
初哀狂童袭故事,chu'ai'kuang'tong'xi'gu'shi
楚城春欲归,chu'cheng'chun'yu'gui
处处多情洛阳道,chu'chu'duo'qing'luo'yang'dao
处处拂归鞍,chu'chu'fu'gui'an
处处将行步步随,chu'chu'jiang'xing'bu'bu'sui
处处闻弦管,chu'chu'wen'xian'guan
初辞水府出,chu'ci'shui'fu'chu
初对将军映画旗,chu'dui'jiang'jun'ying'hua'qi
初逢贞元尚文主,chu'feng'zhen'yuan'shang'wen'zhu
初服已惊玄发长,chu'fu'yi'jing'xuan'fa'chang
楚关蕲水路非赊,chu'guan'qi'shui'lu'fei'she
初归鬓已衰,chu'gui'bin'yi'shuai
出号夜翻营,chu'hao'ye'fan'ying
初见相如成赋日,chu'jian'xiang'ru'cheng'fu'ri
楚江多芷兰,chu'jiang'duo'zhi'lan
初开郢客缄封后,chu'kai'ying'ke'jian'feng'hou
楚客逢秋心更悲,chu'ke'feng'qiu'xin'geng'bei
楚客临江心事违,chu'ke'lin'jiang'xin'shi'wei
楚客忆关中,chu'ke'yi'guan'zhong
楚客欲闻瑶瑟怨,chu'ke'yu'wen'yao'se'yuan
初怜北户开,chu'lian'bei'hu'kai
初莲爇香注,chu'lian'ruo'xiang'zhu
出门有远道,chu'men'you'yuan'dao
初佩银鱼随仗入,chu'pei'yin'yu'sui'zhang'ru
除却麻姑更有谁,chu'que'ma'gu'geng'you'shui
初日遍露草,chu'ri'bian'lu'cao
出入金华省,chu'ru'jin'hua'sheng
出入金马门,chu'ru'jin'ma'men
出入香街宿禁扃,chu'ru'xiang'jie'su'jin'jiong
楚塞郁重叠,chu'sai'yu'chong'die
出山初似无心云,chu'shan'chu'si'wu'xin'yun
楚山萧萧笛竹秋,chu'shan'xiao'xiao'di'zhu'qiu
处身于木雁,chu'shen'yu'mu'yan
楚水巴山江雨多,chu'shui'ba'shan'jiang'yu'duo
楚水多兰芷,chu'shui'duo'lan'zhi
初随优诏还,chu'sui'you'zhao'hai
处屯道犹泰,chu'tun'dao'you'tai
楚挽咽繁声,chu'wan'yan'fan'sheng
楚望何苍然,chu'wang'he'cang'ran
初闻百舌间关啼,chu'wen'bai'she'jian'guan'ti
出文入武是全才,chu'wen'ru'wu'shi'quan'cai
初喜渡河汉,chu'xi'du'he'han
初夏曲三首,chu'xia'qu'san'shou
楚乡寒食橘花时,chu'xiang'han'shi'ju'hua'shi
楚乡祝融分,chu'xiang'zhu'rong'fen
初心不可忘,chu'xin'bu'ke'wang
初阳动暄妍,chu'yang'dong'xuan'yan
楚野花多思,chu'ye'hua'duo'si
初疑磊落曙天星,chu'yi'lei'luo'shu'tian'xing
初移造物权,chu'yi'zao'wu'quan
楚泽雪初霁,chu'ze'xue'chu'ji
出震清多难,chu'zhen'qing'duo'nan
出震统乾坤,chu'zhen'tong'qian'kun
初自塞垣衔苜蓿,chu'zi'sai'yuan'xian'mu'xu
楚奏絷钟仪,chu'zou'zhi'zhong'yi
出祖千夫拥,chu'zu'qian'fu'yong
传灯已悟无为理,chuan'deng'yi'wu'wu'wei'li
传呵步紫垣,chuan'he'bu'zi'yuan
传家宝祚蕃,chuan'jia'bao'zuo'bo
传看千万眼,chuan'kan'qian'wan'yan
传名入帝里,chuan'ming'ru'di'li
川平旗自飘,chuan'ping'qi'zi'piao
川色晴犹远,chuan'se'qing'you'yuan
传圣法殷家,chuan'sheng'fa'yin'jia
船头大铜镮,chuan'tou'da'tong'huan
川原呈上瑞,chuan'yuan'cheng'shang'rui
怆然寄赠,chuang'ran'ji'zeng
窗下尘满琴,chuang'xia'chen'man'qin
床下阜乡舄,chuang'xia'fu'xiang'xi
窗中远岫列三茅,chuang'zhong'yuan'xiu'lie'san'mao
垂带覆纤腰,chui'dai'fu'xian'yao
垂钓取韬钤,chui'diao'qu'tao'qian
吹焚照水府,chui'fen'zhao'shui'fu
垂钩钓得王馀鱼,chui'gou'diao'de'wang'yu'yu
垂钩入空隙,chui'gou'ru'kong'xi
吹尽狂沙始到金,chui'jin'kuang'sha'shi'dao'jin
垂仁轻槁街,chui'ren'qing'gao'jie
垂梢覆内屏,chui'shao'fu'nei'ping
垂天虽暂息,chui'tian'sui'zan'xi
吹云阴阵成,chui'yun'yin'zhen'cheng
垂珠璀璨拂三衣,chui'zhu'cui'can'fu'san'yi
垂竹愧无名,chui'zhu'kui'wu'ming
春城三百七十桥,chun'cheng'san'bai'qi'shi'qiao
春堤缭绕水徘徊,chun'di'liao'rao'shui'pai'huai
春风处处有甘棠,chun'feng'chu'chu'you'gan'tang
春风吹浪正淘沙,chun'feng'chui'lang'zheng'tao'sha
春风旧关路,chun'feng'jiu'guan'lu
春风连夜动,chun'feng'lian'ye'dong
春风乱飐辟邪旗,chun'feng'luan'zhan'bi'xie'qi
春风一曲杜韦娘,chun'feng'yi'qu'du'wei'niang
春风引路入京城,chun'feng'yin'lu'ru'jing'cheng
春归棠棣华,chun'gui'tang'di'hua
春还迟君至,chun'hai'chi'jun'zhi
春和秋霁野花开,chun'he'qiu'ji'ye'hua'kai
春江千里草,chun'jiang'qian'li'cao
春江一曲柳千条,chun'jiang'yi'qu'liu'qian'tiao
春江月出大堤平,chun'jiang'yue'chu'da'di'ping
春尽絮花留不得,chun'jin'xu'hua'liu'bu'de
春来绰约向人时,chun'lai'chuo'yue'xiang'ren'shi
春来群乌噪且惊,chun'lai'qun'wu'zao'qie'jing
春来山事好,chun'lai'shan'shi'hao
春来映竹抽新茸,chun'lai'ying'zhu'chou'xin'rong
春来自何处,chun'lai'zi'he'chu
春明门外即天涯,chun'ming'men'wai'ji'tian'ya
春暮却伤心,chun'mu'que'shang'xin
春情何处寻,chun'qing'he'chu'xun
春日书怀,chun'ri'shu'huai
春日退朝,chun'ri'tui'chao
春入凤凰城,chun'ru'feng'huang'cheng
春色无情故,chun'se'wu'qing'gu
春山携妓采茶时,chun'shan'xie'ji'cai'cha'shi
春深阿母家,chun'shen'a'mu'jia
春深唱第家,chun'shen'chang'di'jia
春深刺史家,chun'shen'ci'shi'jia
春深大镇家,chun'shen'da'zhen'jia
春深恩泽家,chun'shen'en'ze'jia
春深富室家,chun'shen'fu'shi'jia
春深贵戚家,chun'shen'gui'qi'jia
春深贵胄家,chun'shen'gui'zhou'jia
春深豪士家,chun'shen'hao'shi'jia
春深京兆家,chun'shen'jing'zhao'jia
春深兰若家,chun'shen'lan'ruo'jia
春深老宿家,chun'shen'lao'su'jia
春深少妇家,chun'shen'shao'fu'jia
春深万乘家,chun'shen'wan'sheng'jia
春深小隐家,chun'shen'xiao'yin'jia
春深幼女家,chun'shen'you'nv'jia
春深羽客家,chun'shen'yu'ke'jia
春深执政家,chun'shen'zhi'zheng'jia
春深稚子家,chun'shen'zhi'zi'jia
春深种莳家,chun'shen'zhong'shi'jia
春晚思悠哉,chun'wan'si'you'zai
春望多洲沚,chun'wang'duo'zhou'zhi
春意日夕深,chun'yi'ri'xi'shen
春有情篇,chun'you'qing'pian
春雨同栽树,chun'yu'tong'zai'shu
春雨沾衣襟,chun'yu'zhan'yi'jin
春早见花枝,chun'zao'jian'hua'zhi
此必相嘲嗤,ci'bi'xiang'chao'chi
此别不销魂,ci'bie'bu'xiao'hun
赐冰满碗沉朱实,ci'bing'man'wan'chen'zhu'shi
此地不淹留,ci'di'bu'yan'liu
此地非吾士,ci'di'fei'wu'shi
此地还成要路津,ci'di'hai'cheng'yao'lu'jin
此地接炎州,ci'di'jie'yan'zhou
次第来入荆门道,ci'di'lai'ru'jing'men'dao
次第应须旧谏臣,ci'di'ying'xu'jiu'jian'chen
此地阻长风,ci'di'zu'chang'feng
赐告卧漳滨,ci'gao'wo'zhang'bin
赐环期自赊,ci'huan'qi'zi'she
此欢无断绝,ci'huan'wu'duan'jue
此会虽数心无厌,ci'hui'sui'shu'xin'wu'yan
次见搏击三秋兵,ci'jian'bo'ji'san'qiu'bing
此君若欲长相见,ci'jun'ruo'yu'chang'xiang'jian
此乃杯水滨,ci'nai'bei'shui'bin
此去何时回,ci'qu'he'shi'hui
词人各在一涯居,ci'ren'ge'zai'yi'ya'ju
词人羞布鼓,ci'ren'xiu'bu'gu
词人作尹本多情,ci'ren'zuo'yin'ben'duo'qing
此日佣工记名姓,ci'ri'yong'gong'ji'ming'xing
词胜命仲宣,ci'sheng'ming'zhong'xuan
此时方见秋,ci'shi'fang'jian'qiu
此事今同梦想间,ci'shi'jin'tong'meng'xiang'jian
此时立在最高山,ci'shi'li'zai'zui'gao'shan
刺史临流褰翠帏,ci'shi'lin'liu'qian'cui'wei
此时偏动子荆才,ci'shi'pian'dong'zi'jing'cai
此时情岂任,ci'shi'qing'qi'ren
此时同雁鹜,ci'shi'tong'yan'wu
此时一行出人意,ci'shi'yi'xing'chu'ren'yi
此时意重千金轻,ci'shi'yi'zhong'qian'jin'qing
此时犹晤语,ci'shi'you'wu'yu
此岁方晼晚,ci'sui'fang'wan'wan
赐燕聆箫韶,ci'yan'ling'xiao'shao
此夜独归还乞梦,ci'ye'du'gui'huan'qi'meng
琮璧交辉映,cong'bi'jiao'hui'ying
从此不相见,cong'ci'bu'xiang'jian
从此东山非昔游,cong'ci'dong'shan'fei'xi'you
从此多逢大居士,cong'ci'duo'feng'da'ju'shi
丛祠发迥笳,cong'ci'fa'jiong'jia
从此孤舟去,cong'ci'gu'zhou'qu
从此洛阳社,cong'ci'luo'yang'she
从此期君比琼树,cong'ci'qi'jun'bi'qiong'shu
从此山头似人石,cong'ci'shan'tou'si'ren'shi
从此世人开耳目,cong'ci'shi'ren'kai'er'mu
从此同桑枣,cong'ci'tong'sang'zao
从此脱青衣,cong'ci'tuo'qing'yi
从此西归路,cong'ci'xi'gui'lu
从此因君染更深,cong'ci'yin'jun'ran'geng'shen
从此知名在一言,cong'ci'zhi'ming'zai'yi'yan
从发坡头向东望,cong'fa'po'tou'xiang'dong'wang
从风卷舒来何处,cong'feng'juan'shu'lai'he'chu
从风夏云势,cong'feng'xia'yun'shi
从宦出丘樊,cong'huan'chu'qiu'fan
从今别君后,cong'jin'bie'jun'hou
从今纸贵后,cong'jin'zhi'gui'hou
从君勇断抛名后,cong'jun'yong'duan'pao'ming'hou
从来别离地,cong'lai'bie'li'di
从来不堕马,cong'lai'bu'duo'ma
从来海上仙桃树,cong'lai'hai'shang'xian'tao'shu
从来送客处,cong'lai'song'ke'chu
从来天下推尤物,cong'lai'tian'xia'tui'you'wu
从来尤物不长生,cong'lai'you'wu'bu'chang'sheng
丛兰裛露似沾巾,cong'lan'yi'lu'si'zhan'jin
从郎西入帝城中,cong'lang'xi'ru'di'cheng'zhong
从郎镇南别城阙,cong'lang'zhen'nan'bie'cheng'que
淙流冒石下,cong'liu'mao'shi'xia
葱茏含晚景,cong'long'han'wan'jing
从容领儒冠,cong'rong'ling'ru'guan
从容占光景,cong'rong'zhan'guang'jing
从容自使边尘静,cong'rong'zi'shi'bian'chen'jing
从试春官卿,cong'shi'chun'guan'qing
从是尔啼时,cong'shi'er'ti'shi
从事岁云除,cong'shi'sui'yun'chu
从事中郎旧路归,cong'shi'zhong'lang'jiu'lu'gui
从星变风雨,cong'xing'bian'feng'yu
从一韵至七,cong'yi'yun'zhi'qi
从兹播乐章,cong'zi'bo'yue'zhang
蹙成山岿硊,cu'cheng'shan'kui'wei
簇簇淮阴市,cu'cu'huai'yin'shi
促促事晨征,cu'cu'shi'chen'zheng
促思闻候虫,cu'si'wen'hou'chong
