阿保之功,a'bao'zhi'gong
隋珠弹雀,sui'zhu'tan'que
随珠弹雀,sui'zhu'tan'que
损兵折将,sun'bing'zhe'jiang
损公肥私,sun'gong'fei'si
孙康映雪,sun'kang'ying'xue
孙庞斗智,sun'pang'dou'zhi
损人害己,sun'ren'hai'ji
损人利己,sun'ren'li'ji
损上益下,sun'shang'yi'xia
损之又损,sun'zhi'you'sun
缩成一团,suo'cheng'yi'tuan
所当无敌,suo'dang'wu'di
所费不赀,suo'fei'bu'zi
索垢吹瘢,suo'gou'chui'ban
索垢寻疵,suo'gou'xun'ci
所见所闻,suo'jian'suo'wen
索然寡味,suo'ran'gua'wei
索然无味,suo'ran'wu'wei
所剩无几,suo'sheng'wu'ji
缩手缩脚,suo'shou'suo'jiao
缩头缩脑,suo'tou'suo'nao
所向克捷,suo'xiang'ke'jie
所向披靡,suo'xiang'pi'mi
所向无敌,suo'xiang'wu'di
所向无前,suo'xiang'wu'qian
缩衣啬食,suo'yi'se'shi
所在皆是,suo'zai'jie'shi
所作所为,suo'zuo'suo'wei
嗒然若丧,ta'ran'ruo'sang
他山攻错,ta'shan'gong'cuo
他山之石,ta'shan'zhi'shi
他乡故知,ta'xiang'gu'zhi
他乡异县,ta'xiang'yi'xian
太仓稊米,tai'cang'ti'mi
太仓一粟,tai'cang'yi'su
太阿倒持,tai'e'dao'chi
太公钓鱼,tai'gong'diao'yu
泰来否往,tai'lai'pi'wang
汰劣留良,tai'lie'liu'liang
太平无事,tai'ping'wu'shi
泰然处之,tai'ran'chu'zhi
泰然自若,tai'ran'zi'ruo
泰山北斗,tai'shan'bei'dou
泰山不让土壤,tai'shan'bu'rang'tu'rang
泰山鸿毛,tai'shan'hong'mao
泰山盘石,tai'shan'pan'shi
泰山磐石,tai'shan'pan'shi
泰山其颓,tai'shan'qi'tui
泰山压顶,tai'shan'ya'ding
泰山压卵,tai'shan'ya'luan
太上忘情,tai'shang'wang'qing
胎死腹中,tai'si'fu'zhong
太岁头上动土,tai'sui'tou'shang'dong'tu
谈不容口,tan'bu'rong'kou
贪财好色,tan'cai'hao'se
贪吃懒做,tan'chi'lan'zuo
贪得无厌,tan'de'wu'yan
贪多嚼不烂,tan'duo'jiao'bu'lan
贪多务得,tan'duo'wu'de
坦腹东床,tan'fu'dong'chuang
贪夫徇财,tan'fu'xun'cai
谈古论今,tan'gu'lun'jin
谈古说今,tan'gu'shuo'jin
贪官污吏,tan'guan'wu'li
弹冠相庆,tan'guan'xiang'qing
弹冠振衣,tan'guan'zhen'yi
谈何容易,tan'he'rong'yi
谈虎色变,tan'hu'se'bian
昙花一现,tan'hua'yi'xian
贪贿无艺,tan'hui'wu'yi
弹斤估两,tan'jin'gu'liang
谈今论古,tan'jin'lun'gu
谈空说幻,tan'kong'shuo'huan
谈空说有,tan'kong'shuo'you
贪婪无厌,tan'lan'wu'yan
檀郎谢女,tan'lang'xie'nv
探骊得珠,tan'li'de'zhu
谈论风生,tan'lun'feng'sheng
痰迷心窍,tan'mi'xin'qiao
探囊取物,tan'nang'qu'wu
贪求无厌,tan'qiu'wu'yan
坦然自若,tan'ran'zi'ruo
贪蛇忘尾,tan'she'wang'wei
贪生怕死,tan'sheng'pa'si
弹丝品竹,tan'si'pin'zhu
忐忐忑忑,tan'tan'te'te
忐忑不定,tan'te'bu'ding
谈天论地,tan'tian'lun'di
谈天说地,tan'tian'shuo'di
谭天说地,tan'tian'shuo'di
贪天之功,tan'tian'zhi'gong
探头探脑,tan'tou'tan'nao
叹为观止,tan'wei'guan'zhi
贪污腐化,tan'wu'fu'hua
袒裼裸裎,tan'xi'luo'cheng
谈笑封侯,tan'xiao'feng'hou
谈笑风生,tan'xiao'feng'sheng
贪小失大,tan'xiao'shi'da
谈笑有鸿儒,tan'xiao'you'hong'ru
谈笑自如,tan'xiao'zi'ru
谈笑自若,tan'xiao'zi'ruo
贪心不足,tan'xin'bu'zu
袒胸露背,tan'xiong'lu'bei
谈言微中,tan'yan'wei'zhong
谭言微中,tan'yan'wei'zhong
探幽索隐,tan'you'suo'yin
谈优务劣,tan'you'wu'lie
贪赃枉法,tan'zang'wang'fa
探赜索隐,tan'ze'suo'yin
弹指之间,tan'zhi'zhi'jian
螳臂当车,tang'bi'dang'che
螳臂挡车,tang'bi'dang'che
堂而皇之,tang'er'huang'zhi
堂皇富丽,tang'huang'fu'li
堂皇冠冕,tang'huang'guan'mian
堂皇正大,tang'huang'zheng'da
螳螂捕蝉,tang'lang'bu'chan
螳螂奋臂,tang'lang'fen'bi
螳螂黄雀,tang'lang'huang'que
汤去三面,tang'qu'san'mian
堂堂一表,tang'tang'yi'biao
堂堂正正,tang'tang'zheng'zheng
唐突西施,tang'tu'xi'shi
唐突西子,tang'tu'xi'zi
糖衣炮弹,tang'yi'pao'dan
唐哉皇哉,tang'zai'huang'zai
韬光敛彩,tao'guang'lian'cai
韬光养晦,tao'guang'yang'hui
韬光隐晦,tao'guang'yin'hui
桃红柳绿,tao'hong'liu'lv
桃花流水,tao'hua'liu'shui
桃花人面,tao'hua'ren'mian
桃花潭水,tao'hua'tan'shui
韬晦之计,tao'hui'zhi'ji
讨价还价,tao'jia'huan'jia
桃僵李代,tao'jiang'li'dai
饕口馋舌,tao'kou'chan'she
桃来李答,tao'lai'li'da
桃李遍天下,tao'li'bian'tian'xia
桃李春风,tao'li'chun'feng
桃李满天下,tao'li'man'tian'xia
桃李门墙,tao'li'men'qiang
桃李争妍,tao'li'zheng'yan
陶情适性,tao'qing'shi'xing
陶犬瓦鸡,tao'quan'wa'ji
陶然自得,tao'ran'zi'de
陶熔鼓铸,tao'rong'gu'zhu
滔滔不断,tao'tao'bu'duan
滔滔不尽,tao'tao'bu'jin
滔滔不绝,tao'tao'bu'jue
滔天大罪,tao'tian'da'zui
滔天之罪,tao'tian'zhi'zui
滔天罪行,tao'tian'zui'xing
饕餮之徒,tao'tie'zhi'tu
桃羞杏让,tao'xiu'xing'rang
韬曜含光,tao'yao'han'guang
桃夭李艳,tao'yao'li'yan
桃夭柳媚,tao'yao'liu'mei
叨在知己,tao'zai'zhi'ji
逃之夭夭,tao'zhi'yao'yao
特立独行,te'li'du'xing
忑忑忐忐,te'te'tan'tan
腾蛟起凤,teng'jiao'qi'feng
腾空而起,teng'kong'er'qi
腾焰飞芒,teng'yan'fei'mang
腾云驾雾,teng'yun'jia'wu
体大思精,ti'da'si'jing
提纲挈领,ti'gang'qie'ling
提纲振领,ti'gang'zhen'ling
替古人担忧,ti'gu'ren'dan'you
醍醐灌顶,ti'hu'guan'ding
啼饥号寒,ti'ji'hao'han
涕泪交加,ti'lei'jiao'jia
涕泪交零,ti'lei'jiao'ling
涕零如雨,ti'ling'ru'yu
提名道姓,ti'ming'dao'xing
梯山航海,ti'shan'hang'hai
梯山架壑,ti'shan'jia'he
涕泗横流,ti'si'heng'liu
涕泗流涟,ti'si'liu'lian
涕泗滂沱,ti'si'pang'tuo
倜傥不羁,ti'tang'bu'ji
踢天弄井,ti'tian'nong'jing
替天行道,ti'tian'xing'dao
体贴入妙,ti'tie'ru'miao
体贴入微,ti'tie'ru'wei
剔透玲珑,ti'tou'ling'long
体无完肤,ti'wu'wan'fu
体物缘情,ti'wu'yuan'qing
啼笑皆非,ti'xiao'jie'fei
剔蝎撩蜂,ti'xie'liao'feng
提要钩玄,ti'yao'gou'xuan
殢云尤雨,ti'yun'you'yu
擿埴索涂,ti'zhi'suo'tu
天保九如,tian'bao'jiu'ru
天崩地坼,tian'beng'di'che
天崩地裂,tian'beng'di'lie
天兵天将,tian'bing'tian'jiang
天不假年,tian'bu'jia'nian
恬不为怪,tian'bu'wei'guai
恬不知耻,tian'bu'zhi'chi
天不作美,tian'bu'zuo'mei
天长地久,tian'chang'di'jiu
天长地老,tian'chang'di'lao
天长日久,tian'chang'ri'jiu
天成地平,tian'cheng'di'ping
天愁地惨,tian'chou'di'can
天赐良机,tian'ci'liang'ji
天打雷劈,tian'da'lei'pi
恬淡寡欲,tian'dan'gua'yu
恬淡无为,tian'dan'wu'wei
恬淡无欲,tian'dan'wu'yu
天道无亲,tian'dao'wu'qin
天地不容,tian'di'bu'rong
天地长久,tian'di'chang'jiu
天地经纬,tian'di'jing'wei
天夺其魄,tian'duo'qi'po
天翻地覆,tian'fan'di'fu
天覆地载,tian'fu'di'zai
田夫野老,tian'fu'ye'lao
天高地厚,tian'gao'di'hou
天各一方,tian'ge'yi'fang
天公地道,tian'gong'di'dao
天寒地冻,tian'han'di'dong
天花乱坠,tian'hua'luan'zhui
天荒地老,tian'huang'di'lao
天昏地暗,tian'hun'di'an
天机不可泄漏,tian'ji'bu'ke'xie'lou
天机不可泄露,tian'ji'bu'ke'xie'lou
天经地纬,tian'jing'di'wei
天经地义,tian'jing'di'yi
天惊石破,tian'jing'shi'po
天空海阔,tian'kong'hai'kuo
天老地荒,tian'lao'di'huang
天理不容,tian'li'bu'rong
天理良心,tian'li'liang'xin
天理难容,tian'li'nan'rong
天理人情,tian'li'ren'qing
天理昭彰,tian'li'zhao'zhang
天理昭昭,tian'li'zhao'zhao
田连阡陌,tian'lian'qian'mo
天罗地网,tian'luo'di'wang
天马行空,tian'ma'xing'kong
天命有归,tian'ming'you'gui
天末凉风,tian'mo'liang'feng
天南地北,tian'nan'di'bei
天南海北,tian'nan'hai'bei
天凝地闭,tian'ning'di'bi
天怒人怨,tian'nu'ren'yuan
天平地成,tian'ping'di'cheng
天清气朗,tian'qing'qi'lang
天壤王郎,tian'rang'wang'lang
天壤之别,tian'rang'zhi'bie
天人共鉴,tian'ren'gong'jian
天人之际,tian'ren'zhi'ji
天上麒麟,tian'shang'qi'lin
天生天杀,tian'sheng'tian'sha
天时地利人和,tian'shi'di'li'ren'he
甜酸苦辣,tian'suan'ku'la
天随人愿,tian'sui'ren'yuan
天塌地陷,tian'ta'di'xian
天外飞来,tian'wai'fei'lai
天外有天,tian'wai'you'tian
天王老子,tian'wang'lao'zi
天无二日,tian'wu'er'ri
天下大乱,tian'xia'da'luan
天下独步,tian'xia'du'bu
天下太平,tian'xia'tai'ping
天下为公,tian'xia'wei'gong
天下为家,tian'xia'wei'jia
天下无双,tian'xia'wu'shuang
天下汹汹,tian'xia'xiong'xiong
天下一家,tian'xia'yi'jia
天香国色,tian'xiang'guo'se
天行时气,tian'xing'shi'qi
天悬地隔,tian'xuan'di'ge
天旋地转,tian'xuan'di'zhuan
天涯比邻,tian'ya'bi'lin
天涯地角,tian'ya'di'jiao
天涯咫尺,tian'ya'zhi'chi
甜言美语,tian'yan'mei'yu
甜言蜜语,tian'yan'mi'yu
天摇地动,tian'yao'di'dong
添油加醋,tian'you'jia'cu
天诱其衷,tian'you'qi'zhong
天与人归,tian'yu'ren'gui
天渊之别,tian'yuan'zhi'bie
天渊之隔,tian'yuan'zhi'ge
田月桑时,tian'yue'sang'shi
天灾地变,tian'zai'di'bian
天灾人祸,tian'zai'ren'huo
天造地设,tian'zao'di'she
天震地骇,tian'zhen'di'hai
天真烂漫,tian'zhen'lan'man
天真烂熳,tian'zhen'lan'man
天知地知,tian'zhi'di'zhi
添枝加叶,tian'zhi'jia'ye
天之骄子,tian'zhi'jiao'zi
天之戮民,tian'zhi'lu'min
天诛地灭,tian'zhu'di'mie
添砖加瓦,tian'zhuan'jia'wa
天字第一号,tian'zi'di'yi'hao
天姿国色,tian'zi'guo'se
甜嘴蜜舌,tian'zui'mi'she
天作之合,tian'zuo'zhi'he
挑拨离间,tiao'bo'li'jian
挑肥拣瘦,tiao'fei'jian'shou
条分缕析,tiao'fen'lv'xi
调和鼎鼐,tiao'he'ding'nai
调和阴阳,tiao'he'yin'yang
挑精拣肥,tiao'jing'jian'fei
调理阴阳,tiao'li'yin'yang
跳梁小丑,tiao'liang'xiao'chou
挑毛拣刺,tiao'mao'jian'ci
挑三拣四,tiao'san'jian'si
挑三检四,tiao'san'jian'si
挑三嫌四,tiao'san'xian'si
蜩螗沸羹,tiao'tang'fei'geng
条条框框,tiao'tiao'kuang'kuang
挑雪填井,tiao'xue'tian'jing
铁案如山,tie'an'ru'shan
铁板钉钉,tie'ban'ding'ding
铁板歌喉,tie'ban'ge'hou
铁板铜琶,tie'ban'tong'pa
铁板一块,tie'ban'yi'kuai
铁壁铜墙,tie'bi'tong'qiang
铁杵磨针,tie'chu'mo'zhen
铁绰铜琶,tie'chuo'tong'pa
铁打心肠,tie'da'xin'chang
铁郭金城,tie'guo'jin'cheng
铁画银钩,tie'hua'yin'gou
铁马金戈,tie'ma'jin'ge
铁面御史,tie'mian'yu'shi
铁石心肠,tie'shi'xin'chang
铁树花开,tie'shu'hua'kai
铁树开花,tie'shu'kai'hua
铁桶江山,tie'tong'jiang'shan
铁网珊瑚,tie'wang'shan'hu
铁鞋踏破,tie'xie'ta'po
铁心木肠,tie'xin'mu'chang
铁砚磨穿,tie'yan'mo'chuan
铁证如山,tie'zheng'ru'shan
铤而走险,ting'er'zou'xian
听风听水,ting'feng'ting'shui
听其言而观其行,ting'qi'yan'er'guan'qi'xing
听其自然,ting'qi'zi'ran
听人穿鼻,ting'ren'chuan'bi
挺身而出,ting'shen'er'chu
听天由命,ting'tian'you'ming
亭亭玉立,ting'ting'yu'li
停辛伫苦,ting'xin'zhu'ku
挺胸凸肚,ting'xiong'tu'du
停云落月,ting'yun'luo'yue
听之藐藐,ting'zhi'miao'miao
听之任之,ting'zhi'ren'zhi
通变达权,tong'bian'da'quan
同病相怜,tong'bing'xiang'lian
痛不欲生,tong'bu'yu'sheng
同尘合污,tong'chen'he'wu
同仇敌忾,tong'chou'di'kai
同仇敌慨,tong'chou'di'kai
统筹兼顾,tong'chou'jian'gu
同出一辙,tong'chu'yi'zhe
同船合命,tong'chuan'he'ming
同床共枕,tong'chuang'gong'zhen
同床异梦,tong'chuang'yi'meng
同德一心,tong'de'yi'xin
痛定思痛,tong'ding'si'tong
通都大邑,tong'du'da'yi
同恶相济,tong'e'xiang'ji
通风报信,tong'feng'bao'xin
通风报讯,tong'feng'bao'xun
同符合契,tong'fu'he'qi
痛改前非,tong'gai'qian'fei
同甘共苦,tong'gan'gong'ku
同工异曲,tong'gong'yi'qu
通古博今,tong'gu'bo'jin
同归于尽,tong'gui'yu'jin
铜壶滴漏,tong'hu'di'lou
通家之好,tong'jia'zhi'hao
通今博古,tong'jin'bo'gu
铜筋铁骨,tong'jin'tie'gu
铜筋铁肋,tong'jin'tie'lei
痛哭流涕,tong'ku'liu'ti
痛快淋漓,tong'kuai'lin'li
同类相求,tong'lei'xiang'qiu
通力合作,tong'li'he'zuo
同力协契,tong'li'xie'qi
同流合污,tong'liu'he'wu
同明相照,tong'ming'xiang'zhao
同年而语,tong'nian'er'yu
童牛角马,tong'niu'jiao'ma
铜琶铁板,tong'pa'tie'ban
铜盘重肉,tong'pan'zhong'rou
同袍同泽,tong'pao'tong'ze
同气连枝,tong'qi'lian'zhi
同气相求,tong'qi'xiang'qiu
铜墙铁壁,tong'qiang'tie'bi
通情达理,tong'qing'da'li
通衢广陌,tong'qu'guang'mo
通权达变,tong'quan'da'bian
同然一辞,tong'ran'yi'ci
同日而言,tong'ri'er'yan
同日而语,tong'ri'er'yu
痛入骨髓,tong'ru'gu'sui
童山濯濯,tong'shan'zhuo'zhuo
通商惠工,tong'shang'hui'gong
同生共死,tong'sheng'gong'si
同声相求,tong'sheng'xiang'qiu
同声相应,tong'sheng'xiang'ying
同室操戈,tong'shi'cao'ge
童叟无欺,tong'sou'wu'qi
通俗易懂,tong'su'yi'dong
通天彻地,tong'tian'che'di
通天达地,tong'tian'da'di
同条共贯,tong'tiao'gong'guan
铜头铁臂,tong'tou'tie'bi
铜头铁额,tong'tou'tie'e
铜驼荆棘,tong'tuo'jing'ji
通文调武,tong'wen'tiao'wu
痛诬丑诋,tong'wu'chou'di
同恶相助,tong'wu'xiang'zhu
通宵彻夜,tong'xiao'che'ye
通宵达旦,tong'xiao'da'dan
同心并力,tong'xin'bing'li
同心断金,tong'xin'duan'jin
同心共济,tong'xin'gong'ji
同心合力,tong'xin'he'li
同心合意,tong'xin'he'yi
痛心疾首,tong'xin'ji'shou
同心戮力,tong'xin'lu'li
痛心入骨,tong'xin'ru'gu
同心同德,tong'xin'tong'de
童心未泯,tong'xin'wei'min
同休共戚,tong'xiu'gong'qi
童颜鹤发,tong'yan'he'fa
痛痒相关,tong'yang'xiang'guan
统一口径,tong'yi'kou'jing
同音共律,tong'yin'gong'lv
通幽洞灵,tong'you'dong'ling
通忧共患,tong'you'gong'huan
同源异流,tong'yuan'yi'liu
通真达灵,tong'zhen'da'ling
同舟共济,tong'zhou'gong'ji
铜铸铁浇,tong'zhu'tie'jiao
投畀豺虎,tou'bi'chai'hu
投笔从戎,tou'bi'cong'rong
投鞭断流,tou'bian'duan'liu
头高头低,tou'gao'tou'di
偷工减料,tou'gong'jian'liao
偷狗戏鸡,tou'gou'xi'ji
透骨酸心,tou'gu'suan'xin
偷寒送暖,tou'han'song'nuan
头昏目眩,tou'hun'mu'xuan
头昏脑胀,tou'hun'nao'zhang
偷鸡盗狗,tou'ji'dao'gou
偷鸡摸狗,tou'ji'mo'gou
投机取巧,tou'ji'qu'qiao
投袂而起,tou'mei'er'qi
头面人物,tou'mian'ren'wu
投木报琼,tou'mu'bao'qiong
头破血淋,tou'po'xue'lin
头破血流,tou'po'xue'liu
投其所好,tou'qi'suo'hao
头上安头,tou'shang'an'tou
投石超距,tou'shi'chao'ju
投桃报李,tou'tao'bao'li
头疼脑热,tou'teng'nao're
偷天换日,tou'tian'huan'ri
头童齿豁,tou'tong'chi'huo
头痛脑热,tou'tong'nao're
头痛治头,tou'tong'zhi'tou
头头是道,tou'tou'shi'dao
偷闲躲静,tou'xian'duo'jing
投闲置散,tou'xian'zhi'san
偷香窃玉,tou'xiang'qie'yu
头一无二,tou'yi'wu'er
头晕目眩,tou'yun'mu'xuan
头晕眼花,tou'yun'yan'hua
头重脚轻,tou'zhong'jiao'qing
投诸四裔,tou'zhu'si'yi
土崩瓦解,tu'beng'wa'jie
吐哺辍洗,tu'bu'chuo'xi
图财害命,tu'cai'hai'ming
徒读父书,tu'du'fu'shu
荼毒生灵,tu'du'sheng'ling
突飞猛进,tu'fei'meng'jin
土扶成墙,tu'fu'cheng'qiang
吐刚茹柔,tu'gang'ru'rou
吐故纳新,tu'gu'na'xin
土豪劣绅,tu'hao'lie'shen
土鸡瓦狗,tu'ji'wa'gou
土鸡瓦犬,tu'ji'wa'quan
兔角龟毛,tu'jiao'gui'mao
兔角牛翼,tu'jiao'niu'yi
土阶茅屋,tu'jie'mao'wu
兔葵燕麦,tu'kui'yan'mai
徒劳往返,tu'lao'wang'fan
徒劳无益,tu'lao'wu'yi
土龙刍狗,tu'long'chu'gou
屠龙之技,tu'long'zhi'ji
图谋不轨,tu'mou'bu'gui
土木形骸,tu'mu'xing'hai
土牛木马,tu'niu'mu'ma
兔起凫举,tu'qi'fu'ju
兔起鹘落,tu'qi'hu'luo
吐气扬眉,tu'qi'yang'mei
图穷匕见,tu'qiong'bi'xian
途穷日暮,tu'qiong'ri'mu
突然袭击,tu'ran'xi'ji
土壤细流,tu'rang'xi'liu
土穰细流,tu'rang'xi'liu
突如其来,tu'ru'qi'lai
土生土长,tu'sheng'tu'zhang
兔死凫举,tu'si'fu'ju
兔死狗烹,tu'si'gou'peng
兔死狐悲,tu'si'hu'bei
兔丝燕麦,tu'si'yan'mai
吐丝自缚,tu'si'zi'fu
屠所牛羊,tu'suo'niu'yang
涂炭生灵,tu'tan'sheng'ling
土头土脑,tu'tou'tu'nao
徒托空言,tu'tuo'kong'yan
图文并茂,tu'wen'bing'mao
土洋结合,tu'yang'jie'he
徒有其名,tu'you'qi'ming
徒有虚名,tu'you'xu'ming
涂脂抹粉,tu'zhi'mo'fen
徒子徒孙,tu'zi'tu'sun
兔走乌飞,tu'zou'wu'fei
团花簇锦,tuan'hua'cu'jin
退避三舍,tui'bi'san'she
推波助澜,tui'bo'zhu'lan
退步抽身,tui'bu'chou'shen
退藏于密,tui'cang'yu'mi
推陈出新,tui'chen'chu'xin
推陈致新,tui'chen'zhi'xin
推诚相见,tui'cheng'xiang'jian
推崇备至,tui'chong'bei'zhi
推而广之,tui'er'guang'zhi
蜕化变质,tui'hua'bian'zhi
推襟送抱,tui'jin'song'bao
推梨让枣,tui'li'rang'zao
退让贤路,tui'rang'xian'lu
退如山移,tui'ru'shan'yi
推三推四,tui'san'tui'si
推三阻四,tui'san'zu'si
退食从容,tui'shi'cong'rong
退思补过,tui'si'bu'guo
推涛作浪,tui'tao'zuo'lang
推贤让能,tui'xian'rang'neng
推心置腹,tui'xin'zhi'fu
推心致腹,tui'xin'zhi'fu
退有后言,tui'you'hou'yan
颓垣败井,tui'yuan'bai'jing
颓垣断堑,tui'yuan'duan'qian
推燥居湿,tui'zao'ju'shi
囤积居奇,tun'ji'ju'qi
吞声忍气,tun'sheng'ren'qi
吞声饮恨,tun'sheng'yin'hen
豚蹄穰田,tun'ti'rang'tian
吞吞吐吐,tun'tun'tu'tu
吞言咽理,tun'yan'yan'li
吞云吐雾,tun'yun'tu'wu
吞舟之鱼,tun'zhou'zhi'yu
唾壶击缺,tuo'hu'ji'que
脱缰之马,tuo'jiang'zhi'ma
脱口成章,tuo'kou'cheng'zhang
脱口而出,tuo'kou'er'chu
唾面自干,tuo'mian'zi'gan
拖男带女,tuo'nan'dai'nv
拖泥带水,tuo'ni'dai'shui
拖人下水,tuo'ren'xia'shui
唾手可得,tuo'shou'ke'de
脱胎换骨,tuo'tai'huan'gu
拖拖拉拉,tuo'tuo'la'la
脱颖而出,tuo'ying'er'chu
瓦查尿溺,wa'cha'niao'ni
挖耳当招,wa'er'dang'zhao
瓦釜雷鸣,wa'fu'lei'ming
瓦解冰消,wa'jie'bing'xiao
瓦解土崩,wa'jie'tu'beng
挖空心思,wa'kong'xin'si
蛙蟆胜负,wa'ma'sheng'fu
蛙鸣蝉噪,wa'ming'chan'zao
挖肉补疮,wa'rou'bu'chuang
歪打正着,wai'da'zheng'zhao
外方内圆,wai'fang'nei'yuan
歪风邪气,wai'feng'xie'qi
外感内伤,wai'gan'nei'shang
外刚内柔,wai'gang'nei'rou
外合里差,wai'he'li'cha
外宽内忌,wai'kuan'nei'ji
外强中干,wai'qiang'zhong'gan
外巧内嫉,wai'qiao'nei'ji
外柔内刚,wai'rou'nei'gang
外圆内方,wai'yuan'nei'fang
完璧归赵,wan'bi'gui'zhao
万别千差,wan'bie'qian'cha
万不得已,wan'bu'de'yi
万不失一,wan'bu'shi'yi
万代千秋,wan'dai'qian'qiu
莞尔而笑,wan'er'er'xiao
万夫不当,wan'fu'bu'dang
万夫莫当,wan'fu'mo'dang
顽父嚚母,wan'fu'yin'mu
弯弓饮羽,wan'gong'yin'yu
顽固不化,wan'gu'bu'hua
万古长春,wan'gu'chang'chun
万古长存,wan'gu'chang'cun
万古长青,wan'gu'chang'qing
万古流芳,wan'gu'liu'fang
万古留芳,wan'gu'liu'fang
万古千秋,wan'gu'qian'qiu
万贯家财,wan'guan'jia'cai
万贯家私,wan'guan'jia'si
完好无缺,wan'hao'wu'que
万壑千岩,wan'he'qian'yan
万壑争流,wan'he'zheng'liu
万恨千愁,wan'hen'qian'chou
万户千门,wan'hu'qian'men
玩忽职守,wan'hu'zhi'shou
玩火自焚,wan'huo'zi'fen
万家灯火,wan'jia'deng'huo
万家生佛,wan'jia'sheng'fo
万箭穿心,wan'jian'chuan'xin
万箭攒心,wan'jian'cuan'xin
晚节不保,wan'jie'bu'bao
万劫不复,wan'jie'bu'fu
晚节不终,wan'jie'bu'zhong
晚节黄花,wan'jie'huang'hua
万口一词,wan'kou'yi'ci
万口一谈,wan'kou'yi'tan
万苦千辛,wan'ku'qian'xin
纨绔子弟,wan'ku'zi'di
万赖俱寂,wan'lai'ju'ji
万籁无声,wan'lai'wu'sheng
万里长征,wan'li'chang'zheng
万里鹏程,wan'li'peng'cheng
万里鹏翼,wan'li'peng'yi
万里迢迢,wan'li'tiao'tiao
万里无云,wan'li'wu'yun
顽廉懦立,wan'lian'nuo'li
万流景仰,wan'liu'jing'yang
万缕千丝,wan'lv'qian'si
万马奔腾,wan'ma'ben'teng
万马齐喑,wan'ma'qi'yin
完美无疵,wan'mei'wu'ci
完美无缺,wan'mei'wu'que
完名全节,wan'ming'quan'jie
万目睽睽,wan'mu'kui'kui
丸泥封关,wan'ni'feng'guan
万念俱寂,wan'nian'ju'ji
顽皮赖骨,wan'pi'lai'gu
顽皮贼骨,wan'pi'zei'gu
万签插架,wan'qian'cha'jia
万全之策,wan'quan'zhi'ce
万全之计,wan'quan'zhi'ji
万人空巷,wan'ren'kong'xiang
万人之敌,wan'ren'zhi'di
剜肉补疮,wan'rou'bu'chuang
剜肉医疮,wan'rou'yi'chuang
玩世不恭,wan'shi'bu'gong
万事大吉,wan'shi'da'ji
完事大吉,wan'shi'da'ji
晚食当肉,wan'shi'dang'rou
顽石点头,wan'shi'dian'tou
万事亨通,wan'shi'heng'tong
万世流芳,wan'shi'liu'fang
万事如意,wan'shi'ru'yi
万世师表,wan'shi'shi'biao
万世一时,wan'shi'yi'shi
万寿无疆,wan'shou'wu'jiang
万水千山,wan'shui'qian'shan
万死不辞,wan'si'bu'ci
万死一生,wan'si'yi'sheng
玩岁愒日,wan'sui'kai'ri
万岁千秋,wan'sui'qian'qiu
万头攒动,wan'tou'cuan'dong
万万千千,wan'wan'qian'qian
弯弯曲曲,wan'wan'qu'qu
玩物丧志,wan'wu'sang'zhi
万无一失,wan'wu'yi'shi
万物之灵,wan'wu'zhi'ling
万象更新,wan'xiang'geng'xin
万象森罗,wan'xiang'sen'luo
万绪千端,wan'xu'qian'duan
万绪千头,wan'xu'qian'tou
弯腰捧腹,wan'yao'peng'fu
万应灵丹,wan'ying'ling'dan
万应灵药,wan'ying'ling'yao
万载千秋,wan'zai'qian'qiu
万丈高楼平地起,wan'zhang'gao'lou'ping'di'qi
万众一心,wan'zhong'yi'xin
宛转蛾眉,wan'zhuan'e'mei
宛转悠扬,wan'zhuan'you'yang
万紫千红,wan'zi'qian'hong
望表知里,wang'biao'zhi'li
忘餐废寝,wang'can'fei'qin
望尘不及,wang'chen'bu'ji
妄尘而拜,wang'chen'er'bai
望尘而拜,wang'chen'er'bai
望尘莫及,wang'chen'mo'ji
枉尺直寻,wang'chi'zhi'xun
望穿秋水,wang'chuan'qiu'shui
望帝啼鹃,wang'di'ti'juan
望断白云,wang'duan'bai'yun
忘恩负义,wang'en'fu'yi
望而却步,wang'er'que'bu
望而生畏,wang'er'sheng'wei
枉法徇私,wang'fa'xun'si
枉费心机,wang'fei'xin'ji
枉费心思,wang'fei'xin'si
望风捕影,wang'feng'bu'ying
望风而逃,wang'feng'er'tao
望风而降,wang'feng'er'xiang
望风披靡,wang'feng'pi'mi
望风扑影,wang'feng'pu'ying
望峰息心,wang'feng'xi'xin
望风响应,wang'feng'xiang'ying
王公大人,wang'gong'da'ren
王贡弹冠,wang'gong'dan'guan
亡国灭种,wang'guo'mie'zhong
亡国之社,wang'guo'zhi'she
亡国之音,wang'guo'zhi'yin
望衡对宇,wang'heng'dui'yu
王侯将相,wang'hou'jiang'xiang
王后卢前,wang'hou'lu'qian
忘乎所以,wang'hu'suo'yi
亡戟得矛,wang'ji'de'mao
枉己正人,wang'ji'zheng'ren
网开三面,wang'kai'san'mian
网开一面,wang'kai'yi'mian
枉勘虚招,wang'kan'xu'zhao
妄口巴舌,wang'kou'ba'she
枉口拔舌,wang'kou'ba'she
网漏吞舟,wang'lou'tun'zhou
望门投止,wang'men'tou'zhi
亡命之徒,wang'ming'zhi'tu
忘年之交,wang'nian'zhi'jiao
忘其所以,wang'qi'suo'yi
